[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 1] रहबाम शेकेम को गया, क्योंकि सारे इस्राएली उसको राजा बनाने के लिये वहीं गए थे।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 2] जब नबात के पुत्र यारोबाम ने यह सुना (वह तो मिस्र में रहता था, जहाँ वह सुलैमान राजा के डर के मारे भाग गया था), तो वह मिस्र से लौट आया।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 3] तब उन्होंने उसको बुलवा भेजा; अतः यारोबाम और सब इस्राएली आकर रहबाम से कहने लगे,
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 4] “तेरे पिता ने तो हम लोगों पर भारी जूआ डाल रखा था, इसलिए अब तू अपने पिता की कठिन सेवा को और उस भारी जूए को जिसे उसने हम पर डाल रखा है कुछ हलका कर, तब हम तेरे अधीन रहेंगे।”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 5] उसने उनसे कहा, “तीन दिन के उपरान्त मेरे पास फिर आना।” अतः वे चले गए।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 6] तब राजा रहबाम ने उन बूढ़ों से जो उसके पिता सुलैमान के जीवन भर उसके सामने उपस्थित रहा करते थे, यह कहकर सम्मति ली, “इस प्रजा को कैसा उत्तर देना उचित है, इसमें तुम क्या सम्मति देते हो?”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 7] उन्होंने उसको यह उत्तर दिया, “यदि तू इस प्रजा के लोगों से अच्छा बर्ताव करके उन्हें प्रसन्न करे और उनसे मधुर बातें कहे, तो वे सदा तेरे अधीन बने रहेंगे।”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 8] परन्तु उसने उस सम्मति को जो बूढ़ों ने उसको दी थी छोड़ दिया और उन जवानों से सम्मति ली, जो उसके संग बड़े हुए थे और उसके सम्मुख उपस्थित रहा करते थे।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 9] उनसे उसने पूछा, “मैं प्रजा के लोगों को कैसा उत्तर दूँ, इसमें तुम क्या सम्मति देते हो? उन्होंने तो मुझसे कहा है, ‘जो जूआ तेरे पिता ने हम पर डाल रखा है, उसे तू हलका कर।’”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 10] जवानों ने जो उसके संग बड़े हुए थे उसको यह उत्तर दिया, “उन लोगों ने तुझ से कहा है, ‘तेरे पिता ने हमारा जूआ भारी किया था, परन्तु उसे हमारे लिये हलका कर;’ तू उनसे यह कहना, ‘मेरी छिंगुलिया मेरे पिता की कमर से भी मोटी ठहरेगी।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 11] मेरे पिता ने तुम पर जो भारी जूआ रखा था, उसे मैं और भी भारी करूँगा; मेरा पिता तो तुम को कोड़ों से ताड़ना देता था, परन्तु मैं बिच्छुओं से दूँगा।’”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 12] तीसरे दिन जैसे राजा ने ठहराया था, “तीसरे दिन मेरे पास फिर आना,” वैसे ही यारोबाम और सारी प्रजा रहबाम के पास उपस्थित हुई।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 13] तब राजा ने उनसे कड़ी बातें कीं, और रहबाम राजा ने बूढ़ों की दी हुई सम्मति छोड़कर
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 14] जवानों की सम्मति के अनुसार उनसे कहा, “मेरे पिता ने तो तुम्हारा जूआ भारी कर दिया था, परन्तु मैं उसे और भी कठिन कर दूँगा; मेरे पिता ने तो तुम को कोड़ों से ताड़ना दी, परन्तु मैं बिच्छुओं से ताड़ना दूँगा।”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 15] इस प्रकार राजा ने प्रजा की विनती न मानी; इसका कारण यह है, कि जो वचन यहोवा ने शीलोवासी अहिय्याह के द्वारा नबात के पुत्र यारोबाम से कहा था, उसको पूरा करने के लिये परमेश्वर ने ऐसा ही ठहराया था।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 16] जब समस्त इस्राएलियों ने देखा कि राजा हमारी नहीं सुनता, तब वे बोले, “दाऊद के साथ हमारा क्या अंश? हमारा तो यिशै के पुत्र में कोई भाग नहीं है। हे इस्राएलियों, अपने-अपने डेरे को चले जाओ! अब हे दाऊद, अपने ही घराने की चिन्ता कर।”
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 17] तब सब इस्राएली अपने डेरे को चले गए। केवल जितने इस्राएली यहूदा के नगरों में बसे हुए थे, उन्हीं पर रहबाम राज्य करता रहा।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 18] तब राजा रहबाम ने हदोराम को जो सब बेगारों पर अधिकारी था भेज दिया, और इस्राएलियों ने उस पर पथराव किया और वह मर गया। तब रहबाम फुर्ती से अपने रथ पर चढ़कर, यरूशलेम को भाग गया।
[IRV | HI | OT | 2 Chronicles | Chapter 10 | Verse 19] और इस्राएल ने दाऊद के घराने से बलवा किया और आज तक फिरा हुआ है।
