[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 1] I charge thee therefore before God, and the Lord Jesus Christ, who will judge the living and the dead at his appearing and his kingdom;
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 2] Preach the word; be instant in season, out of season; reprove, rebuke, exhort with all long-suffering and doctrine.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 3] For the time will come, when they will not endure sound doctrine; but after their own lusts will they multiply to themselves teachers, having itching ears;
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 4] And they will turn away their ears from the truth, and will be turned to fables.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 5] But watch thou in all things, endure afflictions, do the work of an evangelist, make full proof of thy ministry.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 6] For I am now ready to be offered, and the time of my departure is at hand.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 7] I have fought a good fight, I have finished my course, I have kept the faith:
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 8] Henceforth there is laid up for me a crown of righteousness, which the Lord, the righteous Judge, will give me at that day: and not to me only, but to all them also that love his appearing.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 9] Do thy diligence to come shortly to me:
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 10] For Demas hath forsaken me, having loved this present world, and hath departed to Thessalonica; Crescens to Galatia, Titus to Dalmatia.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 11] Luke only is with me. Take Mark, and bring him with thee: for he is profitable to me for the ministry.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 12] And Tychicus have I sent to Ephesus.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 13] The cloke that I left at Troas with Carpus, when thou comest, bring with thee , and the books, but especially the parchments.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 14] Alexander the copper-smith did me much evil: the Lord reward him according to his works:
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 15] Of whom be thou aware also; for he hath greatly withstood our words.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 16] At my first answer no man stood with me, but all men forsook me: I pray God that it may not be laid to their charge.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 17] Notwithstanding, the Lord stood with me, and strengthened me; that by me the preaching might be fully known, and that all the Gentiles might hear: and I was delivered out of the mouth of the lion.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 18] And the Lord will deliver me from every evil work, and will preserve me to his heavenly kingdom; to whom be glory for ever and ever. Amen.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 19] Salute Prisca and Aquila, and the household of Onesiphorus.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 20] Erastus abode at Corinth: but Trophimus I have left at Miletum sick.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 21] Do thy diligence to come before winter. Eubulus greeteth thee, and Pudens, and Linus, and Claudia, and all the brethren.
[WEBSTER | EN | NT | 2 Timothy | Chapter 4 | Verse 22] The Lord Jesus Christ be with thy spirit. Grace be with you. Amen.
