[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 1] Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 2] To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 3] I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 4] Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 5] When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 6] For which cause I put thee in remembrance, that thou stir up the gift of God, which is in thee by the imposition of my hands.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 7] For God hath not given us the spirit of fear, but of power, and of love, and of a sound mind.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 8] Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 9] Who hath saved us, and called us with a holy calling, not according to our works, but according to his own purpose and grace, which was given to us in Christ Jesus before the world began;
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 10] But is now made manifest by the appearing of our Savior Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 11] To which I am appointed a preacher, and an apostle, and a teacher of the Gentiles.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 12] For which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed to him against that day.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 13] Hold fast the form of sound words, which thou hast heard from me, in faith and love which is in Christ Jesus.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 14] That good thing which was committed to thee keep by the Holy Spirit which dwelleth in us.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 15] This thou knowest, that all they who are in Asia are turned away from me; of whom are Phygellus and Hermogenes.
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 16] The Lord give mercy to the house of Onesiphorus; for he often refreshed me, and was not ashamed of my chain:
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 17] But, when he was in Rome, he sought me out very diligently, and found me .
[WEBSTER | EN | NT | 2 Timothy | Chapter 1 | Verse 18] The Lord grant to him that he may find mercy from the Lord in that day: and in how many things he ministered to me at Ephesus, thou knowest very well.
