[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 1] This know also, that in the last days perilous times will come.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 2] For men will be lovers of their own selves, covetous, boasters, proud, blasphemers, disobedient to parents, unthankful, unholy,
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 3] Without natural affection, truce-breakers, false accusers, incontinent, fierce, despisers of those that are good,
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 4] Traitors, heady, high-minded, lovers of pleasures more than lovers of God;
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 5] Having a form of godliness, but denying its power: from such turn away.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 6] For of this sort are they who creep into houses, and lead captive silly women laden with sins, led away with divers lusts;
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 7] Ever learning, and never able to come to the knowledge of the truth.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 8] Now as Jannes and Jambres withstood Moses, so do these also resist the truth: men of corrupt minds, reprobate concerning the faith.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 9] But they shall proceed no further: for their folly will be manifest to all men , as theirs also was.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 10] But thou hast fully known my doctrine, manner of life, purpose, faith, long-suffering, charity, patience,
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 11] Persecutions, afflictions which came to me at Antioch, at Iconium, at Lystra; what persecutions I endured: but out of them all the Lord delivered me.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 12] And all indeed that will live godly in Christ Jesus will suffer persecution.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 13] But evil men and seducers will become worse and worse, deceiving, and being deceived.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 14] But continue thou in the things which thou hast learned and hast been assured of, knowing from whom thou hast learned them ;
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 15] And that from a child thou hast known the sacred scriptures, which are able to make thee wise to salvation through faith which is in Christ Jesus.
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 16] All scripture is given by inspiration of God, and is profitable for doctrine, for reproof, for correction, for instruction in righteousness:
[WEBSTER | EN | NT | 2 Timothy | Chapter 3 | Verse 17] That the man of God may be perfect, thoroughly furnished to all good works.
