[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 1] तिशबी एलिय्याह जो गिलाद का निवासी था उसने अहाब से कहा, “इस्राएल का परमेश्वर यहोवा जिसके सम्मुख मैं उपस्थित रहता हूँ, उसके जीवन की शपथ इन वर्षों में मेरे बिना कहे, न तो मेंह बरसेगा, और न ओस पड़ेगी।” (लूका 4:25, याकू. 5:17, प्रका. 11:6)
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 2] तब यहोवा का यह वचन उसके पास पहुँचा,
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 3] “यहाँ से चलकर पूरब की ओर जा और करीत नामक नाले में जो यरदन के पूर्व में है छिप जा।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 4] उसी नदी का पानी तू पिया कर, और मैंने कौवों को आज्ञा दी है कि वे तुझे वहाँ खिलाएँ।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 5] यहोवा का यह वचन मानकर वह यरदन के पूर्व में करीत नामक नदी में जाकर छिपा रहा।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 6] और सवेरे और साँझ को कौवे उसके पास रोटी और माँस लाया करते थे और वह नदी का पानी पिया करता था।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 7] कुछ दिनों के बाद उस देश में वर्षा न होने के कारण नदी सूख गई।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 8] तब यहोवा का यह वचन उसके पास पहुँचा,
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 9] “चलकर सीदोन के सारफत नगर में जाकर वहीं रह। सुन, मैंने वहाँ की एक विधवा को तेरे खिलाने की आज्ञा दी है।” (लूका 4:26)
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 10] अतः वह वहाँ से चल दिया, और सारफत को गया; नगर के फाटक के पास पहुँचकर उसने क्या देखा कि, एक विधवा लकड़ी बीन रही है, उसको बुलाकर उसने कहा, “किसी पात्र में मेरे पीने को थोड़ा पानी ले आ।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 11] जब वह लेने जा रही थी, तो उसने उसे पुकारके कहा “अपने हाथ में एक टुकड़ा रोटी भी मेरे पास लेती आ।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 12] उसने कहा, “तेरे परमेश्वर यहोवा के जीवन की शपथ मेरे पास एक भी रोटी नहीं है केवल घड़े में मुट्ठी भर मैदा और कुप्पी में थोड़ा सा तेल है, और मैं दो एक लकड़ी बीनकर लिए जाती हूँ कि अपने और अपने बेटे के लिये उसे पकाऊँ, और हम उसे खाएँ, फिर मर जाएँ।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 13] एलिय्याह ने उससे कहा, “मत डर; जाकर अपनी बात के अनुसार कर, परन्तु पहले मेरे लिये एक छोटी सी रोटी बनाकर मेरे पास ले आ, फिर इसके बाद अपने और अपने बेटे के लिये बनाना।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 14] क्योंकि इस्राएल का परमेश्वर यहोवा यह कहता है, कि जब तक यहोवा भूमि पर मेंह न बरसाएगा तब तक न तो उस घड़े का मैदा समाप्त होगा, और न उस कुप्पी का तेल घटेगा।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 15] तब वह चली गई, और एलिय्याह के वचन के अनुसार किया, तब से वह और स्त्री और उसका घराना बहुत दिन तक खाते रहे।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 16] यहोवा के उस वचन के अनुसार जो उसने एलिय्याह के द्वारा कहा था, न तो उस घड़े का मैदा समाप्त हुआ, और न उस कुप्पी का तेल घटा।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 17] इन बातों के बाद उस स्त्री का बेटा जो घर की स्वामिनी थी, रोगी हुआ, और उसका रोग यहाँ तक बढ़ा कि उसका साँस लेना बन्द हो गया।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 18] तब वह एलिय्याह से कहने लगी, “हे परमेश्वर के जन! मेरा तुझ से क्या काम? क्या तू इसलिए मेरे यहाँ आया है कि मेरे बेटे की मृत्यु का कारण हो और मेरे पाप का स्मरण दिलाए?”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 19] उसने उससे कहा “अपना बेटा मुझे दे;” तब वह उसे उसकी गोद से लेकर उस अटारी पर ले गया जहाँ वह स्वयं रहता था, और अपनी खाट पर लिटा दिया।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 20] तब उसने यहोवा को पुकारकर कहा, “हे मेरे परमेश्वर यहोवा! क्या तू इस विधवा का बेटा मार डालकर जिसके यहाँ मैं टिका हूँ, इस पर भी विपत्ति ले आया है?”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 21] तब वह बालक पर तीन बार पसर गया और यहोवा को पुकारकर कहा, “हे मेरे परमेश्वर यहोवा! इस बालक का प्राण इसमें फिर डाल दे।”
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 22] एलिय्याह की यह बात यहोवा ने सुन ली, और बालक का प्राण उसमें फिर आ गया और वह जी उठा।
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 23] तब एलिय्याह बालक को अटारी पर से नीचे घर में ले गया, और एलिय्याह ने यह कहकर उसकी माता के हाथ में सौंप दिया, “देख तेरा बेटा जीवित है।” (प्रेरि. 20:10)
[IRV | HI | OT | 1 Kings | Chapter 17 | Verse 24] स्त्री ने एलिय्याह से कहा, “अब मुझे निश्चय हो गया है कि तू परमेश्वर का जन है, और यहोवा का जो वचन तेरे मुँह से निकलता है, वह सच होता है।”
