[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 1] राजा सुलैमान तो समस्त इस्राएल के ऊपर राजा नियुक्त हुआ था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 2] और उसके हाकिम ये थे, अर्थात् सादोक का पुत्र अजर्याह याजक,
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 3] और शीशा के पुत्र एलीहोरोप और अहिय्याह राजसी आधिकारिक थे। अहीलूद का पुत्र यहोशापात, इतिहास का लेखक था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 4] फिर यहोयादा का पुत्र बनायाह प्रधान सेनापति था, और सादोक और एब्यातार याजक थे!
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 5] नातान का पुत्र अजर्याह भण्डारियों के ऊपर था, और नातान का पुत्र जाबूद याजक, और राजा का मित्र भी था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 6] अहीशार राजपरिवार के ऊपर था, और अब्दा का पुत्र अदोनीराम बेगारों के ऊपर मुखिया था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 7] और सुलैमान के बारह भण्डारी थे, जो समस्त इस्राएलियों के अधिकारी होकर राजा और उसके घराने के लिये भोजन का प्रबन्ध करते थे। एक-एक पुरुष प्रतिवर्ष अपने-अपने नियुक्त महीने में प्रबन्ध करता था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 8] उनके नाम ये थे, अर्थात् एप्रैम के पहाड़ी देश में बेन्हूर।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 9] और माकस, शाल्बीम, बेतशेमेश और एलोन-बेतानान में बेन्देकेर था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 10] अरुब्बोत में बेन्हेसेद जिसके अधिकार में सोको और हेपेर का समस्त देश था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 11] दोर के समस्त ऊँचे देश में बेन-अबीनादब जिसकी स्त्री सुलैमान की बेटी तापत थी।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 12] अहीलूद का पुत्र बाना जिसके अधिकार में तानाक, मगिद्दो और बेतशान का वह सब देश था, जो सारतान के पास और यिज्रेल के नीचे और बेतशान से आबेल-महोला तक अर्थात् योकमाम की परली ओर तक है।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 13] और गिलाद के रामोत में बेनगेबेर था, जिसके अधिकार में मनश्शेई याईर के गिलाद के गाँव थे, अर्थात् इसी के अधिकार में बाशान के अर्गोब का देश था, जिसमें शहरपनाह और पीतल के बेंड़ेवाले साठ बड़े-बड़े नगर थे।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 14] इद्दो के पुत्र अहीनादाब के हाथ में महनैम था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 15] नप्ताली में अहीमास था, जिसने सुलैमान की बासमत नाम बेटी को ब्याह लिया था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 16] आशेर और आलोत में हूशै का पुत्र बाना,
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 17] इस्साकार में पारुह का पुत्र यहोशापात,
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 18] और बिन्यामीन में एला का पुत्र शिमी था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 19] ऊरी का पुत्र गेबेर गिलाद में अर्थात् एमोरियों के राजा सीहोन और बाशान के राजा ओग के देश में था, इस समस्त देश में वही अधिकारी था।
[IRV | HI | OT | 1 Kings | Chapter 4 | Verse 20] यहूदा और इस्राएल के लोग बहुत थे, वे समुद्र तट पर के रेतकणों के समान बहुत थे, और खाते-पीते और आनन्द करते रहे।
