[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 1] In the hundred forty and ninth year it was told Judas, that Antiochus Eupator was coming with a great power into Judea,
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 2] and with him Lysias his protector, and ruler of his affairs, having either of them a Grecian power, of footmen an hundred and ten thousand, and horsemen five thousand and three hundred, and elephants two and twenty, and three hundred chariots armed with hooks.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 3] Menelaus also joined himself with them, and with great dissimulation encouraged Antiochus, not for the safeguard of the country, but because he thought to have been made governor.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 4] But the King of kings moved Antiochus’ mind against this wicked wretch, and Lysias informed the king that this man was the cause of all mischief, so that the king commanded to bring him unto Berea, and to put him to death, as the manner is in that place.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 5] Now there was in that place a tower of fifty cubits high, full of ashes, and it had a round instrument, which on every side hanged down into the ashes.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 6] And whosoever was condemned of sacrilege, or had committed any other grievous crime, there did all men thrust him unto death.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 7] Such a death it happened that wicked man to die, not having so much as burial in the earth; and that most justly:
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 8] for inasmuch as he had committed many sins about the altar, whose fire and ashes were holy, he received his death in ashes.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 9] Now the king came with a barbarous and haughty mind to do far worse to the Jews, than had been done in his father’s time.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 10] Which things when Judas perceived, he commanded the multitude to call upon the Lord night and day, that if ever at any other time, he would now also help them, being at the point to be put from their law, from their country, and from the holy temple:
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 11] and that he would not suffer the people, that had even now been but a little refreshed, to be in subjection to the blasphemous nations.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 12] So when they had all done this together, and besought the merciful Lord with weeping and fasting, and lying flat upon the ground three days long, Judas, having exhorted them, commanded they should be in a readiness.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 13] And Judas, being apart with the elders, determined, before the king’s host should enter into Judea, and get the city, to go forth and try the matter in fight by the help of the Lord.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 14] So when he had committed all to the Creator of the world, and exhorted his soldiers to fight manfully, even unto death, for the laws, the temple, the city, the country, and the commonwealth, he camped by Modin:
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 15] and having given the watchword to them that were about him, Victory is of God; with the most valiant and choice young men he went in into the king’s tent by night, and slew in the camp about four thousand men, and the chiefest of the elephants, with all that were upon him.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 16] And at last they filled the camp with fear and tumult, and departed with good success.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 17] This was done in the break of the day, because the protection of the Lord did help him.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 18] Now when the king had taken a taste of the manliness of the Jews, he went about to take the holds by policy,
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 19] and marched towards Bethsura, which was a strong hold of the Jews: but he was put to flight, failed, and lost of his men:
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 20] for Judas had conveyed unto them that were in it such things as were necessary.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 21] But Rhodocus, who was in the Jews’ host, disclosed the secrets to the enemies; therefore he was sought out, and when they had gotten him, they put him in prison.
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 22] The king treated with them in Bethsura the second time, gave his hand, took theirs, departed, fought with Judas, was overcome;
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 23] heard that Philip, who was left over the affairs in Antioch, was desperately bent, [was] confounded, intreated the Jews, submitted himself, and sware to all equal conditions, agreed with them, and offered sacrifice, honoured the temple, and dealt kindly with the place,
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 24] and accepted well of Maccabeus, made him principal governor from Ptolemais unto the Gerrhenians;
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 25] came to Ptolemais: the people there were grieved for the covenants; for they stormed, because they would make their covenants void:
[KJV | EN | OT | 2 Maccabees | Chapter 13 | Verse 26] Lysias went up to the judgment seat, said as much as could be in defence of the cause, persuaded, pacified, made them well affected, returned to Antioch. Thus it went touching the king’s coming and departing.
