[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 1] వయసులో పెద్దవాణ్ణి కఠినంగా మందలించ వద్దు. అతనిని తండ్రిగా భావించి హెచ్చరించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 2] యువకులను సోదరులుగా, వయసు పైబడిన స్త్రీలను తల్లులుగా, యువతులను సోదరీలుగా ఎంచి పూర్ణ పవిత్రతతో హెచ్చరించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 3] నిజమైన వితంతువులను గౌరవించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 4] అయితే ఏ వితంతువుకైనా పిల్లలు గాని, మనవలు గాని ఉంటే, వీరు మొదట తమ ఇంటివారి పట్ల తమ బాధ్యతలు నిర్వర్తిస్తూ, తమ తల్లిదండ్రులకు ప్రత్యుపకారం చేయడం నేర్చుకోవాలి. ఇది దేవునికి ఎంతో ఇష్టం.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 5] నిజంగా వితంతువు ఒక్కతే ఉండి, దేవుని మీదనే తన నమ్మకం పెట్టుకుని, ఆయన సాయం కోసం రేయింబగళ్ళు ప్రార్ధిస్తూ, విన్నపాలు చేస్తూ ఉంటుంది.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 6] అయితే విలాసాల్లో బతికే వితంతువు బతికి ఉన్నా చచ్చినట్టే.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 7] వారు నింద పాలు కాకుండేలా వీటిని కూడా బోధించు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 8] ఎవడైనా తన బంధువులను, మరి ముఖ్యంగా తన స్వంత ఇంటివారిని పోషించకపోతే వాడు విశ్వాసాన్ని వదులుకున్న వాడు. అలాటివాడు అవిశ్వాసి కన్నా చెడ్డవాడు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 9] అరవై ఏళ్ళ కంటే ఎక్కువ వయస్సు ఉండి, గతంలో ఒక్క పురుషుడికే భార్యగా ఉన్న స్త్రీని మాత్రమే విధవరాలిగా నమోదు చెయ్యి.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 10] ఆమె మంచి పనుల్లో పేరు పొంది ఉండాలి. అంటే, పిల్లలను పెంచడం, ఆతిథ్యం ఇవ్వడం, పవిత్రుల పాదాలు కడగడం, కష్టాల్లో ఉన్నవారికి సాయం చేయడం, లేదా ప్రతి మంచి పనీ చేయడానికి పూనుకుని ఉండడం. అలాటి వారిని విధవరాళ్ళ జాబితాలో చేర్చవచ్చు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 11] పడుచు వితంతువులను లెక్కలో చేర్చవద్దు. క్రీస్తుకు విరోధంగా వారి వాంఛలు ఎక్కువైపోతే పెళ్ళి చేసుకోవాలనుకుంటారు.
[IRV | TE | NT | 1 Timothy | Chapter 5 | Verse 12] ఇలా వారు తమ మొదటి నిర్ణయాన్ని వదిలేసి తమ మీదికి అపరాధం తెచ్చుకుంటారు.
