[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 1] And Elijah the Tishbite, who was of the sojourners of Gilead, said unto Ahab, As the LORD, the God of Israel, liveth, before whom I stand, there shall not be dew nor rain these years, but according to my word.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 2] And the word of the LORD came unto him, saying,
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 3] Get thee hence, and turn thee eastward, and hide thyself by the brook Cherith, that is before Jordan.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 4] And it shall be, that thou shalt drink of the brook; and I have commanded the ravens to feed thee there.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 5] So he went and did according unto the word of the LORD: for he went and dwelt by the brook Cherith, that is before Jordan.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 6] And the ravens brought him bread and flesh in the morning, and bread and flesh in the evening; and he drank of the brook.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 7] And it came to pass after a while, that the brook dried up, because there was no rain in the land.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 8] And the word of the LORD came unto him, saying,
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 9] Arise, get thee to Zarephath, which belongeth to Zidon, and dwell there: behold, I have commanded a widow woman there to sustain thee.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 10] So he arose and went to Zarephath; and when he came to the gate of the city, behold, a widow woman was there gathering sticks: and he called to her, and said, Fetch me, I pray thee, a little water in a vessel, that I may drink.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 11] And as she was going to fetch it, he called to her, and said, Bring me, I pray thee, a morsel of bread in thine hand.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 12] And she said, As the LORD thy God liveth, I have not a cake, but an handful of meal in the barrel, and a little oil in the cruse: and, behold, I am gathering two sticks, that I may go in and dress it for me and my son, that we may eat it, and die.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 13] And Elijah said unto her, Fear not; go and do as thou hast said: but make me thereof a little cake first, and bring it forth unto me, and afterward make for thee and for thy son.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 14] For thus saith the LORD, the God of Israel, The barrel of meal shall not waste, neither shall the cruse of oil fail, until the day that the LORD sendeth rain upon the earth.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 15] And she went and did according to the saying of Elijah: and she, and he, and her house, did eat many days.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 16] The barrel of meal wasted not, neither did the cruse of oil fail, according to the word of the LORD, which he spake by Elijah.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 17] And it came to pass after these things, that the son of the woman, the mistress of the house, fell sick; and his sickness was so sore, that there was no breath left in him.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 18] And she said unto Elijah, What have I to do with thee, O thou man of God? thou art come unto me to bring my sin to remembrance, and to slay my son!
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 19] And he said unto her, Give me thy son. And he took him out of her bosom, and carried him up into the chamber, where he abode, and laid him upon his own bed.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 20] And he cried unto the LORD, and said, O LORD my God, hast thou also brought evil upon the widow with whom I sojourn, by slaying her son?
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 21] And he stretched himself upon the child three times, and cried unto the LORD, and said, O LORD my God, I pray thee, let this child’s soul come into him again.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 22] And the LORD hearkened unto the voice of Elijah; and the soul of the child came into him again, and he revived.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 23] And Elijah took the child, and brought him down out of the chamber into the house, and delivered him unto his mother: and Elijah said, See, thy son liveth.
[ERV | EN | OT | 1 Kings | Chapter 17 | Verse 24] And the woman said to Elijah, Now I know that thou art a man of God, and that the word of the LORD in thy mouth is truth.
