[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 1] യഹോവയുടെ അരുളപ്പാടു എനിക്കുണ്ടായതെന്തെന്നാൽ:
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 2] മനുഷ്യപുത്രാ, നീ യെരൂശലേമിനോടു അതിന്റെ മ്ലേച്ഛതകളെ അറിയിച്ചു പറയേണ്ടതു;
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 3] യഹോവയായ കർത്താവു യെരൂശലേമിനോടു ഇപ്രകാരം അരുളിച്ചെയ്യുന്നു: നിന്റെ ഉല്പത്തിയും നിന്റെ ജനനവും കനാൻദേശത്താകുന്നു; നിന്റെ അപ്പൻ അമോര്യനും അമ്മ ഹിത്യസ്ത്രീയും അത്രേ.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 4] നിന്റെ ജനനവസ്തുതയോ - ജനിച്ചനാളിൽ നിന്റെ പൊക്കിൾ മുറിച്ചില്ല; നിന്നെ വെള്ളത്തിൽ കുളിപ്പിച്ചു വെടിപ്പാക്കിയില്ല; ഉപ്പു തേച്ചില്ല, തുണി ചുറ്റിയതുമില്ല.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 5] നിന്നോടു മനസ്സലിവു തോന്നീട്ടു ഇവയിൽ ഒന്നെങ്കിലും നിനക്കു ചെയ്തുതരുവാൻ ഒരു കണ്ണിന്നും നിന്നോടു കനിവുണ്ടായില്ല; നീ ജനിച്ചനാളിൽ തന്നേ അവർക്കു നിന്നോടു വെറുപ്പുതോന്നിയതുകൊണ്ടു നിന്നെ വെളിമ്പ്രദേശത്തു ഇട്ടുകളഞ്ഞു.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 6] എന്നാൽ ഞാൻ നിന്റെ സമീപത്തു കൂടി കടന്നുപോകുമ്പോൾ നീ രക്തത്തിൽ കിടന്നുരുളുന്നതു കണ്ടു നിന്നോടു: നീ രക്തത്തിൽ കിടക്കുന്നു എങ്കിലും ജീവിക്ക എന്നു കല്പിച്ചു; അതേ, നീ രക്തത്തിൽ കിടക്കുന്നു എങ്കിലും ജീവിക്ക എന്നു ഞാൻ നിന്നോടു കല്പിച്ചു.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 7] വയലിലെ സസ്യംപോലെ ഞാൻ നിന്നെ പെരുകുമാറാക്കി; നീ വളർന്നു വലിയവളായി അതിസൗന്ദര്യം പ്രാപിച്ചു; നിനക്കു ഉന്നതസ്തനവും ദീർഘകേശവും ഉണ്ടായി; എങ്കിലും നീ നഗ്നയും അനാവൃതയും ആയിരുന്നു.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 8] ഞാൻ നിന്റെ അരികെ കൂടി കടന്നു നിന്നെ നോക്കിയപ്പോൾ നിനക്കു പ്രേമത്തിന്റെ സമയമായി എന്നു കണ്ടിട്ടു എന്റെ വസ്ത്രം നിന്റെമേൽ വിരിച്ചു നിന്റെ നഗ്നത മറെച്ചു; ഞാൻ നിന്നോടു സത്യവും നിയമവും ചെയ്തു നീ എനിക്കുള്ളവൾ ആയിത്തീർന്നു എന്നു യഹോവയായ കർത്താവിന്റെ അരുളപ്പാടു.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 9] പിന്നെ ഞാൻ നിന്നെ വെള്ളത്തിൽ കുളിപ്പിച്ചു, രക്തം കഴുകിക്കളഞ്ഞു എണ്ണപൂശി.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 10] ഞാൻ നിന്നെ വിചിത്രവസ്ത്രം ധരിപ്പിച്ചു, തഹശുതോൽകൊണ്ടുള്ള ചെരിപ്പിടുവിച്ചു, ശണപടംകൊണ്ടു ചുറ്റി പട്ടു പുതെപ്പിച്ചു.
[IRV | ML | OT | Ezekiel | Chapter 16 | Verse 11] ഞാൻ നിന്നെ ആഭരണം അണിയിച്ചു നിന്റെ കൈക്കു വളയും കഴുത്തിൽ മാലയും ഇട്ടു.
