[WEBSTER | EN | OT | Job | Chapter 26 | Verse 1] But Job answered and said,
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 2] How hast thou helped him that is without power? how savest thou the arm that hath no strength?
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 3] How hast thou counseled him that hath no wisdom? and how hast thou abundantly declared the thing as it is?
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 4] To whom hast thou uttered words? and whose spirit came from thee?
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 5] Dead things are formed from under the waters, and the inhabitants thereof.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 6] Hell is naked before him, and destruction hath no covering.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 7] He stretcheth out the north over the empty place, and hangeth the earth upon nothing.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 8] He bindeth up the waters in his thick clouds; and the cloud is not rent under them.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 9] He holdeth back the face of his throne, and spreadeth his cloud upon it.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 10] He hath encompassed the waters with bounds, until the day and night come to an end.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 11] The pillars of heaven tremble and are astonished at his reproof.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 12] He divideth the sea by his power, and by his understanding he smiteth through the proud.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 13] By his spirit he hath garnished the heavens; his hand hath formed the crooked serpent.
[WEBSTER | EN | OT | Job | Chapter 26 | Verse 14] Lo, these are parts of his ways: but how little a portion is heard of him? but the thunder of his power who can understand?
