[WEBSTER | EN | OT | Job | Chapter 5 | Verse 1] Call now, if there is any that will answer thee; and to which of the saints wilt thou turn?
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 2] For wrath killeth the foolish man, and envy slayeth the silly one.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 3] I have seen the foolish taking root: but suddenly I cursed his habitation.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 4] His children are far from safety, and they are crushed in the gate, neither is there any to deliver them .
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 5] Whose harvest the hungry eateth up, and taketh it even out of the thorns, and the robber swalloweth up their substance.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 6] Although affliction cometh not forth from the dust, neither doth trouble spring out of the ground;
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 7] Yet man is born to trouble, as the sparks fly upward.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 8] I would seek to God, and to God would I commit my cause:
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 9] Who doeth great things and unsearchable; wonderful things without number:
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 10] Who giveth rain upon the earth, and sendeth waters upon the fields:
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 11] To set on high those that are low: that those who mourn may be exalted to safety.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 12] He disappointeth the devices of the crafty, so that their hands cannot perform their enterprise.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 13] He taketh the wise in their own craftiness: and the counsel of the froward is carried headlong.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 14] They meet with darkness in the day-time, and grope in the noon-day as in the night.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 15] But he saveth the poor from the sword, from their mouth, and from the hand of the mighty.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 16] So the poor hath hope, and iniquity stoppeth her mouth.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 17] Behold, happy is the man whom God correcteth: therefore despise not thou the chastening of the Almighty:
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 18] For he maketh sore, and bindeth up: he woundeth, and his hands make whole.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 19] He will deliver thee in six troubles: yea, in seven there shall no evil touch thee.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 20] In famine he will redeem thee from death: and in war from the power of the sword.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 21] Thou shalt be hid from the scourge of the tongue: neither shalt thou be afraid of destruction when it cometh.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 22] At destruction and famine thou shalt laugh: neither shalt thou be afraid of the beasts of the earth.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 23] For thou shalt be in league with the stones of the field: and the beasts of the field shall be at peace with thee.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 24] And thou shalt know that thy tabernacle will be in peace; and thou shalt visit thy habitation, and shalt not sin.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 25] Thou shalt know also that thy seed will be great, and thy offspring as the grass of the earth.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 26] Thou shalt come to thy grave in a full age, as a shock of corn cometh in in its season.
[WEBSTER | EN | OT | Job | Chapter 5 | Verse 27] Lo this, we have searched it, so it is ; hear it, and know thou it for thy good.
