[WEBSTER | EN | OT | Job | Chapter 34 | Verse 1] Furthermore Elihu answered and said,
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 2] Hear my words, O ye wise men ; and give ear to me, ye that have knowledge.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 3] For the ear trieth words, as the mouth tasteth food.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 4] Let us choose to us judgment: let us know among ourselves what is good.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 5] For Job hath said, I am righteous: and God hath taken away my judgment.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 6] Should I lie against my right? my wound is incurable without transgression.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 7] What man is like Job, who drinketh up scorning like water?
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 8] Who goeth in company with the workers of iniquity, and walketh with wicked men.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 9] For he hath said, It profiteth a man nothing that he should delight himself with God.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 10] Therefore hearken to me, ye men of understanding: far be it from God, that he should do wickedness; and from the Almighty, that he should commit iniquity.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 11] For the work of a man he shall render to him, and cause every man to find according to his ways.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 12] Yes, surely God will not do wickedly, neither will the Almighty pervert judgment.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 13] Who hath given him a charge over the earth? or who hath disposed the whole world?
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 14] If he should set his heart upon man, if he should gather to himself his spirit and his breath;
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 15] All flesh would perish together, and man would turn again to dust.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 16] If now thou hast understanding, hear this: hearken to the voice of my words.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 17] Shall even he that hateth right govern? and wilt thou condemn him that is most just?
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 18] Is it fit to say to a king, Thou art wicked? and to princes, Ye are ungodly?
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 19] How much less to him that accepteth not the persons of princes, nor regardeth the rich more than the poor? for they all are the work of his hands.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 20] In a moment they shall die, and the people shall be troubled at midnight, and pass away: and the mighty shall be taken away without hand.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 21] For his eyes are upon the ways of man, and he seeth all his goings.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 22] There is no darkness, nor shadow of death, where the workers of iniquity may hide themselves.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 23] For he will not lay upon man more than right ; that he should enter into judgment with God.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 24] He shall break in pieces mighty men without number, and set others in their stead.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 25] Therefore he knoweth their works, and he overturneth them in the night, so that they are destroyed.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 26] He striketh them as wicked men in the open sight of others;
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 27] Because they turned back from him, and would not consider any of his ways:
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 28] So that they cause the cry of the poor to come to him, and he heareth the cry of the afflicted.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 29] When he giveth quietness, who then can make trouble? and when he hideth his face, who then can behold him? whether it be done against a nation, or against a man only:
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 30] That the hypocrite may not reign, lest the people should be ensnared.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 31] Surely it is meet to be said to God, I have borne chastisement , I will not offend any more :
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 32] That which I see not teach thou me: if I have done iniquity, I will do no more.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 33] Should it be according to thy mind? he will recompense it, whether thou shalt refuse, or whether thou shalt choose; and not I: therefore speak what thou knowest.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 34] Let men of understanding tell me, and let a wise man hearken to me.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 35] Job hath spoken without knowledge, and his words were without wisdom.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 36] My desire is that Job may be tried to the end, because of his answers for wicked men.
[WEBSTER | EN | OT | Job | Chapter 34 | Verse 37] For he addeth rebellion to his sin, he clappeth his hands among us, and multiplieth his words against God.
