[WEBSTER | EN | OT | Job | Chapter 22 | Verse 1] Then Eliphaz the Temanite answered and said,
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 2] Can a man be profitable to God, as he that is wise may be profitable to himself?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 3] Is it any pleasure to the Almighty, that thou art righteous? or is it gain to him , that thou makest thy ways perfect?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 4] Will he reprove thee for fear of thee? will he enter with thee into judgment?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 5] Is not thy wickedness great? and thy iniquities infinite?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 6] For thou hast taken a pledge from thy brother for naught, and stripped the naked of their clothing.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 7] Thou hast not given water to the weary to drink, and thou hast withheld bread from the hungry.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 8] But as for the mighty man, he had the earth; and the honorable man dwelt in it.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 9] Thou hast sent widows away empty, and the arms of the fatherless have been broken.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 10] Therefore snares are around thee, and sudden fear troubleth thee;
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 11] Or darkness, that thou canst not see; and abundance of waters cover thee.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 12] Is not God in the hight of heaven? and behold the hight of the stars, how high they are!
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 13] And thou sayest, How doth God know? can he judge through the dark cloud?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 14] Thick clouds are a covering to him, that he seeth not; and he walketh in the circuit of heaven.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 15] Hast thou marked the old way which wicked men have trodden?
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 16] Who were cut down out of time, whose foundation was overflowed with a flood!
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 17] Who said to God, depart from us: and what can the Almighty do for them!
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 18] Yet he filled their houses with good things : but the counsel of the wicked is far from me.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 19] The righteous see it , and are glad: and the innocent deride them.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 20] Whereas our substance is not cut down, but the remnant of them the fire consumeth.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 21] Acquaint now thyself with him, and be at peace: by this good shall come to thee.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 22] Receive, I pray thee, the law from his mouth, and lay up his words in thy heart.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 23] If thou shalt return to the Almighty, thou shalt be built up, thou shalt put away iniquity far from thy tabernacles.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 24] Then shalt thou lay up gold as dust, and the gold of Ophir as the stones of the brooks.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 25] Yea, the Almighty shall be thy defense and thou shalt have plenty of silver.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 26] For then shalt thou have thy delight in the Almighty, and shalt lift up thy face to God.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 27] Thou shalt make thy prayer to him, and he shall hear thee, and thou shalt pay thy vows.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 28] Thou shalt also decree a thing, and it shall be established to thee: and the light shall shine upon thy ways.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 29] When men are cast down, then thou shalt say, There is exaltation; and he shall save the humble person.
[WEBSTER | EN | OT | Job | Chapter 22 | Verse 30] He shall deliver the island of the innocent: and it is delivered by the pureness of thy hands.
