[WEBSTER | EN | OT | Job | Chapter 19 | Verse 1] Then Job answered and said,
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 2] How long will ye vex my soul, and break me in pieces with words?
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 3] These ten times have ye reproached me: ye are not ashamed that ye make yourselves strange to me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 4] And be it indeed that I have erred, my error remaineth with myself.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 5] If indeed ye will magnify yourselves against me, and plead against me my reproach:
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 6] Know now that God hath overthrown me, and hath encompassed me with his net.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 7] Behold, I cry out of wrong, but I am not heard: I cry aloud, but there is no judgment.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 8] He hath fenced up my way that I cannot pass, and he hath set darkness in my paths.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 9] He hath stripped me of my glory, and taken the crown from my head.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 10] He hath destroyed me on every side, and I am gone: and my hope hath he removed like a tree.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 11] He hath also kindled his wrath against me, and he counteth me to him as one of his enemies.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 12] His troops come together, and raise up their way against me, and encamp around my tabernacle.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 13] He hath put my brethren far from me, and my acquaintance are verily estranged from me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 14] My kinsmen have failed, and my familiar friends have forgotten me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 15] They that dwell in my house, and my maids, count me for a stranger: I am an alien in their sight.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 16] I called my servant, and he gave me no answer; I entreated him with my mouth.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 17] My breath is strange to my wife, though I entreated for the children's sake of my own body.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 18] Yes, young children despised me; I arose, and they spoke against me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 19] All my intimate friends abhorred me: and they whom I loved are turned against me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 20] My bone cleaveth to my skin and to my flesh, and I have escaped with the skin of my teeth.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 21] Have pity upon me, have pity upon me, O ye my friends; for the hand of God hath touched me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 22] Why do ye persecute me as God, and are not satisfied with my flesh?
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 23] Oh that my words were now written! oh that they were printed in a book!
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 24] That they were graven with an iron pen in lead, in the rock for ever!
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 25] For I know that my redeemer liveth, and that he will stand at the latter day upon the earth:
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 26] And though after my skin worms destroy this body , yet in my flesh shall I see God:
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 27] Whom I shall see for myself, and my eyes shall behold, and not another; though my reins be consumed within me.
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 28] But ye would say, Why persecute we him, seeing the root of the matter is found in me?
[WEBSTER | EN | OT | Job | Chapter 19 | Verse 29] Be ye afraid of the sword: for wrath bringeth the punishments of the sword, that ye may know there is a judgment.
