[WEBSTER | EN | OT | Job | Chapter 17 | Verse 1] My breath is corrupt, my days are extinct, the graves are ready for me.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 2] Are there not mockers with me? and doth not my eye continue in their provocation?
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 3] Lay down now, put me in a surety with thee; who is he that will strike hands with me?
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 4] For thou hast hid their heart from understanding: therefore shalt thou not exalt them .
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 5] He that speaketh flattery to his friends, even the eyes of his children shall fail.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 6] He hath made me also a by-word of the people; and in former time I was as a tabret.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 7] My eye also is dim by reason of sorrow, and all my members are as a shade.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 8] Upright men shall be astonished at this, and the innocent shall stir up himself against the hypocrite.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 9] The righteous also shall hold on his way, and he that hath clean hands shall be stronger and stronger.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 10] But as for you all, do ye return, and come now: for I cannot find one wise man among you.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 11] My days are past, my purposes are broken off, even the thoughts of my heart.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 12] They change the night into day: the light is short because of darkness.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 13] If I wait, the grave is my house: I have made my bed in the darkness.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 14] I have said to corruption, Thou art my father: to the worm, Thou art my mother, and my sister.
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 15] And where is now my hope? as for my hope, who will see it?
[WEBSTER | EN | OT | Job | Chapter 17 | Verse 16] They shall go down to the bars of the pit, when our rest together is in the dust.
