[WEBSTER | EN | OT | Job | Chapter 37 | Verse 1] At this also my heart trembleth, and is moved out of its place.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 2] Hear attentively the noise of his voice, and the sound that goeth out of his mouth.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 3] He directeth it under the whole heaven, and his lightning to the ends of the earth.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 4] After it a voice roareth: he thundereth with the voice of his excellence; and he will not stay them when his voice is heard.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 5] God thundereth marvelously with his voice; great things he doeth, which we cannot comprehend.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 6] For he saith to the snow, Be thou on the earth; likewise to the small rain, and to the great rain of his strength.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 7] He sealeth up the hand of every man; that all men may know his work.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 8] Then the beasts go into dens, and remain in their places.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 9] From the south cometh the whirlwind: and cold from the north.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 10] By the breath of God frost is given: and the breadth of the waters is straitened.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 11] Also by watering he wearieth the thick cloud: he scattereth his bright cloud:
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 12] And it is turned around by his counsels: that they may do whatever he commandeth them upon the face of the world on the earth.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 13] He causeth it to come, whether for correction, or for his land, or for mercy.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 14] Hearken to this, O Job: stand still, and consider the wondrous works of God.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 15] Dost thou know when God disposed them, and caused the light of his cloud to shine?
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 16] Dost thou know the balancings of the clouds, the wondrous works of him who is perfect in knowledge?
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 17] How thy garments are warm, when he quieteth the earth by the south wind ?
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 18] Hast thou with him spread out the sky which is strong, and as a molten looking-glass?
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 19] Teach us what we shall say to him; for we cannot order our speech by reason of darkness.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 20] Shall it be told him that I speak? If a man shall speak, surely he will be swallowed up.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 21] And now men see not the bright light which is in the clouds: but the wind passeth, and cleanseth them.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 22] Fair weather cometh from the north: with God is terrible majesty.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 23] Touching the Almighty, we cannot find him out: he is excellent in power, and in judgment, and in abundance of justice: he will not afflict.
[WEBSTER | EN | OT | Job | Chapter 37 | Verse 24] Men therefore fear him: he respecteth not any that are wise of heart.
