[WEBSTER | EN | OT | Job | Chapter 11 | Verse 1] Then answered Zophar the Naamathite, and said,
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 2] Should not the multitude of words be answered? and should a man full of talk be justified?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 3] Should thy falsehoods make men hold their peace? and when thou mockest, shall no man make thee ashamed?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 4] For thou hast said, My doctrine is pure, and I am clean in thy eyes.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 5] But Oh that God would speak, and open his lips against thee;
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 6] And that he would show thee the secrets of wisdom, that they are double to that which is! Know therefore that God exacteth of thee less than thy iniquity deserveth .
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 7] Canst thou by searching find out God? canst thou find out the Almighty to perfection?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 8] It is as high as heaven; what canst thou do? deeper than hell; what canst thou know?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 9] The measure of it is longer than the earth, and broader than the sea.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 10] If he shall cut off, and shut up, or gather together, then who can hinder him?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 11] For he knoweth vain men: he seeth wickedness also; will he not then consider it ?
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 12] For vain man would be wise, though man is born like a wild ass's colt.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 13] If thou preparest thy heart, and stretchest out thy hands towards him;
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 14] If iniquity is in thy hand, put it far away, and let not wickedness dwell in thy tabernacles.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 15] For then shalt thou lift up thy face without spot; yes, thou shalt be steadfast, and shalt not fear:
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 16] Because thou shalt forget thy misery, and remember it as waters that pass away:
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 17] And thy age shall be clearer than the noon-day: thou shalt shine forth, thou shalt be as the morning.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 18] And thou shalt be secure, because there is hope; yes, thou shalt dig about thee , and thou shalt take thy rest in safety.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 19] Also thou shalt lie down, and none shall make thee afraid; yes, many shall make suit to thee.
[WEBSTER | EN | OT | Job | Chapter 11 | Verse 20] But the eyes of the wicked shall fail, and they shall not escape, and their hope shall be as the expiration of the breath.
