[WEBSTER | EN | OT | Job | Chapter 35 | Verse 1] Elihu spoke moreover, and said,
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 2] Thinkest thou this to be right, that thou saidst, My righteousness is more than God's?
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 3] For thou saidst, What advantage will it be to thee? and , What profit shall I have, if I be cleansed from my sin?
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 4] I will answer thee, and thy companions with thee.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 5] Look to the heavens, and see; and behold the clouds which are higher than thou.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 6] If thou sinnest, what doest thou against him? or if thy transgressions are multiplied, what doest thou to him?
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 7] If thou art righteous, what givest thou to him? or what receiveth he from thy hand?
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 8] Thy wickedness may hurt a man as thou art : and thy righteousness may profit the son of man.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 9] By reason of the multitude of oppressions they make the oppressed to cry: they cry out by reason of the arm of the mighty.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 10] But none saith, Where is God my maker, who giveth songs in the night;
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 11] Who teacheth us more than the beasts of the earth, and maketh us wiser than the fowls of heaven?
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 12] There they cry, but none giveth answer, because of the pride of evil men.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 13] Surely God will not hear vanity, neither will the Almighty regard it.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 14] Although thou sayest thou shalt not see him, yet judgment is before him; therefore trust thou in him.
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 15] But now, because it is not so , he hath visited in his anger; yet he knoweth it not in great extremity:
[WEBSTER | EN | OT | Job | Chapter 35 | Verse 16] Therefore doth Job open his mouth in vain; he multiplieth words without knowledge.
