[WEBSTER | EN | OT | Job | Chapter 1 | Verse 1] There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and shunned evil.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 2] And there were born to him seven sons and three daughters.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 3] His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she-asses, and a very great household; so that this man was the greatest of all the men of the east.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 4] And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 5] And it was so, when the days of their feasting were ended, that Job sent and sanctified them, and rose early in the morning, and offered burnt-offerings according to the number of them all; for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 6] Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 7] And the LORD said to Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro on the earth, and from walking up and down upon it.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 8] And the LORD said to Satan, Hast thou considered my servant Job, that there is none like him on the earth, a perfect and an upright man, one that feareth God, and shunneth evil?
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 9] Then Satan answered the LORD, and said, Doth Job fear God for naught?
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 10] Hast not thou made a hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 11] But put forth thy hand now, and touch all that he hath, and he will curse thee to thy face.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 12] And the LORD said to Satan, Behold, all that he hath is in thy power; only upon himself put not forth thy hand. So Satan went forth from the presence of the LORD.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 13] And there was a day when his sons and his daughters were eating and drinking wine in their eldest brother's house:
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 14] And there came a messenger to Job, and said, The oxen were plowing, and the asses feeding beside them:
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 15] And the Sabeans fell upon them , and took them away; yes, they have slain the servants with the edge of the sword; and I only have escaped alone to tell thee.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 16] While he was yet speaking, there came also another, and said, The fire of God hath fallen from heaven, and hath burned up the sheep and the servants, and consumed them; and I only have escaped alone to tell thee.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 17] While he was yet speaking, there came also another, and said, The Chaldeans made three bands, and fell upon the camels, and have carried them away, yes, and slain the servants with the edge of the sword; and I only have escaped alone to tell thee.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 18] While he was yet speaking, there came also another, and said, Thy sons and thy daughters were eating and drinking wine in their eldest brother's house:
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 19] And behold, there came a great wind from the wilderness, and smote the four corners of the house, and it fell upon the young men, and they are dead; and I only have escaped alone to tell thee.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 20] Then Job arose, and rent his mantle, and shaved his head, and fell upon the ground, and worshiped,
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 21] And said, Naked came I from my mother's womb, and naked shall I return thither: The LORD gave, and the LORD hath taken away; blessed be the name of the LORD.
[WEBSTER | EN | OT | Job | Chapter 1 | Verse 22] In all this Job sinned not, nor charged God foolishly.
