[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 2] Speak to the children of Israel, and say to them, I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 3] After the doings of the land of Egypt in which ye dwelt, shall ye not do: and after the doings of the land of Canaan whither I bring you, shall ye not do: neither shall ye walk in their ordinances.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 4] Ye shall perform my judgments, and keep my ordinances, to walk in them; I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 5] Ye shall therefore keep my statutes and my judgments: which if a man doeth, he shall live in them: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 6] None of you shall approach to any that is near of kin to him, to uncover their nakedness: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 7] The nakedness of thy father, or the nakedness of thy mother, shalt thou not uncover: she is thy mother, thou shalt not uncover her nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 8] The nakedness of thy father's wife shalt thou not uncover: it is thy father's nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 9] The nakedness of thy sister, the daughter of thy father, or daughter of thy mother, whether born at home, or born abroad, even their nakedness thou shalt not uncover.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 10] The nakedness of thy son's daughter, or of thy daughter's daughter, even their nakedness thou shalt not uncover: for theirs is thy own nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 11] The nakedness of thy father's wife's daughter, begotten by thy father, (she is thy sister) thou shalt not uncover her nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 12] Thou shalt not uncover the nakedness of thy father's sister: she is thy father's near kinswoman.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 13] Thou shalt not uncover the nakedness of thy mother's sister: for she is thy mother's near kinswoman.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 14] Thou shalt not uncover the nakedness of thy father's brother, thou shalt not approach to his wife: she is thy aunt.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 15] Thou shalt not uncover the nakedness of thy daughter-in-law: she is thy son's wife, thou shalt not uncover her nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 16] Thou shalt not uncover the nakedness of thy brother's wife: it is thy brother's nakedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 17] Thou shalt not uncover the nakedness of a woman and her daughter, neither shalt thou take her son's daughter, or her daughter's daughter, to uncover her nakedness; for they are her near kinswomen: it is wickedness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 18] Neither shalt thou take a wife to her sister, to vex her , to uncover her nakedness besides the other in her life -time .
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 19] Also thou shalt not approach to a woman to uncover her nakedness, as long as she is put apart for her uncleanness.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 20] Moreover, thou shalt not lie carnally with thy neighbor's wife, to defile thyself with her.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 21] And thou shalt not let any of thy seed pass through the fire to Molech, neither shalt thou profane the name of thy God: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 22] Thou shalt not lie with mankind, as with womankind: it is abomination.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 23] Neither shalt thou lie with any beast to defile thyself therewith: neither shall any woman stand before a beast to lie down thereto: it is confusion.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 24] Defile not ye yourselves in any of these things; for in all these the nations are defiled which I cast out before you:
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 25] And the land is defiled: therefore I do visit its iniquity upon it, and the land itself vomiteth out her inhabitants.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 26] Ye shall therefore keep my statutes and my judgments, and shall not commit any of these abominations; neither any of your own nation, nor any stranger that sojourneth among you.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 27] (For all these abominations have the men of the land done, who were before you, and the land is defiled;)
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 28] That the land may not vomit you out also, when ye defile it, as it vomited out the nations that were before you.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 29] For whoever shall commit any of these abominations, even the souls that commit them shall be cut off from among their people.
[WEBSTER | EN | OT | Leviticus | Chapter 18 | Verse 30] Therefore shall ye keep my ordinance, that ye commit not any one of these abominable customs, which were committed before you, and that ye defile not yourselves in them; I am the LORD your God.
