[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 1] And the LORD spoke to Moses, saying,
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 2] Speak to all the congregation of the children of Israel, and say to them, Ye shall be holy: for I the LORD your God am holy.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 3] Ye shall fear every man his mother and his father, and keep my sabbaths: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 4] Turn ye not to idols, nor make to yourselves molten gods: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 5] And if ye offer a sacrifice of peace-offerings to the LORD, ye shall offer it at your own will.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 6] It shall be eaten the same day ye offer it, and on the morrow: and if aught shall remain until the third day, it shall be burnt in the fire.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 7] And if it shall be eaten at all on the third day, it is abominable; it shall not be accepted.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 8] Therefore every one that eateth it shall bear his iniquity, because he hath profaned the hallowed thing of the LORD; and that soul shall be cut off from among his people.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 9] And when ye reap the harvest of your land, thou shalt not wholly reap the corners of thy field, neither shalt thou gather the gleanings of thy harvest.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 10] And thou shalt not glean thy vineyard, neither shalt thou gather every grape of thy vineyard; thou shalt leave them for the poor and stranger: I am the LORD your God.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 11] Ye shall not steal, neither deal falsely, neither lie one to another.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 12] And ye shall not swear by my name falsely, neither shalt thou profane the name of thy God: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 13] Thou shalt not defraud thy neighbor, neither rob him : the wages of him that is hired shall not abide with thee all night until the morning.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 14] Thou shalt not curse the deaf, nor put a stumbling-block before the blind, but shalt fear thy God: I am the LORD.
[WEBSTER | EN | OT | Leviticus | Chapter 19 | Verse 15] Ye shall do no unrighteousness in judgment; thou shalt not respect the person of the poor, nor honor the person of the mighty: but in righteousness shalt thou judge thy neighbor.
