[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 1] Μετὰ ταῦτα εἶδον ἄλλον ἄγγελον καταβαίνοντα ἐκ τοῦ οὐρανοῦ, ἔχοντα ἐξουσίαν μεγάλην, καὶ ἡ γῆ ἐφωτίσθη ἐκ τῆς δόξης αὐτοῦ.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 2] καὶ ἔκραξεν ⸀ἐν ἰσχυρᾷ φωνῇ λέγων· Ἔπεσεν, ⸀ἔπεσεν Βαβυλὼν ἡ μεγάλη, καὶ ἐγένετο κατοικητήριον ⸀δαιμονίων καὶ φυλακὴ παντὸς πνεύματος ἀκαθάρτου καὶ φυλακὴ παντὸς ὀρνέου ἀκαθάρτου ⸂καὶ φυλακὴ παντὸς θηρίου ἀκαθάρτου⸃ καὶ μεμισημένου,
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 3] ὅτι ἐκ τοῦ οἴνου τοῦ θυμοῦ τῆς πορνείας αὐτῆς ⸀πέπτωκαν πάντα τὰ ἔθνη, καὶ οἱ βασιλεῖς τῆς γῆς μετʼ αὐτῆς ἐπόρνευσαν, καὶ οἱ ἔμποροι τῆς γῆς ἐκ τῆς δυνάμεως τοῦ στρήνους αὐτῆς ἐπλούτησαν.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 4] Καὶ ἤκουσα ἄλλην φωνὴν ἐκ τοῦ οὐρανοῦ λέγουσαν· ⸀Ἐξέλθατε, ⸂ὁ λαός μου, ἐξ αὐτῆς⸃, ἵνα μὴ συγκοινωνήσητε ταῖς ἁμαρτίαις αὐτῆς, καὶ ἐκ τῶν πληγῶν αὐτῆς ἵνα μὴ λάβητε·
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 5] ὅτι ἐκολλήθησαν αὐτῆς αἱ ἁμαρτίαι ἄχρι τοῦ οὐρανοῦ, καὶ ἐμνημόνευσεν ὁ θεὸς τὰ ἀδικήματα αὐτῆς.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 6] ἀπόδοτε αὐτῇ ὡς καὶ αὐτὴ ἀπέδωκεν, καὶ ⸀διπλώσατε ⸀τὰ διπλᾶ κατὰ τὰ ἔργα αὐτῆς· ἐν τῷ ποτηρίῳ ᾧ ἐκέρασεν κεράσατε αὐτῇ διπλοῦν·
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 7] ὅσα ἐδόξασεν αὑτὴν καὶ ἐστρηνίασεν, τοσοῦτον δότε αὐτῇ βασανισμὸν καὶ πένθος. ὅτι ἐν τῇ καρδίᾳ αὐτῆς λέγει ὅτι Κάθημαι βασίλισσα, καὶ χήρα οὐκ εἰμί, καὶ πένθος οὐ μὴ ἴδω.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 8] διὰ τοῦτο ἐν μιᾷ ἡμέρᾳ ἥξουσιν αἱ πληγαὶ αὐτῆς, θάνατος καὶ πένθος καὶ λιμός, καὶ ἐν πυρὶ κατακαυθήσεται· ὅτι ἰσχυρὸς κύριος ὁ θεὸς ὁ κρίνας αὐτήν.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 9] Καὶ κλαύσουσιν καὶ κόψονται ἐπʼ αὐτὴν οἱ βασιλεῖς τῆς γῆς οἱ μετʼ αὐτῆς πορνεύσαντες καὶ στρηνιάσαντες, ὅταν βλέπωσιν τὸν καπνὸν τῆς πυρώσεως αὐτῆς,
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 10] ἀπὸ μακρόθεν ἑστηκότες διὰ τὸν φόβον τοῦ βασανισμοῦ αὐτῆς λέγοντες· Οὐαὶ οὐαί, ἡ πόλις ἡ μεγάλη, Βαβυλὼν ἡ πόλις ἡ ἰσχυρά, ὅτι μιᾷ ὥρᾳ ἦλθεν ἡ κρίσις σου.
[SBLGNT | EL | NT | Revelation | Chapter 18 | Verse 11] Καὶ οἱ ἔμποροι τῆς γῆς ⸂κλαίουσιν καὶ πενθοῦσιν⸃ ἐπʼ ⸀αὐτήν, ὅτι τὸν γόμον αὐτῶν οὐδεὶς ἀγοράζει οὐκέτι,
