[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 1] Καὶ εἶδον οὐρανὸν καινὸν καὶ γῆν καινήν· ὁ γὰρ πρῶτος οὐρανὸς καὶ ἡ πρώτη γῆ ἀπῆλθαν, καὶ ἡ θάλασσα οὐκ ἔστιν ἔτι.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 2] καὶ τὴν πόλιν τὴν ἁγίαν Ἰερουσαλὴμ καινὴν εἶδον καταβαίνουσαν ἐκ τοῦ οὐρανοῦ ἀπὸ τοῦ θεοῦ, ἡτοιμασμένην ὡς νύμφην κεκοσμημένην τῷ ἀνδρὶ αὐτῆς.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 3] καὶ ἤκουσα φωνῆς μεγάλης ἐκ τοῦ ⸀θρόνου λεγούσης· Ἰδοὺ ἡ σκηνὴ τοῦ θεοῦ μετὰ τῶν ἀνθρώπων, καὶ σκηνώσει μετʼ αὐτῶν, καὶ αὐτοὶ ⸀λαοὶ αὐτοῦ ἔσονται, καὶ αὐτὸς ὁ θεὸς ⸂μετʼ αὐτῶν ἔσται⸃,
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 4] καὶ ἐξαλείψει πᾶν δάκρυον ⸀ἐκ τῶν ὀφθαλμῶν αὐτῶν, καὶ ὁ θάνατος οὐκ ἔσται ἔτι· οὔτε πένθος οὔτε κραυγὴ οὔτε πόνος οὐκ ἔσται ⸀ἔτι. τὰ πρῶτα ἀπῆλθαν.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 5] Καὶ εἶπεν ὁ καθήμενος ἐπὶ τῷ θρόνῳ· Ἰδοὺ ⸂καινὰ ποιῶ πάντα⸃. καὶ ⸀λέγει· Γράψον, ὅτι οὗτοι οἱ λόγοι ⸂πιστοὶ καὶ ἀληθινοί⸃ εἰσιν.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 6] καὶ εἶπέν μοι· ⸂Γέγοναν. ἐγὼ⸃ τὸ Ἄλφα καὶ τὸ Ὦ, ἡ ἀρχὴ καὶ τὸ τέλος. ἐγὼ τῷ διψῶντι δώσω ἐκ τῆς πηγῆς τοῦ ὕδατος τῆς ζωῆς δωρεάν.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 7] ὁ νικῶν κληρονομήσει ταῦτα, καὶ ἔσομαι αὐτῷ θεὸς καὶ αὐτὸς ἔσται μοι υἱός.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 8] τοῖς δὲ δειλοῖς καὶ ⸀ἀπίστοις καὶ ἐβδελυγμένοις καὶ φονεῦσι καὶ πόρνοις καὶ φαρμάκοις καὶ εἰδωλολάτραις καὶ πᾶσι τοῖς ψευδέσιν τὸ μέρος αὐτῶν ἐν τῇ λίμνῃ τῇ καιομένῃ πυρὶ καὶ θείῳ, ὅ ἐστιν ὁ θάνατος ὁ δεύτερος.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 9] Καὶ ἦλθεν εἷς ἐκ τῶν ἑπτὰ ἀγγέλων τῶν ἐχόντων τὰς ἑπτὰ φιάλας, ⸂τῶν γεμόντων⸃ τῶν ἑπτὰ πληγῶν τῶν ἐσχάτων, καὶ ἐλάλησεν μετʼ ἐμοῦ λέγων· Δεῦρο, δείξω σοι τὴν ⸂νύμφην τὴν γυναῖκα⸃ τοῦ ἀρνίου.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 10] καὶ ἀπήνεγκέν με ἐν πνεύματι ἐπὶ ὄρος μέγα καὶ ὑψηλόν, καὶ ἔδειξέν μοι τὴν ⸀πόλιν τὴν ἁγίαν Ἰερουσαλὴμ καταβαίνουσαν ἐκ τοῦ οὐρανοῦ ἀπὸ τοῦ θεοῦ,
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 11] ἔχουσαν τὴν δόξαν τοῦ θεοῦ· ὁ φωστὴρ αὐτῆς ὅμοιος λίθῳ τιμιωτάτῳ, ὡς λίθῳ ἰάσπιδι κρυσταλλίζοντι·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 12] ἔχουσα τεῖχος μέγα καὶ ὑψηλόν, ἔχουσα πυλῶνας δώδεκα, καὶ ἐπὶ ⸂τοῖς πυλῶσιν⸃ ἀγγέλους δώδεκα, καὶ ὀνόματα ἐπιγεγραμμένα ἅ ⸀ἐστιν τῶν δώδεκα ⸀φυλῶν υἱῶν Ἰσραήλ·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 13] ἀπὸ ⸀ἀνατολῆς πυλῶνες τρεῖς, καὶ ἀπὸ βορρᾶ πυλῶνες τρεῖς, καὶ ἀπὸ νότου πυλῶνες τρεῖς, καὶ ἀπὸ δυσμῶν πυλῶνες τρεῖς·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 14] καὶ τὸ τεῖχος τῆς πόλεως ⸀ἔχων θεμελίους δώδεκα, καὶ ἐπʼ αὐτῶν δώδεκα ὀνόματα τῶν δώδεκα ἀποστόλων τοῦ ἀρνίου.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 15] Καὶ ὁ λαλῶν μετʼ ἐμοῦ εἶχεν μέτρον κάλαμον χρυσοῦν, ἵνα μετρήσῃ τὴν πόλιν καὶ τοὺς πυλῶνας αὐτῆς καὶ τὸ τεῖχος αὐτῆς.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 16] καὶ ἡ πόλις τετράγωνος κεῖται, καὶ τὸ μῆκος αὐτῆς ⸀ὅσον τὸ πλάτος. καὶ ἐμέτρησεν τὴν πόλιν τῷ καλάμῳ ἐπὶ ⸀σταδίους δώδεκα ⸀χιλιάδων· τὸ μῆκος καὶ τὸ πλάτος καὶ τὸ ὕψος αὐτῆς ἴσα ἐστίν.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 17] καὶ ἐμέτρησεν τὸ τεῖχος αὐτῆς ἑκατὸν τεσσεράκοντα τεσσάρων πηχῶν, μέτρον ἀνθρώπου, ὅ ἐστιν ἀγγέλου.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 18] ⸀καὶ ἡ ἐνδώμησις τοῦ τείχους αὐτῆς ἴασπις, καὶ ἡ πόλις χρυσίον καθαρὸν ὅμοιον ὑάλῳ καθαρῷ·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 19] ⸀οἱ θεμέλιοι τοῦ τείχους τῆς πόλεως παντὶ λίθῳ τιμίῳ κεκοσμημένοι· ὁ θεμέλιος ὁ πρῶτος ἴασπις, ὁ δεύτερος σάπφιρος, ὁ τρίτος χαλκηδών, ὁ τέταρτος σμάραγδος,
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 20] ὁ πέμπτος σαρδόνυξ, ὁ ἕκτος σάρδιον, ὁ ἕβδομος χρυσόλιθος, ὁ ὄγδοος βήρυλλος, ὁ ἔνατος τοπάζιον, ὁ δέκατος χρυσόπρασος, ὁ ἑνδέκατος ὑάκινθος, ὁ δωδέκατος ἀμέθυστος·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 21] καὶ οἱ δώδεκα πυλῶνες δώδεκα μαργαρῖται, ἀνὰ εἷς ἕκαστος τῶν πυλώνων ἦν ἐξ ἑνὸς μαργαρίτου· καὶ ἡ πλατεῖα τῆς πόλεως χρυσίον καθαρὸν ὡς ὕαλος διαυγής.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 22] Καὶ ναὸν οὐκ εἶδον ἐν αὐτῇ, ὁ γὰρ κύριος, ὁ θεός, ὁ παντοκράτωρ, ναὸς αὐτῆς ἐστιν, καὶ τὸ ἀρνίον.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 23] καὶ ἡ πόλις οὐ χρείαν ἔχει τοῦ ἡλίου οὐδὲ τῆς σελήνης, ἵνα φαίνωσιν αὐτῇ, ἡ γὰρ δόξα τοῦ θεοῦ ἐφώτισεν αὐτήν, καὶ ὁ λύχνος αὐτῆς τὸ ἀρνίον.
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 24] καὶ περιπατήσουσιν τὰ ἔθνη διὰ τοῦ φωτὸς αὐτῆς· καὶ οἱ βασιλεῖς τῆς γῆς φέρουσιν ⸂τὴν δόξαν αὐτῶν⸃ εἰς αὐτήν·
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 25] καὶ οἱ πυλῶνες αὐτῆς οὐ μὴ κλεισθῶσιν ἡμέρας, νὺξ γὰρ οὐκ ἔσται ἐκεῖ,
[SBLGNT | EL | NT | Revelation | Chapter 21 | Verse 26] καὶ οἴσουσιν τὴν δόξαν καὶ τὴν τιμὴν τῶν ἐθνῶν εἰς αὐτήν.
