[GRCGTR | EL | NT | John | Chapter 9 | Verse 1] Καὶ παράγων εἶδεν ἄνθρωπον τυφλὸν ἐκ γενετῆς.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 2] Καὶ ἠρώτησαν αὐτὸν οἱ μαθηταὶ αὐτοῦ λέγοντες, Ῥαββί, τίς ἥμαρτεν, οὗτος ἢ οἱ γονεῖς αὐτοῦ, ἵνα τυφλὸς γεννηθῇ;
[GRCGTR | EL | NT | John | Chapter 9 | Verse 3] Ἀπεκρίθη ὁ Ἰησοῦς, Οὔτε οὗτος ἥμαρτεν οὔτε οἱ γονεῖς αὐτοῦ· ἀλλ᾿ ἵνα φανερωθῇ τὰ ἔργα τοῦ Θεοῦ ἐν αὐτῷ.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 4] Ἐμὲ δεῖ ἐργάζεσθαι τὰ ἔργα τοῦ πέμψαντός με ἕως ἡμέρα ἐστίν· ἔρχεται νύξ, ὅτε οὐδεὶς δύναται ἐργάζεσθαι.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 5] Ὅταν ἐν τῷ κόσμῳ ὦ, φῶς εἰμι τοῦ κόσμου.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 6] Ταῦτα εἰπών, ἔπτυσε χαμαί, καὶ ἐποίησε πηλὸν ἐκ τοῦ πτύσματος, καὶ ἐπέχρισε τὸν πηλὸν ἐπὶ τοὺς ὀφθαλμοὺς τοῦ τυφλοῦ,
[GRCGTR | EL | NT | John | Chapter 9 | Verse 7] καὶ εἶπεν αὐτῷ, Ὕπαγε νίψαι εἰς τὴν κολυμβήθραν τοῦ Σιλωάμ — ὃ ἑρμηνεύεται, Ἀπεσταλμένος. Ἀπῆλθεν οὖν καὶ ἐνίψατο, καὶ ἦλθε βλέπων.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 8] Οἱ οὖν γείτονες καὶ οἱ θεωροῦντες αὐτὸν τὸ πρότερον ὅτι τυφλὸς ἦν, ἔλεγον, Οὐχ οὗτός ἐστιν ὁ καθήμενος καὶ προσαιτῶν;
[GRCGTR | EL | NT | John | Chapter 9 | Verse 9] Ἄλλοι ἔλεγον ὅτι Οὗτός ἐστιν· ἄλλοι δὲ ὅτι Ὅμοιος αὐτῷ ἐστιν. Ἐκεῖνος ἔλεγεν ὅτι Ἐγώ εἰμι.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 10] Ἔλεγον οὖν αὐτῷ, Πῶς ἀνεῴχθησάν + 9:10 σου ¦ σοι ELZ σου οἱ ὀφθαλμοί;
[GRCGTR | EL | NT | John | Chapter 9 | Verse 11] Ἀπεκρίθη ἐκεῖνος καὶ εἶπεν, Ἄνθρωπος λεγόμενος Ἰησοῦς πηλὸν ἐποίησε, καὶ ἐπέχρισέ μου τοὺς ὀφθαλμούς, καὶ εἶπέ μοι, Ὕπαγε εἰς τὴν κολυμβήθραν τοῦ Σιλωάμ, καὶ νίψαι. Ἀπελθὼν δὲ καὶ νιψάμενος, ἀνέβλεψα.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 12] Εἶπον οὖν αὐτῷ, Ποῦ ἐστιν ἐκεῖνος; Λέγει, Οὐκ οἶδα.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 13] Ἄγουσιν αὐτὸν πρὸς τοὺς Φαρισαίους, τόν ποτε τυφλόν.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 14] Ἦν δὲ σάββατον ὅτε τὸν πηλὸν ἐποίησεν ὁ Ἰησοῦς, καὶ ἀνέῳξεν αὐτοῦ τοὺς ὀφθαλμούς.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 15] Πάλιν οὖν ἠρώτων αὐτὸν καὶ οἱ Φαρισαῖοι, πῶς ἀνέβλεψεν. Ὁ δὲ εἶπεν αὐτοῖς, Πηλὸν ἐπέθηκέν ἐπὶ τοὺς ὀφθαλμούς μου, καὶ ἐνιψάμην, καὶ βλέπω.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 16] Ἔλεγον οὖν ἐκ τῶν Φαρισαίων τινές, Οὗτος ὁ ἄνθρωπος οὐκ ἔστι παρὰ τοῦ Θεοῦ, ὅτι τὸ σάββατον οὐ τηρεῖ. Ἄλλοι ἔλεγον, Πῶς δύναται ἄνθρωπος ἁμαρτωλὸς τοιαῦτα σημεῖα ποιεῖν; Καὶ σχίσμα ἦν ἐν αὐτοῖς.
[GRCGTR | EL | NT | John | Chapter 9 | Verse 17] Λέγουσι τῷ τυφλῷ πάλιν, Σὺ τί λέγεις περὶ αὐτοῦ, ὅτι ἤνοιξέ σου τοὺς ὀφθαλμούς; Ὁ δὲ εἶπεν ὅτι Προφήτης ἐστίν.
