[GRCGTR | EL | NT | John | Chapter 4 | Verse 1] Ὡς οὖν ἔγνω ὁ Κύριος ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι Ἰησοῦς πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης —
[GRCGTR | EL | NT | John | Chapter 4 | Verse 2] καίτοιγε Ἰησοῦς αὐτὸς οὐκ ἐβάπτιζεν, ἀλλ᾿ οἱ μαθηταὶ αὐτοῦ —
[GRCGTR | EL | NT | John | Chapter 4 | Verse 3] ἀφῆκε τὴν Ἰουδαίαν, καὶ ἀπῆλθε πάλιν εἰς τὴν Γαλιλαίαν.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 4] Ἔδει δὲ αὐτὸν διέρχεσθαι διὰ τῆς Σαμαρείας.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 5] Ἔρχεται οὖν εἰς πόλιν τῆς Σαμαρείας λεγομένην + 4:5 Συχάρ ¦ Σιχάρ ELZ Συχάρ, πλησίον τοῦ χωρίου ὃ ἔδωκεν Ἰακὼβ Ἰωσὴφ τῷ υἱῷ αὐτοῦ·
[GRCGTR | EL | NT | John | Chapter 4 | Verse 6] ἦν δὲ ἐκεῖ πηγὴ τοῦ Ἰακώβ. Ὁ οὖν Ἰησοῦς κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ. Ὥρα ἦν ὡσεὶ ἕκτη.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 7] Ἔρχεται γυνὴ ἐκ τῆς Σαμαρείας ἀντλῆσαι ὕδωρ· λέγει αὐτῇ ὁ Ἰησοῦς, Δός μοι πιεῖν.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 8] Οἱ γὰρ μαθηταὶ αὐτοῦ ἀπεληλύθεισαν εἰς τὴν πόλιν, ἵνα τροφὰς ἀγοράσωσι.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 9] Λέγει οὖν αὐτῷ ἡ γυνὴ ἡ Σαμαρεῖτις, Πῶς σὺ Ἰουδαῖος ὢν παρ᾿ ἐμοῦ πιεῖν αἰτεῖς, οὔσης γυναικὸς Σαμαρείτιδος; — Οὐ γὰρ συγχρῶνται Ἰουδαῖοι Σαμαρείταις.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 10] Ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῇ, Εἰ ᾔδεις τὴν δωρεὰν τοῦ Θεοῦ, καὶ τίς ἐστιν ὁ λέγων σοι, Δός μοι πιεῖν, σὺ ἂν ᾔτησας αὐτόν, καὶ ἔδωκεν ἄν σοι ὕδωρ ζῶν.
[GRCGTR | EL | NT | John | Chapter 4 | Verse 11] Λέγει αὐτῷ ἡ γυνή, Κύριε, οὔτε ἄντλημα ἔχεις, καὶ τὸ φρέαρ ἐστὶ βαθύ· πόθεν οὖν ἔχεις τὸ ὕδωρ τὸ ζῶν;
