[GRCGTR | EL | NT | John | Chapter 1 | Verse 1] Ἐν ἀρχῇ ἦν ὁ λόγος, καὶ ὁ λόγος ἦν πρὸς τὸν Θεόν, καὶ Θεὸς ἦν ὁ λόγος.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 2] Οὗτος ἦν ἐν ἀρχῇ πρὸς τὸν Θεόν.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 3] Πάντα δι᾿ αὐτοῦ ἐγένετο, καὶ χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἓν ὃ γέγονεν.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 4] Ἐν αὐτῷ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων,
[GRCGTR | EL | NT | John | Chapter 1 | Verse 5] καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 6] Ἐγένετο ἄνθρωπος ἀπεσταλμένος παρὰ Θεοῦ, ὄνομα αὐτῷ Ἰωάννης.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 7] Οὗτος ἦλθεν εἰς μαρτυρίαν, ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσι δι᾿ αὐτοῦ.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 8] Οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλ᾿ ἵνα μαρτυρήσῃ περὶ τοῦ φωτός.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 9] Ἦν τὸ φῶς τὸ ἀληθινόν, ὃ φωτίζει πάντα ἄνθρωπον ἐρχόμενον εἰς τὸν κόσμον.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 10] Ἐν τῷ κόσμῳ ἦν, καὶ ὁ κόσμος δι᾿ αὐτοῦ ἐγένετο, καὶ ὁ κόσμος αὐτὸν οὐκ ἔγνω.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 11] Εἰς τὰ ἴδια ἦλθε, καὶ οἱ ἴδιοι αὐτὸν οὐ παρέλαβον.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 12] Ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα Θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ·
[GRCGTR | EL | NT | John | Chapter 1 | Verse 13] οἳ οὐκ ἐξ αἱμάτων, οὐδὲ ἐκ θελήματος σαρκός, οὐδὲ ἐκ θελήματος ἀνδρός, ἀλλ᾿ ἐκ Θεοῦ ἐγεννήθησαν.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 14] Καὶ ὁ λόγος σὰρξ ἐγένετο, καὶ ἐσκήνωσεν ἐν ἡμῖν — καὶ ἐθεασάμεθα τὴν δόξαν αὐτοῦ, δόξαν ὡς μονογενοῦς παρὰ πατρός — πλήρης χάριτος καὶ ἀληθείας.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 15] Ἰωάννης μαρτυρεῖ περὶ αὐτοῦ, καὶ κέκραγε λέγων, Οὗτος ἦν ὃν εἶπον, Ὁ ὀπίσω μου ἐρχόμενος ἔμπροσθέν μου γέγονεν· ὅτι πρῶτός μου ἦν.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 16] Καὶ ἐκ τοῦ πληρώματος αὐτοῦ ἡμεῖς πάντες ἐλάβομεν, καὶ χάριν ἀντὶ χάριτος.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 17] Ὅτι ὁ νόμος διὰ Μωσέως ἐδόθη, ἡ χάρις καὶ ἡ ἀλήθεια διὰ Ἰησοῦ Χριστοῦ ἐγένετο.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 18] Θεὸν οὐδεὶς ἑώρακε πώποτε· ὁ μονογενὴς υἱός, ὁ ὢν εἰς τὸν κόλπον τοῦ πατρός, ἐκεῖνος ἐξηγήσατο.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 19] Καὶ αὕτη ἐστὶν ἡ μαρτυρία τοῦ Ἰωάννου, ὅτε ἀπέστειλαν οἱ Ἰουδαῖοι ἐξ Ἱεροσολύμων ἱερεῖς καὶ Λευΐτας ἵνα ἐρωτήσωσιν αὐτόν, Σὺ τίς εἶ;
[GRCGTR | EL | NT | John | Chapter 1 | Verse 20] Καὶ ὡμολόγησε, καὶ οὐκ ἠρνήσατο· καὶ ὡμολόγησεν ὅτι Οὐκ εἰμὶ ἐγὼ ὁ Χριστός.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 21] Καὶ ἠρώτησαν αὐτόν, Τί οὖν; Ἠλίας εἶ σύ; Καὶ λέγει, Οὐκ εἰμί. Ὁ προφήτης εἶ σύ; Καὶ ἀπεκρίθη, Οὔ.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 22] Εἶπον οὖν αὐτῷ, Τίς εἶ; Ἵνα ἀπόκρισιν δῶμεν τοῖς πέμψασιν ἡμᾶς. Τί λέγεις περὶ σεαυτοῦ;
[GRCGTR | EL | NT | John | Chapter 1 | Verse 23] Ἔφη, Ἐγὼ φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, Εὐθύνατε τὴν ὁδὸν Κυρίου, καθὼς εἶπεν Ἠσαΐας ὁ προφήτης.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 24] Καὶ οἱ ἀπεσταλμένοι ἦσαν ἐκ τῶν Φαρισαίων.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 25] Καὶ ἠρώτησαν αὐτόν, καὶ εἶπον αὐτῷ, Τί οὖν βαπτίζεις, εἰ σὺ οὐκ εἶ ὁ Χριστός, οὔτε Ἠλίας, οὔτε ὁ προφήτης;
[GRCGTR | EL | NT | John | Chapter 1 | Verse 26] Ἀπεκρίθη αὐτοῖς ὁ Ἰωάννης λέγων, Ἐγὼ βαπτίζω ἐν ὕδατι· μέσος δὲ ὑμῶν ἕστηκεν ὃν ὑμεῖς οὐκ οἴδατε.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 27] Αὐτός ἐστιν ὁ ὀπίσω μου ἐρχόμενος, ὃς ἔμπροσθέν μου γέγονεν· οὗ ἐγὼ οὐκ εἰμὶ ἄξιος ἵνα λύσω αὐτοῦ τὸν ἱμάντα τοῦ ὑποδήματος.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 28] Ταῦτα ἐν Βηθαβαρᾶ ἐγένετο πέραν τοῦ Ἰορδάνου, ὅπου ἦν Ἰωάννης βαπτίζων.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 29] Τῇ ἐπαύριον βλέπει ὁ Ἰωάννης τὸν Ἰησοῦν ἐρχόμενον πρὸς αὐτόν, καὶ λέγει, Ἴδε ὁ ἀμνὸς τοῦ Θεοῦ, ὁ αἴρων τὴν ἁμαρτίαν τοῦ κόσμου.
[GRCGTR | EL | NT | John | Chapter 1 | Verse 30] Οὗτός ἐστι περὶ οὗ ἐγὼ εἶπον, Ὀπίσω μου ἔρχεται ἀνὴρ ὃς ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν.
