[GRCGTR | EL | NT | John | Chapter 8 | Verse 1] Ἰησοῦς δὲ ἐπορεύθη εἰς τὸ ὄρος τῶν Ἐλαιῶν.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 2] Ὄρθρου δὲ πάλιν παρεγένετο εἰς τὸ ἱερόν, καὶ πᾶς ὁ λαὸς ἤρχετο πρὸς αὐτόν· καὶ καθίσας ἐδίδασκεν αὐτούς.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 3] Ἄγουσι δὲ οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι πρὸς αὐτὸν γυναῖκα ἐν μοιχείᾳ κατειλημμένην· καὶ στήσαντες αὐτὴν ἐν μέσῳ,
[GRCGTR | EL | NT | John | Chapter 8 | Verse 4] λέγουσιν αὐτῷ, Διδάσκαλε, αὕτη ἡ γυνὴ κατειλήφθη ἐπαυτοφώρῳ μοιχευομένη.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 5] Ἐν δὲ τῷ νόμῳ Μωσῆς ἡμῖν ἐνετείλατο τὰς τοιαύτας λιθοβολεῖσθαι· σὺ οὖν τί λέγεις;
[GRCGTR | EL | NT | John | Chapter 8 | Verse 6] Τοῦτο δὲ ἔλεγον πειράζοντες αὐτόν, ἵνα ἔχωσι κατηγορεῖν αὐτοῦ. Ὁ δὲ Ἰησοῦς κάτω κύψας, τῷ δακτύλῳ ἔγραφεν εἰς τὴν + 8:6 γῆν ¦ γῆν, μὴ προσποιούμενος SCR γῆν.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 7] Ὡς δὲ ἐπέμενον ἐρωτῶντες αὐτόν, ἀνακύψας εἶπε πρὸς αὐτούς, Ὁ ἀναμάρτητος ὑμῶν, πρῶτος τὸν λίθον ἐπ᾿ αὐτῇ βαλέτω.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 8] Καὶ πάλιν κάτω κύψας ἔγραφεν εἰς τὴν γῆν.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 9] Οἱ δέ, ἀκούσαντες, καὶ ὑπὸ τῆς συνειδήσεως ἐλεγχόμενοι, ἐξήρχοντο εἷς καθ᾿ εἷς, ἀρξάμενοι ἀπὸ τῶν πρεσβυτέρων ἕως τῶν ἐσχάτων· καὶ κατελείφθη μόνος ὁ Ἰησοῦς, καὶ ἡ γυνὴ ἐν μέσῳ ἑστῶσα.
[GRCGTR | EL | NT | John | Chapter 8 | Verse 10] Ἀνακύψας δὲ ὁ Ἰησοῦς, καὶ μηδένα θεασάμενος πλὴν τῆς γυναικός, εἶπεν αὐτῇ, Ἡ γυνή, ποῦ εἰσιν ἐκεῖνοι οἱ κατήγοροί σου; Οὐδείς σε κατέκρινεν;
[GRCGTR | EL | NT | John | Chapter 8 | Verse 11] Ἡ δὲ εἶπεν, Οὐδείς, Κύριε. Εἶπε δὲ αὐτῇ ὁ Ἰησοῦς, Οὐδὲ ἐγώ σε κατακρίνω· πορεύου καὶ μηκέτι ἁμάρτανε.
