[GRCGTR | EL | NT | John | Chapter 11 | Verse 1] Ἦν δέ τις ἀσθενῶν Λάζαρος ἀπὸ Βηθανίας, ἐκ τῆς κώμης Μαρίας καὶ Μάρθας τῆς ἀδελφῆς αὐτῆς.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 2] Ἦν δὲ Μαρία ἡ ἀλείψασα τὸν Κύριον μύρῳ, καὶ ἐκμάξασα τοὺς πόδας αὐτοῦ ταῖς θριξὶν αὐτῆς, ἧς ὁ ἀδελφὸς Λάζαρος ἠσθένει.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 3] Ἀπέστειλαν οὖν αἱ ἀδελφαὶ πρὸς αὐτὸν λέγουσαι, Κύριε, ἴδε ὃν φιλεῖς ἀσθενεῖ.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 4] Ἀκούσας δὲ ὁ Ἰησοῦς εἶπεν, Αὕτη ἡ ἀσθένεια οὐκ ἔστι πρὸς θάνατον, ἀλλ᾿ ὑπὲρ τῆς δόξης τοῦ Θεοῦ, ἵνα δοξασθῇ ὁ υἱὸς τοῦ Θεοῦ δι᾿ αὐτῆς.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 5] Ἠγάπα δὲ ὁ Ἰησοῦς τὴν Μάρθαν καὶ τὴν ἀδελφὴν αὐτῆς καὶ τὸν Λάζαρον.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 6] Ὡς οὖν ἤκουσεν ὅτι ἀσθενεῖ, τότε μὲν ἔμεινεν ἐν ᾧ ἦν τόπῳ δύο ἡμέρας.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 7] Ἔπειτα μετὰ τοῦτο λέγει τοῖς μαθηταῖς, Ἄγωμεν εἰς τὴν Ἰουδαίαν πάλιν.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 8] Λέγουσιν αὐτῷ οἱ μαθηταί, Ῥαββί, νῦν ἐζήτουν σε λιθάσαι οἱ Ἰουδαῖοι, καὶ πάλιν ὑπάγεις ἐκεῖ;
[GRCGTR | EL | NT | John | Chapter 11 | Verse 9] Ἀπεκρίθη ὁ Ἰησοῦς, Οὐχὶ δώδεκά εἰσιν ὧραι τῆς ἡμέρας; Ἐάν τις περιπατῇ ἐν τῇ ἡμέρᾳ, οὐ προσκόπτει, ὅτι τὸ φῶς τοῦ κόσμου τούτου βλέπει.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 10] Ἐὰν δέ τις περιπατῇ ἐν τῇ νυκτί, προσκόπτει, ὅτι τὸ φῶς οὐκ ἔστιν ἐν αὐτῷ.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 11] Ταῦτα εἶπε, καὶ μετὰ τοῦτο λέγει αὐτοῖς, Λάζαρος ὁ φίλος ἡμῶν κεκοίμηται· ἀλλὰ πορεύομαι ἵνα ἐξυπνίσω αὐτόν.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 12] Εἶπον οὖν οἱ μαθηταὶ αὐτοῦ, Κύριε, εἰ κεκοίμηται, σωθήσεται.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 13] Εἰρήκει δὲ ὁ Ἰησοῦς περὶ τοῦ θανάτου αὐτοῦ· ἐκεῖνοι δὲ ἔδοξαν ὅτι περὶ τῆς κοιμήσεως τοῦ ὕπνου λέγει.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 14] Τότε οὖν εἶπεν αὐτοῖς ὁ Ἰησοῦς παρρησίᾳ, Λάζαρος ἀπέθανε.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 15] Καὶ χαίρω δι᾿ ὑμᾶς, ἵνα πιστεύσητε, ὅτι οὐκ ἤμην ἐκεῖ· ἀλλ᾿ ἄγωμεν πρὸς αὐτόν.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 16] Εἶπεν οὖν Θωμᾶς, ὁ λεγόμενος Δίδυμος, τοῖς συμμαθηταῖς, Ἄγωμεν καὶ ἡμεῖς, ἵνα ἀποθάνωμεν μετ᾿ αὐτοῦ.
[GRCGTR | EL | NT | John | Chapter 11 | Verse 17] Ἐλθὼν οὖν ὁ Ἰησοῦς εὗρεν αὐτὸν τέσσαρας ἡμέρας ἤδη ἔχοντα ἐν τῷ μνημείῳ.
