[GRCGTR | EL | NT | John | Chapter 12 | Verse 1] Ὁ οὖν Ἰησοῦς πρὸ ἓξ ἡμερῶν τοῦ Πάσχα ἦλθεν εἰς Βηθανίαν, ὅπου ἦν Λάζαρος ὁ τεθνηκώς, ὃν ἤγειρεν ἐκ νεκρῶν.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 2] Ἐποίησαν οὖν αὐτῷ δεῖπνον ἐκεῖ, καὶ ἡ Μάρθα διηκόνει· ὁ δὲ Λάζαρος εἷς ἦν τῶν συνανακειμένων αὐτῷ.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 3] Ἡ οὖν Μαρία λαβοῦσα λίτραν μύρου νάρδου πιστικῆς πολυτίμου, ἤλειψε τοὺς πόδας τοῦ Ἰησοῦ, καὶ ἐξέμαξε ταῖς θριξὶν αὐτῆς τοὺς πόδας αὐτοῦ· ἡ δὲ οἰκία ἐπληρώθη ἐκ τῆς ὀσμῆς τοῦ μύρου.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 4] Λέγει οὖν εἷς ἐκ τῶν μαθητῶν αὐτοῦ, Ἰούδας Σίμωνος Ἰσκαριώτης, ὁ μέλλων αὐτὸν παραδιδόναι,
[GRCGTR | EL | NT | John | Chapter 12 | Verse 5] Διὰ τί τοῦτο τὸ μύρον οὐκ ἐπράθη τριακοσίων δηναρίων, καὶ ἐδόθη πτωχοῖς;
[GRCGTR | EL | NT | John | Chapter 12 | Verse 6] Εἶπε δὲ τοῦτο, οὐχ ὅτι περὶ τῶν πτωχῶν ἔμελεν αὐτῷ, + 12:6 ἀλλ᾿ ¦ ἀλλὰ SCR ἀλλ᾿ ὅτι κλέπτης ἦν, καὶ τὸ γλωσσόκομον εἶχε, καὶ τὰ βαλλόμενα ἐβάσταζεν.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 7] Εἶπεν οὖν ὁ Ἰησοῦς, Ἄφες αὐτήν· εἰς τὴν ἡμέραν τοῦ ἐνταφιασμοῦ μου τετήρηκεν αὐτό.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 8] Τοὺς πτωχοὺς γὰρ πάντοτε ἔχετε μεθ᾿ ἑαυτῶν, ἐμὲ δὲ οὐ πάντοτε ἔχετε.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 9] Ἔγνω οὖν ὄχλος πολὺς ἐκ τῶν Ἰουδαίων ὅτι ἐκεῖ ἐστι· καὶ ἦλθον οὐ διὰ τὸν Ἰησοῦν μόνον, ἀλλ᾿ ἵνα καὶ τὸν Λάζαρον ἴδωσιν, ὃν ἤγειρεν ἐκ νεκρῶν.
[GRCGTR | EL | NT | John | Chapter 12 | Verse 10] Ἐβουλεύσαντο δὲ οἱ ἀρχιερεῖς ἵνα καὶ τὸν Λάζαρον ἀποκτείνωσιν·
[GRCGTR | EL | NT | John | Chapter 12 | Verse 11] ὅτι πολλοὶ δι᾿ αὐτὸν ὑπῆγον τῶν Ἰουδαίων, καὶ ἐπίστευον εἰς τὸν Ἰησοῦν.
