[IRV | GU | OT | Zechariah | Chapter 1 | Verse 1] દાર્યાવેશ રાજાના શાસનના બીજા વર્ષના આઠમા મહિનામાં પ્રબોધક ઇદ્દોના દીકરા બેરેખ્યાના દીકરા ઝખાર્યા પાસે યહોવાહનું વચન આવ્યું કે,
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 2] હું યહોવાહ તમારા પિતૃઓ પર અત્યંત નારાજ થયો હતો!
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 3] હવે, ‘સૈન્યોના યહોવાહ કહે છે કે, “તમે મારી તરફ પાછા ફરો!” “તો હું તમારી પાસે પાછો આવીશ,” સૈન્યોના યહોવાહ કહે છે.
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 4] “તમારા પિતૃઓ જેવા ન થશો કે જેઓને અગાઉના પ્રબોધકો બૂમ પાડીને કહેતા કે, સૈન્યોના યહોવાહ કહે છે કે: તમારા દુષ્ટ માર્ગોથી અને દુષ્કૃત્યોથી પાછા ફરો” પણ તેઓએ મારું સાંભળ્યું નહિ કે મારા કહેવા પર ધ્યાન આપ્યું નહિ.’ આ સૈન્યોના યહોવાહની ઘોષણા છે.
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 5] “તમારા પિતૃઓ ક્યાં છે? અને પ્રબોધકો શું સદા જીવે છે?
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 6] પણ જે વચનો તથા વિધિઓ મેં મારા સેવકો પ્રબોધકોને મારફતે ફરમાવ્યાં હતાં, તેઓએ શું તમારા પૂર્વજોને પકડી પાડ્યા નહિ? આથી તેઓએ પસ્તાવો કર્યો અને કહ્યું, ‘સૈન્યોના યહોવાહે આપણાં કૃત્યો અને માર્ગો પ્રમાણે આપણી સાથે જે કરવા ધાર્યું હતું તે પ્રમાણે આપણી સાથે કર્યું છે.’”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 7] દાર્યાવેશ રાજાના બીજા વર્ષના અગિયારમા મહિનાના, એટલે શબાટ મહિનાના, ચોવીસમાં દિવસે ઇદ્દોના દીકરા બેરેખ્યાના દીકરા ઝખાર્યા પ્રબોધકની પાસે યહોવાહનું વચન આવ્યું કે,
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 8] “રાત્રે મને એક સંદર્શન થયું, લાલ ઘોડા પર સવાર થયેલો એક માણસ ખીણમાં મેંદીના છોડ વચ્ચે ઊભો હતો; તેની પાછળ લાલ, કાબરચીતરા અને સફેદ ઘોડાઓ હતા.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 9] મેં કહ્યું, “મારા પ્રભુ આ શું છે?” ત્યારે મારી સાથે જે દૂત વાત કરતો હતો તેણે મને કહ્યું, “આ શું છે તે હું તને બતાવીશ.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 10] ત્યારે મેંદીઓના છોડ વચ્ચે ઊભેલા માણસે જવાબમાં કહ્યું, “તેઓ એ છે કે જેમને યહોવાહે પૃથ્વી પર સર્વત્ર આમતેમ ફરવાને મોકલ્યા છે.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 11] તેઓએ મેંદીના છોડ વચ્ચે ઊભેલા યહોવાહના દૂતને જવાબ આપીને કહ્યું, “અમે આખી પૃથ્વી પર સર્વત્ર ફરીને આવ્યા છે અને જો, આખી પૃથ્વી હજુ સ્વસ્થ બેઠી છે અને શાંતિમાં છે.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 12] ત્યારે યહોવાહના દૂતે જવાબ આપ્યો કે, “હે સૈન્યોના યહોવાહ, તમે યરુશાલેમ તથા યહૂદિયાના નગરો ઉપર આ સિત્તેર વર્ષથી રોષે ભરાયેલા છો, અને ક્યાં સુધી, તમે તેમના પર દયા નહિ કરો?”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 13] ત્યારે મારી સાથે વાત કરનાર દૂતને યહોવાહે સારાં અને આશ્વાસનભર્યાં વચનોથી જણાવ્યું.
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 14] તેથી મારી સાથે વાત કરનાર દૂતે મને કહ્યું, “તું પોકાર કરીને કહે, સૈન્યોના યહોવાહ એવું કહે છે કે: “હું યરુશાલેમ તથા સિયોન માટે અતિશય લાગણીથી આવેશી છું.
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 15] જે પ્રજાઓ આરામ ભોગવે છે તેઓના પર હું ઘણો કોપાયમાન થયો છું; કેમ કે હું તેઓનાથી થોડો નાખુશ થયો હતો પણ તેઓએ દુઃખમાં વૃદ્ધિ કરી.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 16] તેથી સૈન્યોના યહોવાહ એવું કહે છે, “હું દયા સાથે યરુશાલેમમાં પાછો આવ્યો છું. મારું ઘર ત્યાં બંધાશે” સૈન્યોના યહોવાહ કહે છે કે, “અને માપવાની દોરી યરુશાલેમ પર લંબાવવામાં આવશે.”
[IRV | GU | OT | Zechariah | Chapter 1 | Verse 17] ફરીથી પોકારીને કહે કે, ‘સૈન્યોના યહોવાહ એવું કહે છે: ‘મારાં નગરો ફરીથી સમૃદ્ધ થઈને ચારેબાજુ વૃદ્ધિ પામશે, અને યહોવાહ ફરીવાર સિયોનને દિલાસો આપશે, તે ફરી એકવાર યરુશાલેમને પસંદ કરશે.”
