[IRV | GU | OT | Zechariah | Chapter 8 | Verse 1] સૈન્યોના યહોવાહનું વચન મારી પાસે આવ્યું,
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 2] “સૈન્યોના યહોવાહ એવું કહે છે કે: ‘મને સિયોન માટે ઘણો આવેશ છે, તેથી મને તેના પર ઘણો ગુસ્સો આવે છે.’
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 3] સૈન્યોના યહોવાહ એવું કહે છે કે: હું સિયોનમાં પાછો આવ્યો છું અને યરુશાલેમની મધ્યે રહીશ, કેમ કે યરુશાલેમ સત્યનું નગર કહેવાશે અને સૈન્યોના યહોવાહનો પવિત્ર પર્વત કહેવાશે.’”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 4] સૈન્યોના ઈશ્વર યહોવાહ એવું કહે છે કે, ‘યરુશાલેમમાંની ગલીઓમાં ફરીથી વૃદ્ધ પુરુષો તથા સ્ત્રીઓ, ઘણી ઉંમર થઈ ગઈ હોવાને લીધે હાથમાં લાકડી લઈને બેસશે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 5] નગરની શેરીઓ તે નગરમાં રમતાં છોકરાઓ તથા છોકરીઓથી ભરપૂર થશે.’”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 6] સૈન્યોના ઈશ્વર યહોવાહ એવું કહે છે કે; ‘જો તે આ દિવસોના બાકી રહેલા લોકોની નજરમાં અદ્ભૂત લાગે છે, તો તે મારી નજરમાં પણ અદ્દભુત લાગે?” એવું સૈન્યોના ઈશ્વર યહોવાહ કહે છે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 7] સૈન્યોના ઈશ્વર યહોવાહ એવું કહે છે કે, ‘જુઓ હું મારા લોકોને પૂર્વના તથા પશ્ચિમના દેશમાંથી બચાવી લાવીશ!
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 8] હું તેઓને પાછા લાવીશ, તેઓ યરુશાલેમની મધ્યે રહેશે, તેઓ મારી પ્રજા થશે, હું સત્યથી તથા નીતિથી તેઓનો ઈશ્વર થઈશ!”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 9] સૈન્યોના ઈશ્વર યહોવાહ કહે છે કે: ‘જ્યારે સૈન્યોના યહોવાહનું સભાસ્થાન બાંધવા સારુ તેનો પાયો નાખવામાં આવ્યો, ત્યારે પ્રબોધકોએ કહેલા વચનો સાંભળનારાઓ, તમારા હાથ બળવાન કરો.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 10] કેમ કે તે સમય અગાઉ કોઈ માણસને પાક મળતો ન હતો, કે કોઈ જાનવરને પાક માટે મજૂરી પણ મળતી ન હતી. દુશ્મનને લીધે અંદર જનાર કે બહાર આવનારને કંઈ શાંતિ ન હતી. મેં દરેક માણસોને પોતાના પડોશી વિરુદ્ધ કરી દીધા હતા.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 11] પણ હવે હું આ લોકોના બચેલાઓની સાથે અગાઉની માફક વર્તીશ નહિ.’ એવું સૈન્યોના યહોવાહ કહે છે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 12] “ત્યાં શાંતિનું બીજ દેખાશે. દ્રાક્ષાવેલો તેનાં ફળ આપશે, અને પૃથ્વી પોતાની ઊપજ આપશે. આકાશોમાંથી ઓસ પડશે, કેમ કે આ લોકોમાંના બાકી રહેલાઓને હું આ સર્વ વસ્તુઓનો વારસો આપીશ.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 13] હે યહૂદિયાના તથા ઇઝરાયલના વંશજો, તમે જેવી રીતે પ્રજાઓમાં શાપરૂપ હતા, પણ હવે તમે આશીર્વાદરૂપ થશો અને હું તમારો ઉદ્ધાર કરીશ. ભયભીત ન થાઓ, પણ તમારા હાથ બળવાન થાઓ.’”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 14] કેમ કે સૈન્યોના યહોવાહ એવું કહે છે કે, ‘તમારા પિતૃઓએ મને ગુસ્સે કર્યો હોવાથી મેં તમને નુકસાન પહોંચાડવાની યોજના ઘડી હતી, અને તે વિષે મને દયા આવી નહિ સૈન્યોના યહોવાહ કહે છે,
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 15] આ સમયોમાં મેં યરુશાલેમનું તથા યહૂદિયાના લોકોનું ફરી ભલું કરવાનું ધાર્યું છે! તમે ડરશો નહિ.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 16] તમારે આ બાબતો કરવી: દરેક માણસ પોતાના પડોશી સાથે સાચું બોલો, અને અદાલતમાં સાચો ન્યાય કરો અને તમારી ભાગળોમાં શાંતિ રહે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 17] તમારામાંના કોઈએ પોતાના પડોશી વિરુદ્ધ પોતાના હૃદયમાં દુષ્ટ વિચાર લાવવો નહિ, કે કોઈ જૂઠા સમ ખાવાની આનંદ માણવા નહિ; કેમ કે હું આ સર્વ બાબતોને ધિક્કારું છું,” એવું સૈન્યોના યહોવાહ કહે છે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 18] સૈન્યોના યહોવાહનું વચન મારી પાસે આવ્યું અને કહ્યું કે,
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 19] “સૈન્યોના યહોવાહ એવું કહે છે કે: ચોથા, પાંચમા, સાતમા અને દશમા મહિનાનો ઉપવાસ યહૂદિયાના લોકોને આનંદરૂપ, હર્ષરૂપ તથા ખુશકારક ઉત્સવો થશે! માટે સત્યતા તથા શાંતિને પ્રેમ કરો!”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 20] સૈન્યોના યહોવાહ એવું કહે છે કે, ‘અન્ય લોકો તથા ઘણાં નગરોના રહેવાસીઓ આવશે.
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 21] એક નગરના રહેવાસીઓ જઈને બીજા નગરના રહેવાસીઓને કહેશે કે, “ચાલો આપણે યહોવાહની કૃપાને માટે વિનંતી કરીએ અને સૈન્યોના યહોવાહને જલ્દી શોધીએ! હું પોતે પણ જઈશ!”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 22] ઘણાં લોકો અને બળવાન પ્રજાઓ સૈન્યોના યહોવાહની શોધ કરવા યરુશાલેમમાં આવશે અને તેમની કૃપા પ્રાપ્ત કરવા માટે વિનંતી કરશે.”
[IRV | GU | OT | Zechariah | Chapter 8 | Verse 23] સૈન્યોના યહોવાહ એવું કહે છે કે, ‘તે સમયે દરેક ભાષા બોલનારી પ્રજાઓમાંથી દસ માણસો તારા ઝભ્ભાની કિનારી હાથમાં લેશે અને કહેશે, “અમે તારી સાથે આવીશું, કેમ કે અમે સાંભળ્યું છે કે ઈશ્વર તારી સાથે છે.”
