[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 1] Καὶ εἶδον, καὶ ἰδού, ἀρνίον ἑστηκὸς ἐπὶ τὸ ὄρος Σιών, καὶ μετ᾿ αὐτοῦ ἑκατὸν τεσσαράκοντα τέσσαρες χιλιάδες, ἔχουσαι τὸ ὄνομα τοῦ πατρὸς αὐτοῦ γεγραμμένον ἐπὶ τῶν μετώπων αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 2] Καὶ ἤκουσα φωνὴν ἐκ τοῦ οὐρανοῦ, ὡς φωνὴν ὑδάτων πολλῶν, καὶ ὡς φωνὴν βροντῆς μεγάλης· καὶ φωνὴ ἤκουσα κιθαρῳδῶν κιθαριζόντων ἐν ταῖς κιθάραις αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 3] Καὶ ᾄδουσιν ὡς ᾠδὴν καινὴν ἐνώπιον τοῦ θρόνου, καὶ ἐνώπιον τῶν τεσσάρων ζῴων καὶ τῶν πρεσβυτέρων· καὶ οὐδεὶς ἠδύνατο μαθεῖν τὴν ᾠδήν, εἰ μὴ αἱ ἑκατὸν τεσσαράκοντα τέσσαρες χιλιάδες, οἱ ἠγορασμένοι ἀπὸ τῆς γῆς.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 4] Οὗτοί εἰσιν οἳ μετὰ γυναικῶν οὐκ ἐμολύνθησαν· παρθένοι γάρ εἰσιν. Οὗτοί εἰσιν οἱ ἀκολουθοῦντες τῷ ἀρνίῳ ὅπου ἂν ὑπάγῃ. Οὗτοι ἠγοράσθησαν ἀπὸ τῶν ἀνθρώπων, ἀπαρχὴ τῷ Θεῷ καὶ τῷ ἀρνίῳ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 5] Καὶ ἐν τῷ στόματι αὐτῶν οὐχ εὑρέθη δόλος· ἄμωμοι γάρ εἰσιν ἐνώπιον τοῦ θρόνου τοῦ Θεοῦ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 6] Καὶ εἶδον ἄλλον ἄγγελον πετώμενον ἐν μεσουρανήματι, ἔχοντα εὐαγγέλιον αἰώνιον, εὐαγγελίσαι τοὺς κατοικοῦντας ἐπὶ τῆς γῆς, καὶ πᾶν ἔθνος καὶ φυλὴν καὶ γλῶσσαν καὶ λαόν,
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 7] λέγοντα ἐν φωνῇ μεγάλῃ, Φοβήθητε τὸν Θεόν, καὶ δότε αὐτῷ δόξαν, ὅτι ἦλθεν ἡ ὥρα τῆς κρίσεως αὐτοῦ, καὶ προσκυνήσατε τῷ ποιήσαντι τὸν οὐρανὸν καὶ τὴν γῆν καὶ + 14:7 θάλασσαν ¦ τὴν θάλασσαν SCR θάλασσαν καὶ πηγὰς ὑδάτων.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 8] Καὶ ἄλλος ἄγγελος ἠκολούθησε, λέγων, Ἔπεσεν ἔπεσε + 14:8 Βαβυλὼν ¦ Βαβουλὼν ELZ Βαβυλὼν ἡ πόλις ἡ μεγάλη, ὅτι ἐκ τοῦ οἴνου τοῦ θυμοῦ τῆς πορνείας αὐτῆς πεπότικε πάντα ἔθνη.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 9] Καὶ τρίτος ἄγγελος ἠκολούθησεν αὐτοῖς, λέγων ἐν φωνῇ μεγάλῃ, Εἴ τις τὸ θηρίον προσκυνεῖ καὶ τὴν εἰκόνα αὐτοῦ, καὶ λαμβάνει χάραγμα ἐπὶ τοῦ μετώπου αὐτοῦ, ἢ ἐπὶ τὴν χεῖρα αὐτοῦ,
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 10] καὶ αὐτὸς πίεται ἐκ τοῦ οἴνου τοῦ θυμοῦ τοῦ Θεοῦ, τοῦ κεκερασμένου ἀκράτου ἐν τῷ ποτηρίῳ τῆς ὀργῆς αὐτοῦ, καὶ βασανισθήσεται ἐν πυρὶ καὶ θείῳ ἐνώπιον τῶν ἁγίων ἀγγέλων, καὶ ἐνώπιον τοῦ ἀρνίου·
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 11] καὶ ὁ καπνὸς τοῦ βασανισμοῦ αὐτῶν ἀναβαίνει εἰς αἰῶνας αἰώνων· καὶ οὐκ ἔχουσιν ἀνάπαυσιν ἡμέρας καὶ νυκτὸς οἱ προσκυνοῦντες τὸ θηρίον καὶ τὴν εἰκόνα αὐτοῦ, καὶ εἴ τις λαμβάνει τὸ χάραγμα τοῦ ὀνόματος αὐτοῦ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 12] Ὧδε ὑπομονὴ τῶν ἁγίων ἐστίν· ὧδε οἱ τηροῦντες τὰς ἐντολὰς τοῦ Θεοῦ καὶ τὴν πίστιν Ἰησοῦ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 13] Καὶ ἤκουσα φωνῆς ἐκ τοῦ οὐρανοῦ λεγούσης μοι, Γράψον, Μακάριοι οἱ νεκροὶ οἱ ἐν Κυρίῳ ἀποθνῄσκοντες ἀπ᾿ ἄρτι· Ναὶ, λέγει τὸ πνεῦμα, ἵνα ἀναπαύσωνται ἐκ τῶν κόπων αὐτῶν· τὰ δὲ ἔργα αὐτῶν ἀκολουθεῖ μετ᾿ αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 14] Καὶ εἶδον, καὶ ἰδού, νεφέλη λευκή, καὶ ἐπὶ τὴν νεφέλην καθήμενος ὅμοιος υἱῷ ἀνθρώπου, ἔχων ἐπὶ τῆς κεφαλῆς αὐτοῦ στέφανον χρυσοῦν, καὶ ἐν τῇ χειρὶ αὐτοῦ δρέπανον ὀξύ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 15] Καὶ ἄλλος ἄγγελος ἐξῆλθεν ἐκ τοῦ ναοῦ, κράζων ἐν μεγάλῃ φωνῇ τῷ καθημένῳ ἐπὶ τῆς νεφέλης, Πέμψον τὸ δρέπανόν σου καὶ θέρισον· ὅτι ἦλθέ σοι ἡ ὥρα τοῦ θερίσαι, ὅτι ἐξηράνθη ὁ θερισμὸς τῆς γῆς.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 16] Καὶ ἔβαλεν ὁ καθήμενος ἐπὶ τὴν νεφέλην τὸ δρέπανον αὐτοῦ ἐπὶ τὴν γῆν, καὶ ἐθερίσθη ἡ γῆ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 17] Καὶ ἄλλος ἄγγελος ἐξῆλθεν ἐκ τοῦ ναοῦ τοῦ ἐν τῷ οὐρανῷ, ἔχων καὶ αὐτὸς δρέπανον ὀξύ.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 18] Καὶ ἄλλος ἄγγελος ἐξῆλθεν ἐκ τοῦ θυσιαστηρίου, ἔχων ἐξουσίαν ἐπὶ τοῦ πυρός, καὶ ἐφώνησε κραυγῇ μεγάλῃ τῷ ἔχοντι τὸ δρέπανον τὸ ὀξύ, λέγων, Πέμψον σου τὸ δρέπανον τὸ ὀξὺ καὶ τρύγησον τοὺς βότρυας + 14:18 τῆς ἀμπέλου ¦ — ST τῆς ἀμπέλου τῆς γῆς, ὅτι ἤκμασαν αἱ σταφυλαὶ αὐτῆς.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 19] Καὶ ἔβαλεν ὁ ἄγγελος τὸ δρέπανον αὐτοῦ εἰς τὴν γῆν, καὶ ἐτρύγησε τὴν ἄμπελον τῆς γῆς, καὶ ἔβαλεν εἰς τὴν ληνὸν τοῦ θυμοῦ τοῦ Θεοῦ τὴν μεγάλην.
[GRCGTR | EL | NT | Revelation | Chapter 14 | Verse 20] Καὶ ἐπατήθη ἡ ληνὸς ἔξω τῆς πόλεως, καὶ ἐξῆλθεν αἷμα ἐκ τῆς ληνοῦ ἄχρι τῶν χαλινῶν τῶν ἵππων, ἀπὸ σταδίων χιλίων ἑξακοσίων.
