[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 1] Καὶ ἐδόθη μοι κάλαμος ὅμοιος ῥάβδῳ, + 11:1 καὶ ὁ ἄγγελος εἱστήκει, ¦ — ST καὶ ὁ ἄγγελος εἱστήκει, λέγων, Ἔγειραι, καὶ μέτρησον τὸν ναὸν τοῦ Θεοῦ, καὶ τὸ θυσιαστήριον, καὶ τοὺς προσκυνοῦντας ἐν αὐτῷ.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 2] Καὶ τὴν αὐλὴν τὴν + 11:2 ἔξωθεν ¦ ἔσωθεν ST ἔξωθεν τοῦ ναοῦ ἔκβαλε ἔξω, καὶ μὴ αὐτὴν μετρήσῃς, ὅτι ἐδόθη τοῖς ἔθνεσι· καὶ τὴν πόλιν τὴν ἁγίαν πατήσουσι μῆνας τεσσαράκοντα δύο.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 3] Καὶ δώσω τοῖς δυσὶ μάρτυσί μου, καὶ προφητεύσουσιν ἡμέρας χιλίας διακοσίας ἑξήκοντα περιβεβλημένοι σάκκους.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 4] Οὗτοί εἰσιν αἱ δύο ἐλαῖαι, καὶ + 11:4 δύο ¦ αἱ δύο SCR δύο λυχνίαι αἱ ἐνώπιον τοῦ Θεοῦ τῆς γῆς ἑστῶσαι.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 5] Καὶ εἴ τις αὐτοὺς θέλῃ ἀδικῆσαι, πῦρ ἐκπορεύεται ἐκ τοῦ στόματος αὐτῶν, καὶ κατεσθίει τοὺς ἐχθροὺς αὐτῶν· καὶ εἴ τις αὐτοὺς θέλῃ ἀδικῆσαι, οὕτω δεῖ αὐτὸν ἀποκτανθῆναι.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 6] Οὗτοι ἔχουσιν ἐξουσίαν κλεῖσαι τὸν οὐρανόν, ἵνα μὴ βρέχῃ ὑετὸς ἐν ἡμέραις αὐτῶν τῆς προφητείας· καὶ ἐξουσίαν ἔχουσιν ἐπὶ τῶν ὑδάτων, στρέφειν αὐτὰ εἰς αἷμα, καὶ πατάξαι τὴν γῆν πάσῃ πληγῇ, ὁσάκις ἐὰν θελήσωσι.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 7] Καὶ ὅταν τελέσωσι τὴν μαρτυρίαν αὐτῶν, τὸ θηρίον τὸ ἀναβαῖνον ἐκ τῆς ἀβύσσου ποιήσει πόλεμον μετ᾿ αὐτῶν, καὶ νικήσει αὐτούς, καὶ ἀποκτενεῖ αὐτούς.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 8] Καὶ τὰ πτώματα αὐτῶν ἐπὶ τῆς πλατείας πόλεως τῆς μεγάλης, ἥτις καλεῖται πνευματικῶς Σόδομα καὶ Αἴγυπτος, ὅπου καὶ ὁ Κύριος ἡμῶν ἐσταυρώθη.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 9] Καὶ βλέψουσιν ἐκ τῶν λαῶν καὶ φυλῶν καὶ γλωσσῶν καὶ ἐθνῶν τὰ πτώματα αὐτῶν ἡμέρας τρεῖς καὶ ἥμισυ, καὶ τὰ πτώματα αὐτῶν οὐκ ἀφήσουσι τεθῆναι εἰς μνήματα.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 10] Καὶ οἱ κατοικοῦντες ἐπὶ τῆς γῆς χαροῦσιν ἐπ᾿ αὐτοῖς καὶ εὐφρανθήσονται, καὶ δῶρα πέμψουσιν ἀλλήλοις, ὅτι οὗτοι οἱ δύο προφῆται ἐβασάνισαν τοὺς κατοικοῦντας ἐπὶ τῆς γῆς.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 11] Καὶ μετὰ τὰς τρεῖς ἡμέρας καὶ ἥμισυ, πνεῦμα ζωῆς ἐκ τοῦ Θεοῦ εἰσῆλθεν ἐπ᾿ αὐτούς, καὶ ἔστησαν ἐπὶ τοὺς πόδας αὐτῶν, καὶ φόβος μέγας ἔπεσεν ἐπὶ τοὺς θεωροῦντας αὐτούς.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 12] Καὶ ἤκουσαν φωνὴν μεγάλην ἐκ τοῦ οὐρανοῦ, λέγουσαν αὐτοῖς, Ἀνάβητε ὧδε. Καὶ ἀνέβησαν εἰς τὸν οὐρανὸν ἐν τῇ νεφέλῃ, καὶ ἐθεώρησαν αὐτοὺς οἱ ἐχθροὶ αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 13] Καὶ ἐν ἐκείνῃ τῇ ὥρᾳ ἐγένετο σεισμὸς μέγας, καὶ τὸ δέκατον τῆς πόλεως ἔπεσε, καὶ ἀπεκτάνθησαν ἐν τῷ σεισμῷ ὀνόματα ἀνθρώπων, χιλιάδες ἑπτά· καὶ οἱ λοιποὶ ἔμφοβοι ἐγένοντο, καὶ ἔδωκαν δόξαν τῷ Θεῷ τοῦ οὐρανοῦ.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 14] Ἡ οὐαὶ ἡ δευτέρα ἀπῆλθεν· + 11:14 ἰδού ¦ καὶ ἰδού SCR ἰδού, ἡ οὐαὶ ἡ τρίτη ἔρχεται ταχύ.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 15] Καὶ ὁ ἕβδομος ἄγγελος ἐσάλπισε, καὶ ἐγένοντο φωναὶ μεγάλαι ἐν τῷ οὐρανῷ, λέγουσαι, Ἐγένοντο αἱ βασιλεῖαι τοῦ κόσμου τοῦ Κυρίου ἡμῶν καὶ τοῦ Χριστοῦ αὐτοῦ, καὶ βασιλεύσει εἰς τοὺς αἰῶνας τῶν αἰώνων.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 16] Καὶ οἱ εἴκοσι καὶ τέσσαρες πρεσβύτεροι οἱ ἐνώπιον τοῦ Θεοῦ καθήμενοι ἐπὶ τοὺς θρόνους αὐτῶν, ἔπεσαν ἐπὶ τὰ πρόσωπα αὐτῶν, καὶ προσεκύνησαν τῷ Θεῷ,
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 17] λέγοντες, Εὐχαριστοῦμέν σοι, Κύριε ὁ Θεὸς ὁ παντοκράτωρ, ὁ ὢν καὶ ὁ ἦν καὶ ὁ ἐρχόμενος, ὅτι εἴληφας τὴν δύναμίν σου τὴν μεγάλην, καὶ ἐβασίλευσας.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 18] Καὶ τὰ ἔθνη ὠργίσθησαν, καὶ ἦλθεν ἡ ὀργή σου, καὶ ὁ καιρὸς τῶν νεκρῶν κριθῆναι, καὶ δοῦναι τὸν μισθὸν τοῖς δούλοις σου τοῖς προφήταις καὶ τοῖς ἁγίοις καὶ τοῖς φοβουμένοις τὸ ὄνομά σου, τοῖς μικροῖς καὶ τοῖς μεγάλοις, καὶ διαφθεῖραι τοὺς διαφθείροντας τὴν γῆν.
[GRCGTR | EL | NT | Revelation | Chapter 11 | Verse 19] Καὶ ἠνοίγη ὁ ναὸς τοῦ Θεοῦ ἐν τῷ οὐρανῷ, καὶ ὤφθη ἡ κιβωτὸς τῆς διαθήκης αὐτοῦ ἐν τῷ ναῷ αὐτοῦ· καὶ ἐγένοντο ἀστραπαὶ καὶ φωναὶ καὶ βρονταὶ καὶ σεισμὸς καὶ χάλαζα μεγάλη.
