[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 1] Καὶ μετὰ ταῦτα εἶδον + 18:1 ἄγγελον ¦ ἄλλον ἄγγελον SCR ἄγγελον καταβαίνοντα ἐκ τοῦ οὐρανοῦ, ἔχοντα ἐξουσίαν μεγάλην· καὶ ἡ γῆ ἐφωτίσθη ἐκ τῆς δόξης αὐτοῦ.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 2] Καὶ ἔκραξεν ἐν ἰσχύϊ, φωνῇ μεγάλῃ, λέγων, Ἔπεσεν ἔπεσε Βαβυλὼν ἡ μεγάλη, καὶ ἐγένετο κατοικητήριον δαιμόνων, καὶ φυλακὴ παντὸς πνεύματος ἀκαθάρτου, καὶ φυλακὴ παντὸς ὀρνέου ἀκαθάρτου καὶ μεμισημένου.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 3] Ὅτι ἐκ τοῦ οἴνου τοῦ θυμοῦ τῆς πορνείας αὐτῆς πέπωκε πάντα τὰ ἔθνη, καὶ οἱ βασιλεῖς τῆς γῆς μετ᾿ αὐτῆς ἐπόρνευσαν, καὶ οἱ ἔμποροι τῆς γῆς ἐκ τῆς δυνάμεως τοῦ στρήνους αὐτῆς ἐπλούτησαν.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 4] Καὶ ἤκουσα ἄλλην φωνὴν ἐκ τοῦ οὐρανοῦ, λέγουσαν, Ἐξέλθετε ἐξ αὐτῆς ὁ λαός μου, ἵνα μὴ συγκοινωνήσητε ταῖς ἁμαρτίαις αὐτῆς, καὶ ἵνα μὴ λάβητε ἐκ τῶν πληγῶν αὐτῆς·
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 5] ὅτι + 18:5 ἠκολούθησαν ¦ ἐκολλήθησαν SCR ἠκολούθησαν αὐτῆς αἱ ἁμαρτίαι ἄχρι τοῦ οὐρανοῦ, καὶ ἐμνημόνευσεν ὁ Θεὸς τὰ ἀδικήματα αὐτῆς.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 6] Ἀπόδοτε αὐτῇ ὡς καὶ αὐτὴ ἀπέδωκεν ὑμῖν, καὶ διπλώσατε αὐτῇ διπλᾶ κατὰ τὰ ἔργα αὐτῆς· ἐν τῷ ποτηρίῳ ᾧ ἐκέρασε κεράσατε αὐτῇ διπλοῦν.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 7] Ὅσα ἐδόξασεν ἑαυτὴν καὶ ἐστρηνίασε, τοσοῦτον δότε αὐτῇ βασανισμὸν καὶ πένθος· ὅτι ἐν τῇ καρδίᾳ αὐτῆς λέγει, Κάθημαι βασίλισσα, καὶ χήρα οὐκ εἰμί, καὶ πένθος οὐ μὴ ἴδω.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 8] Διὰ τοῦτο ἐν μιᾷ ἡμέρᾳ ἥξουσιν αἱ πληγαὶ αὐτῆς, θάνατος καὶ πένθος καὶ λιμός, καὶ ἐν πυρὶ κατακαυθήσεται, ὅτι ἰσχυρὸς Κύριος ὁ Θεὸς ὁ κρίνων αὐτήν.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 9] Καὶ κλαύσονται αὐτήν, καὶ κόψονται ἐπ᾿ αὐτῇ οἱ βασιλεῖς τῆς γῆς οἱ μετ᾿ αὐτῆς πορνεύσαντες καὶ στρηνιάσαντες, ὅταν βλέπωσι τὸν καπνὸν τῆς πυρώσεως αὐτῆς,
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 10] ἀπὸ μακρόθεν ἑστηκότες διὰ τὸν φόβον τοῦ βασανισμοῦ αὐτῆς, λέγοντες, Οὐαί, οὐαί, ἡ πόλις ἡ μεγάλη Βαβυλών, ἡ πόλις ἡ ἰσχυρά, ὅτι ἐν μιᾷ ὥρᾳ ἦλθεν ἡ κρίσις σου.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 11] Καὶ οἱ ἔμποροι τῆς γῆς κλαίουσι καὶ πενθοῦσιν ἐπ᾿ αὐτῇ, ὅτι τὸν γόμον αὐτῶν οὐδεὶς ἀγοράζει οὐκέτι·
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 12] γόμον χρυσοῦ, καὶ ἀργύρου, καὶ λίθου τιμίου, καὶ μαργαρίτου, καὶ βύσσου, καὶ πορφύρας, καὶ σηρικοῦ, καὶ κοκκίνου· καὶ πᾶν ξύλον θύϊνον, καὶ πᾶν σκεῦος ἐλεφάντινον, καὶ πᾶν σκεῦος ἐκ ξύλου τιμιωτάτου, καὶ χαλκοῦ, καὶ σιδήρου, καὶ μαρμάρου·
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 13] καὶ κινάμωμον, καὶ θυμιάματα, καὶ μύρον, καὶ λίβανον, καὶ οἶνον, καὶ ἔλαιον, καὶ σεμίδαλιν, καὶ σῖτον, καὶ κτήνη, καὶ πρόβατα· καὶ ἵππων, καὶ ῥεδῶν, καὶ σωμάτων, καὶ ψυχὰς ἀνθρώπων.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 14] Καὶ ἡ ὀπώρα τῆς ἐπιθυμίας τῆς ψυχῆς σου ἀπῆλθεν ἀπὸ σοῦ, καὶ πάντα τὰ λιπαρὰ καὶ τὰ λαμπρὰ ἀπῆλθεν ἀπὸ σοῦ, καὶ οὐκέτι οὐ μὴ εὑρήσῃς αὐτά.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 15] Οἱ ἔμποροι τούτων, οἱ πλουτήσαντες ἀπ᾿ αὐτῆς, ἀπὸ μακρόθεν στήσονται διὰ τὸν φόβον τοῦ βασανισμοῦ αὐτῆς, κλαίοντες καὶ πενθοῦντες,
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 16] καὶ λέγοντες, Οὐαί, οὐαί, ἡ πόλις ἡ μεγάλη, ἡ περιβεβλημένη βύσσινον καὶ πορφυροῦν καὶ κόκκινον, καὶ + 18:16 κεχρυσωμένη ¦ κεχρυσωμένοι ELZ κεχρυσωμένη ἐν χρυσῷ καὶ λίθῳ τιμίῳ καὶ μαργαρίταις·
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 17] ὅτι μιᾷ ὥρᾳ ἠρημώθη ὁ τοσοῦτος πλοῦτος. Καὶ πᾶς κυβερνήτης, καὶ πᾶς ἐπὶ τῶν πλοίων ὁ ὅμιλος, καὶ ναῦται, καὶ ὅσοι τὴν θάλασσαν ἐργάζονται, ἀπὸ μακρόθεν ἔστησαν,
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 18] καὶ ἔκραζον, ὁρῶντες τὸν καπνὸν τῆς πυρώσεως αὐτῆς, λέγοντες, Τίς ὁμοία τῇ πόλει τῇ μεγάλῃ;
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 19] Καὶ ἔβαλον χοῦν ἐπὶ τὰς κεφαλὰς αὐτῶν, καὶ ἔκραζον κλαίοντες καὶ πενθοῦντες, λέγοντες, Οὐαί, οὐαί, ἡ πόλις ἡ μεγάλη, ἐν ᾗ ἐπλούτησαν πάντες οἱ ἔχοντες πλοῖα ἐν τῇ θαλάσσῃ ἐκ τῆς τιμιότητος αὐτῆς, ὅτι μιᾷ ὥρᾳ ἠρημώθη.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 20] Εὐφραίνου ἐπ᾿ αὐτήν, οὐρανέ, καὶ οἱ ἅγιοι ἀπόστολοι, καὶ οἱ προφῆται, ὅτι ἔκρινεν ὁ Θεὸς τὸ κρίμα ὑμῶν ἐξ αὐτῆς.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 21] Καὶ ἦρεν εἷς ἄγγελος ἰσχυρὸς λίθον ὡς μύλον μέγαν, καὶ ἔβαλεν εἰς τὴν θάλασσαν, λέγων, Οὕτως ὁρμήματι βληθήσεται Βαβυλὼν ἡ μεγάλη πόλις, καὶ οὐ μὴ εὑρεθῇ ἔτι.
[GRCGTR | EL | NT | Revelation | Chapter 18 | Verse 22] Καὶ φωνὴ κιθαρῳδῶν καὶ μουσικῶν καὶ αὐλητῶν καὶ σαλπιστῶν οὐ μὴ ἀκουσθῇ ἐν σοὶ ἔτι, καὶ πᾶς τεχνίτης πάσης τέχνης οὐ μὴ εὑρεθῇ ἐν σοὶ ἔτι, καὶ φωνὴ μύλου οὐ μὴ ἀκουσθῇ ἐν σοὶ ἔτι,
