[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 1] Καὶ ἦλθεν εἷς ἐκ τῶν ἑπτὰ ἀγγέλων τῶν ἐχόντων τὰς ἑπτὰ φιάλας, καὶ ἐλάλησε μετ᾿ ἐμοῦ, λέγων μοι, Δεῦρο, δείξω σοι τὸ κρίμα τῆς πόρνης τῆς μεγάλης, τῆς καθημένης ἐπὶ τῶν ὑδάτων τῶν πολλῶν·
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 2] μεθ᾿ ἧς ἐπόρνευσαν οἱ βασιλεῖς τῆς γῆς, καὶ ἐμεθύσθησαν ἐκ τοῦ οἴνου τῆς πορνείας αὐτῆς οἱ κατοικοῦντες τὴν γῆν.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 3] Καὶ ἀπήνεγκέ με εἰς ἔρημον ἐν πνεύματι· καὶ εἶδον γυναῖκα καθημένην ἐπὶ θηρίον κόκκινον, γέμον ὀνομάτων βλασφημίας, ἔχον κεφαλὰς ἑπτὰ καὶ κέρατα δέκα.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 4] Καὶ ἡ γυνὴ + 17:4 ἡ ¦ ἦν SCR ἡ περιβεβλημένη πορφύρᾳ καὶ κοκκίνῳ, καὶ κεχρυσωμένη χρυσῷ καὶ λίθῳ τιμίῳ καὶ μαργαρίταις, ἔχουσα χρυσοῦν ποτήριον ἐν τῇ χειρὶ αὐτῆς, γέμον βδελυγμάτων καὶ ἀκαθάρτητος πορνείας αὐτῆς,
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 5] καὶ ἐπὶ τὸ μέτωπον αὐτῆς ὄνομα γεγραμμένον, Μυστήριον, Βαβυλὼν ἡ μεγάλη, ἡ μήτηρ τῶν πορνῶν καὶ τῶν βδελυγμάτων τῆς γῆς.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 6] Καὶ εἶδον τὴν γυναῖκα μεθύουσαν ἐκ τοῦ αἵματος τῶν ἁγίων, καὶ ἐκ τοῦ αἵματος τῶν μαρτύρων Ἰησοῦ. Καὶ ἐθαύμασα, ἰδὼν αὐτήν, θαῦμα μέγα.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 7] Καὶ εἶπέ μοι ὁ ἄγγελος, Διὰ τί ἐθαύμασας; Ἐγώ σοι ἐρῶ τὸ μυστήριον τῆς γυναικός, καὶ τοῦ θηρίου τοῦ βαστάζοντος αὐτήν, τοῦ ἔχοντος τὰς ἑπτὰ κεφαλὰς καὶ τὰ δέκα κέρατα.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 8] + 17:8 Θηρίον ¦ Τὸ θηρίον, SCR Θηρίον ὃ εἶδες, ἦν, καὶ οὐκ ἔστι, καὶ μέλλει ἀναβαίνειν ἐκ τῆς ἀβύσσου, καὶ εἰς ἀπώλειαν ὑπάγειν. Καὶ θαυμάσονται οἱ κατοικοῦντες ἐπὶ τῆς γῆς, ὧν οὐ γέγραπται τὰ ὀνόματα ἐπὶ τὸ βιβλίον τῆς ζωῆς ἀπὸ καταβολῆς κόσμου, βλέποντες τὸ θηρίον ὅ, τι ἦν, καὶ οὐκ ἔστι, καίπερ ἔστιν.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 9] Ὧδε ὁ νοῦς ὁ ἔχων σοφίαν. Αἱ ἑπτὰ κεφαλαὶ ὄρη εἰσὶν ἑπτά, ὅπου ἡ γυνὴ κάθηται ἐπ᾿ αὐτῶν.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 10] Καὶ βασιλεῖς ἑπτά εἰσιν· οἱ πέντε ἔπεσαν, καὶ ὁ εἷς ἔστιν, ὁ ἄλλος οὔπω ἦλθε· καί, ὅταν ἔλθῃ, ὀλίγον αὐτὸν δεῖ μεῖναι.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 11] Καὶ τὸ θηρίον ὃ ἦν, καὶ οὐκ ἔστι, καὶ αὐτὸς ὄγδοός ἐστι, καὶ ἐκ τῶν ἑπτά ἐστι, καὶ εἰς ἀπώλειαν ὑπάγει.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 12] Καὶ τὰ δέκα κέρατα, ἃ εἶδες, δέκα βασιλεῖς εἰσίν, οἵτινες βασιλείαν οὔπω ἔλαβον, ἀλλ᾿ ἐξουσίαν ὡς βασιλεῖς μίαν ὥραν λαμβάνουσι μετὰ τοῦ θηρίου.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 13] Οὗτοι μίαν γνώμην ἔχουσι, καὶ τὴν δύναμιν καὶ τὴν ἐξουσίαν ἑαυτῶν τῷ θηρίῳ διαδιδώσουσιν.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 14] Οὗτοι μετὰ τοῦ ἀρνίου πολεμήσουσι, καὶ τὸ ἀρνίον νικήσει αὐτούς, ὅτι Κύριος κυρίων ἐστὶ καὶ βασιλεὺς βασιλέων, καὶ οἱ μετ᾿ αὐτοῦ, κλητοὶ καὶ ἐκλεκτοὶ καὶ πιστοί.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 15] Καὶ λέγει μοι, Τὰ ὕδατα, ἃ εἶδες, οὗ ἡ πόρνη κάθηται, λαοὶ καὶ ὄχλοι εἰσί, καὶ ἔθνη καὶ γλῶσσαι.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 16] Καὶ τὰ δέκα κέρατα, ἃ εἶδες, ἐπὶ τὸ θηρίον, οὗτοι μισήσουσι τὴν πόρνην, καὶ ἠρημωμένην ποιήσουσιν αὐτὴν καὶ γυμνήν, καὶ τὰς σάρκας αὐτῆς φάγονται, καὶ αὐτὴν κατακαύσουσιν ἐν πυρί.
[GRCGTR | EL | NT | Revelation | Chapter 17 | Verse 17] Ὁ γὰρ Θεὸς ἔδωκεν εἰς τὰς καρδίας αὐτῶν ποιῆσαι τὴν γνώμην αὐτοῦ, καὶ ποιῆσαι μίαν γνώμην, καὶ δοῦναι τὴν βασιλείαν αὐτῶν τῷ θηρίῳ, ἄχρι τελεσθῇ τὰ ῥήματα τοῦ Θεοῦ.
