[IRV | PA | OT | Lamentations | Chapter 4 | Verse 1] ਸੋਨਾ ਕਿਵੇਂ ਫਿੱਕਾ ਹੋ ਗਿਆ! ਖ਼ਰਾ ਸੋਨਾ ਕਿਵੇਂ ਬਦਲ ਗਿਆ? ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਪੱਥਰ ਹਰ ਗਲੀ ਦੇ ਸਿਰ ਉੱਤੇ ਖਿੱਲਰੇ ਪਏ ਹਨ!
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 2] ਸੀਯੋਨ ਦੇ ਲਾਡਲੇ ਪੁੱਤਰ, ਜਿਹੜੇ ਸੋਨੇ ਦੇ ਤੁੱਲ ਸਨ, ਕਿਵੇਂ ਘੁਮਿਆਰ ਦੇ ਬਣਾਏ ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਵਾਂਗੂੰ ਤੁੱਛ ਸਮਝੇ ਗਏ ਹਨ!
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 3] ਗਿੱਦੜੀਆਂ ਵੀ ਆਪਣੀਆਂ ਛਾਤੀ ਤੋਂ ਆਪਣੇ ਬੱਚਿਆਂ ਨੂੰ ਦੁੱਧ ਚੁੰਘਾਉਂਦੀਆਂ ਹਨ, ਪਰ ਮੇਰੀ ਪਰਜਾ ਦੀ ਧੀ, ਉਜਾੜ ਦੇ ਸ਼ੁਤਰਮੁਰਗਾਂ ਵਾਂਗੂੰ ਨਿਰਦਈ ਹੋ ਗਈ ਹੈ!
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 4] ਦੁੱਧ ਚੁੰਘਣ ਵਾਲੇ ਬੱਚੇ ਦੀ ਜੀਭ ਪਿਆਸ ਦੇ ਕਾਰਨ ਤਾਲੂ ਨਾਲ ਜਾ ਲੱਗੀ ਹੈ, ਨਿਆਣੇ ਰੋਟੀ ਮੰਗਦੇ ਪਰ ਕੋਈ ਉਹਨਾਂ ਨੂੰ ਨਹੀਂ ਦਿੰਦਾ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 5] ਜਿਹੜੇ ਸੁਆਦਲਾ ਭੋਜਨ ਖਾਂਦੇ ਸਨ, ਗਲੀਆਂ ਵਿੱਚ ਭੁੱਖੇ ਫਿਰਦੇ ਹਨ, ਜਿਹੜੇ ਮਖ਼ਮਲੀ ਕੱਪੜਿਆਂ ਵਿੱਚ ਪਲਦੇ ਸਨ, ਉਹ ਗੁਹੀਰਿਆਂ ਨੂੰ ਜੱਫ਼ੀਆਂ ਪਾਉਂਦੇ ਹਨ!
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 6] ਮੇਰੀ ਪਰਜਾ ਦੀ ਧੀ ਦੀ ਬੁਰਿਆਈ ਸਦੂਮ ਦੇ ਪਾਪ ਨਾਲੋਂ ਵੱਡੀ ਹੈ, ਜਿਹੜਾ ਬਿਨ੍ਹਾਂ ਕਿਸੇ ਦੇ ਹੱਥ ਲਾਏ ਇੱਕ ਪਲ ਵਿੱਚ ਢਾਹਿਆ ਗਿਆ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 7] ਉਹ ਦੇ ਪਤਵੰਤ ਬਰਫ਼ ਨਾਲੋਂ ਸ਼ੁੱਧ ਅਤੇ ਦੁੱਧ ਨਾਲੋਂ ਚਿੱਟੇ ਸਨ, ਉਹਨਾਂ ਦੇ ਸਰੀਰ ਮੂੰਗੇ ਨਾਲੋਂ ਲਾਲ ਸਨ, ਉਹਨਾਂ ਦੀ ਚਮਕ ਨੀਲਮ ਵਰਗੀ ਸੀ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 8] ਹੁਣ ਉਹਨਾਂ ਦਾ ਰੂਪ ਕਾਲਖ ਨਾਲੋਂ ਕਾਲਾ ਹੈ, ਉਹ ਬਜ਼ਾਰਾਂ ਵਿੱਚ ਪਹਿਚਾਣੇ ਨਹੀਂ ਜਾਂਦੇ, ਉਹਨਾਂ ਦਾ ਚਮੜਾ ਸੁੰਗੜ ਕੇ ਹੱਡੀਆਂ ਨਾਲ ਜੁੜ ਗਿਆ, ਉਹ ਸੁੱਕ ਕੇ ਲੱਕੜ ਵਾਂਗੂੰ ਹੋ ਗਿਆ ਹੈ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 9] ਤਲਵਾਰ ਦੇ ਮਾਰੇ ਹੋਏ, ਭੁੱਖ ਦੇ ਮਾਰੇ ਹੋਇਆਂ ਨਾਲੋਂ ਚੰਗੇ ਹਨ, ਖੇਤ ਦਾ ਫਲ ਨਾ ਮਿਲਣ ਕਰਕੇ, ਇਹਨਾਂ ਦਾ ਪ੍ਰਾਣ ਸੁੱਕਦਾ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 10] ਦਿਆਲੂ ਇਸਤਰੀਆਂ ਨੇ ਆਪਣੇ ਹੱਥੀਂ ਆਪਣੇ ਬੱਚਿਆਂ ਨੂੰ ਪਕਾਇਆ! ਮੇਰੀ ਪਰਜਾ ਦੀ ਧੀ ਦੀ ਬਰਬਾਦੀ ਵਿੱਚ, ਉਹ ਹੀ ਇਹਨਾਂ ਦਾ ਭੋਜਨ ਸਨ!
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 11] ਯਹੋਵਾਹ ਨੇ ਆਪਣਾ ਪੂਰਾ ਕਹਿਰ ਪਰਗਟ ਕੀਤਾ, ਉਸ ਨੇ ਆਪਣਾ ਭੜਕਦਾ ਕ੍ਰੋਧ ਡੋਲ੍ਹ ਦਿੱਤਾ, ਉਸ ਨੇ ਸੀਯੋਨ ਵਿੱਚ ਇੱਕ ਅੱਗ ਭੜਕਾਈ, ਜਿਸਨੇ ਉਸ ਦੀਆਂ ਨੀਹਾਂ ਨੂੰ ਭਸਮ ਕਰ ਦਿੱਤਾ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 12] ਧਰਤੀ ਦੇ ਰਾਜੇ ਅਤੇ ਜਗਤ ਦੇ ਸਾਰੇ ਵਾਸੀ ਯਕੀਨ ਨਹੀਂ ਕਰਦੇ, ਕਿ ਵੈਰੀ ਅਤੇ ਵਿਰੋਧੀ ਯਰੂਸ਼ਲਮ ਦੇ ਫਾਟਕਾਂ ਵਿੱਚ ਆ ਵੜੇ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 13] ਇਹ ਉਸ ਦੇ ਨਬੀਆਂ ਦੇ ਪਾਪ ਅਤੇ ਉਸ ਦੇ ਜਾਜਕਾਂ ਦੀ ਬਦੀ ਦੇ ਕਾਰਨ ਹੋਇਆ, ਜਿਨ੍ਹਾਂ ਨੇ ਉਹ ਦੇ ਵਿਚਕਾਰ ਧਰਮੀਆਂ ਦਾ ਲਹੂ ਵਹਾਇਆ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 14] ਉਹ ਅੰਨ੍ਹਿਆਂ ਵਰਗੇ ਹੋ ਕੇ ਗਲੀਆਂ ਵਿੱਚ ਫਿਰਦੇ ਹਨ, ਉਹ ਲਹੂ ਨਾਲ ਇੰਨ੍ਹੇ ਅਸ਼ੁੱਧ ਹੋ ਗਏ ਹਨ, ਭਈ ਕੋਈ ਉਹਨਾਂ ਦੇ ਬਸਤਰ ਛੂਹ ਨਹੀਂ ਸਕਦਾ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 15] ਲੋਕ ਉਹਨਾਂ ਨੂੰ ਪੁਕਾਰ ਕੇ ਆਖਦੇ ਹਨ “ਦੂਰ ਹੋਵੋ,” “ਭਰਿਸ਼ਟੇ ਹੋਇਓ! ਦੂਰ ਹੋਵੋ, ਦੂਰ ਹੋਵੋ! ਸਾਨੂੰ ਨਾ ਛੂਹੋ!” ਜਦ ਉਹ ਭੱਜ ਗਏ ਅਤੇ ਮਾਰੇ-ਮਾਰੇ ਫਿਰਨ ਲੱਗੇ, ਤਦ ਕੌਮਾਂ ਵਿੱਚ ਲੋਕ ਆਖਦੇ ਸਨ, “ਉਹ ਐਥੇ ਨਹੀਂ ਰਹਿ ਸਕਦੇ!”
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 16] ਯਹੋਵਾਹ ਦੇ ਕ੍ਰੋਧ ਨੇ ਉਹਨਾਂ ਨੂੰ ਖਿਲਾਰ ਦਿੱਤਾ, ਉਹ ਫੇਰ ਉਹਨਾਂ ਉੱਤੇ ਦਯਾ ਦ੍ਰਿਸ਼ਟੀ ਨਹੀਂ ਕਰੇਗਾ, ਉਹਨਾਂ ਦੇ ਜਾਜਕਾਂ ਦਾ ਮਾਣ ਨਹੀਂ ਰੱਖਿਆ, ਨਾ ਬਜ਼ੁਰਗਾਂ ਉੱਤੇ ਕਿਰਪਾ ਕੀਤੀ।
[IRV | PA | OT | Lamentations | Chapter 4 | Verse 17] ਸਾਡੀਆਂ ਅੱਖਾਂ ਵਿਅਰਥ ਵਿੱਚ ਸਹਾਇਤਾ ਦੀ ਉਡੀਕ ਕਰਦਿਆਂ ਥੱਕ ਗਈਆਂ, ਅਸੀਂ ਇੱਕ ਕੌਮ ਦੀ ਉਡੀਕ ਕਰਦੇ ਰਹੇ, ਜਿਹੜੀ ਬਚਾ ਨਹੀਂ ਸਕਦੀ।
