[ASV | EN | NT | Revelation | Chapter 19 | Verse 1] After these things I heard as it were a great voice of a great multitude in heaven, saying, Hallelujah; salvation, and power, and glory, belong to our God:
[ASV | EN | NT | Revelation | Chapter 19 | Verse 2] for true and righteous are his judgments; for he hath judged the great harlot, her that corrupted the earth with her fornication, and he hath avenged the blood of his servants at her hand.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 3] And a second time the voice said, Hallelujah. And her smoke goeth up forever and ever.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 4] And the four and twenty elders and the four living creatures fell down and worshiped God that sitteth on the throne, saying, Amen; Hallelujah.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 5] And a voice came forth from the throne, saying, Praise our God, all ye his servants, and ye that fear him, the small and the great.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 6] And I heard as it were the voice of a great multitude, and as the voice of many waters, and as the voice of mighty thunders, saying, Hallelujah: for the Lord our God, the Almighty, reigneth.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 7] Let us rejoice and be exceeding glad, and let us give the glory unto him: for the marriage of the Lamb is come, and his wife hath made herself ready.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 8] And it was given unto her that she should array herself in fine linen, bright and pure: for the fine linen is the righteous acts of the saints.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 9] And he saith unto me, Write, Blessed are they that are bidden to the marriage supper of the Lamb. And he saith unto me, These are true words of God.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 10] And I fell down before his feet to worship him. And he saith unto me, See thou do it not: I am a fellow servant with thee and with thy brethren that hold the testimony of Jesus: worship God: for the testimony of Jesus is the spirit of prophecy.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 11] And I saw the heaven opened; and behold, a white horse, and he that sat thereon called Faithful and True; and in righteousness he doth judge and make war.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 12] And his eyes are a flame of fire, and upon his head are many diadems; and he hath names written, and a name written which no one knoweth but he himself.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 13] And he is arrayed in a garment dipped in blood: and his name is called The Word of God.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 14] And the armies which are in heaven followed him upon white horses, clothed in fine linen, white and pure.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 15] And out of his mouth proceedeth a sharp two-edged sword, that with it he should smite the nations: and he shall rule them with a rod of iron: and he treadeth the winepress of the fierceness of the wrath of the anger of God, the Almighty.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 16] And he hath on his garment and on his thigh a name written, KING OF KINGS, AND LORD OF LORDS.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 17] And I saw an angel standing in the sun; and he cried with a loud voice, saying to all the birds that fly in midheaven, Come and be gathered together unto the great supper of God;
[ASV | EN | NT | Revelation | Chapter 19 | Verse 18] that ye may eat the flesh of kings, and the flesh of captains, and the flesh of mighty men, and the flesh of horses and of them that sit thereon, and the flesh of all men, both free and bond, and both small and great.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 19] And I saw the beast, and the kings of the earth, and their armies, gathered together to make war against him that sat upon the horse, and against his army.
[ASV | EN | NT | Revelation | Chapter 19 | Verse 20] And the beast was taken, and the false prophet that was with him, that wrought the signs in his sight, wherewith he deceived them that had received the mark of the beast and them that worshiped his image: they two were cast alive into the lake of fire that burneth with brimstone:
[ASV | EN | NT | Revelation | Chapter 19 | Verse 21] and the rest were killed with the sword of him that sat upon the horse, even the sword which came forth out of his mouth: and all the birds were filled with their flesh.
