[ASV | EN | NT | Revelation | Chapter 2 | Verse 1] To the angel of the church in Ephesus write: These things saith he that holdeth the seven stars in his right hand, he that walketh in the midst of the seven golden candlesticks:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 2] I know thy works, and thy toil and thy patience, and that thou canst not bear evil men, and didst try them that declare themselves to be apostles, and they are not, and didst find them false;
[ASV | EN | NT | Revelation | Chapter 2 | Verse 3] and thou hast patience and didst bear for my name’s sake, and didst not grow weary.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 4] But I have this against thee, that thou didst leave thy first love.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 5] Remember therefore whence thou art fallen, and repent and do the first works; or else I come to thee quickly, and will move thy candlestick out of its place, except thou repent.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 6] But this thou hast, that thou hatest the works of the Nicolaitans, which I also hate.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 7] He that hath an ear, let him hear what the Spirit saith to the churches. To him that overcometh, to him will I give to eat of the tree of life, which is in the Paradise of my God.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 8] And to the angel of the church in Smyrna write: These things saith the first and the last, who was dead, and lived again:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 9] I know thy works, and tribulation, and poverty (but thou art rich), and the blasphemy of them that call themselves Jews, and they are not, but are a synagogue of Satan.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 10] Fear none of the things which thou art about to suffer: behold now, the devil is about to cast some of you into prison, that ye may be tried; and ye shall have tribulation ten days. Be thou faithful unto death, and I will give thee the crown of life.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 11] He that hath an ear, let him hear what the Spirit saith to the churches. He that overcometh shall not be hurt of the second death.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 12] And to the angel of the church in Pergamum write: These things saith he that hath the sharp two-edged sword:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 13] I know thy works, and where thou dwellest, even where Satan’s throne is; and thou holdest fast my name, and didst not deny my faith in the days in which Antipas was my faithful witness, who was killed among you, where Satan dwelleth.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 14] But I have a few things against thee, because thou hast there some that hold the teaching of Balaam, who taught Balak to cast a stumbling block before the children of Israel, and to eat things sacrificed to idols, and to commit fornication.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 15] So hast thou also some that hold the teaching of the Nicolaitans in like manner.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 16] Repent therefore; or else I come to thee quickly, and I will make war against them with the sword of my mouth.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 17] He that hath an ear, let him hear what the Spirit saith to the churches. To him that overcometh, to him will I give of the hidden manna, and I will give him a white stone, and upon the stone a new name written, which no one knoweth but he that receiveth it.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 18] And to the angel of the church in Thyatira write: These things saith the Son of God, who hath his eyes like a flame of fire, and his feet are like unto burnished brass:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 19] I know thy works, and thy love and faith and ministry and patience; and thy last works are more than the first.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 20] But I have this against thee, that thou sufferest thy wife Jezebel, who calleth herself a prophetess, and teacheth and seduceth my servants to commit fornication, and to eat things sacrificed to idols.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 21] And I gave her time that she should repent; and she willeth not to repent of her fornication.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 22] Behold, I cast her into a bed, and them that commit adultery with her into great tribulation, except they repent of her works.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 23] And I will kill her children with death; and all the churches shall know that I am he that searcheth the minds and hearts: and I will give unto each one of you according to your works.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 24] But to you I say, to the rest that are in Thyatira, as many as have not this teaching, who know not the deep things of Satan, as they are wont to say; I cast upon you none other burden.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 25] Nevertheless that which ye have, hold fast till I come.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 26] And he that overcometh, and he that keepeth my works unto the end, to him will I give authority over the nations:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 27] and he shall rule them with a rod of iron, as the vessels of the potter shall they be broken to shivers; as I also have received of my Father:
[ASV | EN | NT | Revelation | Chapter 2 | Verse 28] and I will give him the morning star.
[ASV | EN | NT | Revelation | Chapter 2 | Verse 29] He that hath an ear, let him hear what the Spirit saith to the churches.
