[ASV | EN | NT | Revelation | Chapter 22 | Verse 1] And he showed me a pure river of water of life, bright as crystal, proceeding out of the throne of God and of the Lamb.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 2] In the midst of the street thereof, and on this side of the river and on that, was the tree of life, bearing twelve manner of fruits, yielding its fruit every month: and the leaves of the tree were for the healing of the nations.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 3] And there shall be no curse anymore: and the throne of God and of the Lamb shall be therein: and his servants shall serve him;
[ASV | EN | NT | Revelation | Chapter 22 | Verse 4] and they shall see his face; and his name shall be on their foreheads.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 5] And there shall be no night there; and they need no lamp, neither light of sun; for the Lord God shall give them light: and they shall reign forever and ever.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 6] And he saith unto me, These words are faithful and true: and the Lord, the God of the spirits of the prophets, sent his angel to show unto his servants the things which must shortly come to pass.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 7] And behold, I come quickly. Blessed is he that keepeth the words of the prophecy of this book.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 8] And I John am he that heard and saw these things. And when I heard and saw, I fell down to worship before the feet of the angel that showed me these things.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 9] And he saith unto me, See thou do it not: I am a fellow servant with thee and with thy brethren the prophets, and with them that keep the words of this book: worship God.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 10] And he saith unto me, Seal not up the words of the prophecy of this book; for the time is at hand.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 11] He that is unrighteous, let him do unrighteousness still: and he that is filthy, let him be made filthy still: and he that is righteous, let him do righteousness still: and he that is holy, let him be made holy still.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 12] Behold, I come quickly; and my reward is with me, to render to each man according as his work shall be.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 13] I am the Alpha and the Omega, the first and the last, the beginning and the end.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 14] Blessed are they that do his commandments, that they may have the right to come to the tree of life, and may enter in by the gates into the city.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 15] Without are the dogs, and the sorcerers, and the fornicators, and the murderers, and the idolaters, and everyone that loveth and maketh a lie.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 16] I Jesus have sent mine angel to testify unto you these things for the churches. I am the root and the offspring of David, the bright, the morning star.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 17] And the Spirit and the bride say, Come. And he that heareth, let him say, Come. And he that is athirst, let him come: he that will, let him take the water of life freely.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 18] I testify unto every man that heareth the words of the prophecy of this book, If any man shall add unto them, God add unto him the plagues which are written in this book:
[ASV | EN | NT | Revelation | Chapter 22 | Verse 19] and if any man shall take away from the words of the book of this prophecy, God take away his part from the tree of life, and out of the holy city, which are written in this book.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 20] He who testifieth these things saith, Yea: I come quickly. Amen. Yea, come, Lord Jesus.
[ASV | EN | NT | Revelation | Chapter 22 | Verse 21] The grace of the Lord Jesus Christ be with all the saints. Amen.
