[ASV | EN | NT | Revelation | Chapter 14 | Verse 1] And I saw, and behold, the Lamb standing on the mount Zion, and with him a hundred and forty and four thousand in number, having his name, and the name of his Father, written on their foreheads.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 2] And I heard a voice from heaven, as the voice of many waters, and as the voice of a great thunder: and the voice which I heard was as the voice of harpers harping with their harps:
[ASV | EN | NT | Revelation | Chapter 14 | Verse 3] and they sing a new song before the throne, and before the four living creatures and the elders: and no man could learn the song save the hundred and forty and four thousand, even they that had been purchased out of the earth.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 4] These are they that were not defiled with women; for they are virgins. These are they that follow the Lamb whithersoever he may go. These were purchased by Jesus from among men, to be the firstfruits unto God and unto the Lamb.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 5] And no lie was found in their mouth: for they are without blemish.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 6] And I saw an angel flying in midheaven, having eternal good tidings to proclaim unto them that dwell on the earth, and unto every nation and tribe and tongue and people;
[ASV | EN | NT | Revelation | Chapter 14 | Verse 7] and he saith with a great voice, Fear the Lord, and give him glory; for the hour of his judgment is come: and worship him that made the heaven and the earth and the sea and fountains of waters.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 8] And another, a second angel, followed, saying, Fallen is Babylon the great: she hath made all the nations to drink of the wine of the wrath of her fornication.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 9] And another angel, a third, followed them, saying with a great voice, If any man worshipeth the beast and his image, and receiveth a mark on his forehead, or upon his hand,
[ASV | EN | NT | Revelation | Chapter 14 | Verse 10] he also shall drink of the wine of the wrath of God, which is prepared unmixed in the cup of his anger; and he shall be tormented with fire and brimstone in the presence of the holy angels, and in the presence of the Lamb:
[ASV | EN | NT | Revelation | Chapter 14 | Verse 11] and the smoke of their torment goeth up forever and ever; and they have no rest day and night, they that worship the beast and his image, and whoso receiveth the mark of his name.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 12] Here is the patience of the saints, they that keep the commandments of God, and the faith of Jesus.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 13] And I heard a voice from heaven saying, Write, Blessed are the dead who die in the Lord from henceforth: Yea, saith the Spirit, that they may rest from their labors; and their works follow with them.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 14] And I saw, and behold, a white cloud; and on the cloud I saw one sitting like unto a son of man, having on his head a golden crown, and in his hand a sharp sickle.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 15] And another angel came out from the temple, crying with a great voice to him that sat on the cloud, Send forth thy sickle, and reap: for the hour to reap is come; for the harvest of the earth is ripe.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 16] And he that sat on the cloud cast his sickle upon the earth; and the earth was reaped.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 17] And another angel came out from the temple which is in heaven, he also having a sharp sickle.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 18] And another angel came out from the altar, having power over fire; and he called with a great cry to him that had the sharp sickle, saying, Send forth thy sharp sickle, and gather the clusters of the vine of the earth; for her grapes are fully ripe.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 19] And the angel cast his sickle into the earth, and gathered the vintage of the earth, and cast it into the winepress, the great winepress, of the wrath of God.
[ASV | EN | NT | Revelation | Chapter 14 | Verse 20] And the winepress was trodden without the city, and there came out blood from the winepress, even unto the bridles of the horses, as far as a thousand and six hundred furlongs.
