[ASV | EN | NT | Revelation | Chapter 10 | Verse 1] And I saw a strong angel coming down out of heaven, arrayed with a cloud; and the rainbow was upon his head, and his face was as the sun, and his feet as pillars of fire;
[ASV | EN | NT | Revelation | Chapter 10 | Verse 2] and he had in his hand a book open: and he set his right foot upon the sea, and his left upon the earth;
[ASV | EN | NT | Revelation | Chapter 10 | Verse 3] and he cried with a great voice, as a lion roareth: and when he cried, the seven thunders uttered their voices.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 4] And when the seven thunders sounded, I was about to write: and I heard a voice from heaven saying, Seal up the things which the seven thunders uttered, and write them not.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 5] And the angel that I saw standing upon the sea and upon the earth lifted up his right hand to heaven,
[ASV | EN | NT | Revelation | Chapter 10 | Verse 6] and sware by him that liveth forever and ever, who created the heaven and the things that are therein, and the earth and the things that are therein, and the sea and the things that are therein, that there shall be delay no longer:
[ASV | EN | NT | Revelation | Chapter 10 | Verse 7] but in the days of the voice of the seventh angel, when he is about to sound, then is finished the mystery of God, according to the good tidings which he declared to his servants the prophets.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 8] And the voice which I heard from heaven, was again speaking with me, and saying, Go, take the little book which is open in the hand of the angel that standeth upon the sea and upon the earth.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 9] And I went unto the angel, saying unto him that he should give me the little book. And he saith unto me, Take it, and eat it up; and it shall make thy belly bitter, but in thy mouth it shall be sweet as honey.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 10] And I took the book out of the angel’s hand, and ate it up; and it was in my mouth sweet as honey: and when I had eaten it, my belly was made bitter.
[ASV | EN | NT | Revelation | Chapter 10 | Verse 11] And they say unto me, Thou must prophesy again over many peoples and over nations and tongues and kings.
