[ASV | EN | NT | Revelation | Chapter 3 | Verse 1] And to the angel of the church in Sardis write: These things saith he that hath the seven Spirits of God, and the seven stars: I know thy works, that thou hast a name that thou livest, and thou art dead.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 2] Be thou watchful, and establish the things that remain, which thou wast about to cast away: for I have not found thy works perfected before my God.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 3] Remember therefore how thou hast received and didst hear; and keep it, and repent. If therefore thou shalt not watch, I will come upon thee as a thief, and thou shalt not know what hour I will come upon thee.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 4] But thou hast a few names in Sardis that did not defile their garments: and they shall walk with me in white; for they are worthy.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 5] He that overcometh, the same shall be arrayed in white garments; and I will in no wise blot his name out of the book of life, and I will confess his name before my Father, and before his angels.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 6] He that hath an ear, let him hear what the Spirit saith to the churches.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 7] And to the angel of the church in Philadelphia write: These things saith he that is holy, he that is true, he that hath the key of David, he that openeth and none shall shut it, except he that openeth; and none shall open:
[ASV | EN | NT | Revelation | Chapter 3 | Verse 8] I know thy works (behold, I have set before thee a door opened, which none can shut), that thou hast a little power, and didst keep my word, and didst not deny my name.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 9] Behold, I give of the synagogue of Satan, of them that declare themselves to be Jews, and they are not, but do lie; behold, I will make them to come and worship before thy feet, and to know that I have loved thee.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 10] Because thou didst keep the word of my patience, I also will keep thee from the hour of trial, that hour which is to come upon the whole world, to try them that dwell upon the earth.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 11] I come quickly: hold fast that which thou hast, that no one take thy crown.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 12] He that overcometh, I will make him a pillar in the temple of my God, and he shall go out thence no more: and I will write upon him the name of my God, and the name of the city of my God, the new Jerusalem, which cometh down out of heaven from my God, and my new name.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 13] He that hath an ear, let him hear what the Spirit saith to the churches.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 14] And to the angel of the church in Laodicea write: These things saith the Amen, the faithful and true witness, the beginning of the creation of God:
[ASV | EN | NT | Revelation | Chapter 3 | Verse 15] I know thy works, that thou art neither cold nor hot: I would thou wert cold or hot.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 16] So because thou art lukewarm, and not hot nor cold, I will spew thee out of my mouth.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 17] Because thou sayest, I am rich, and have gotten riches, and have need of nothing; and knowest not that thou art the wretched one and the miserable one and poor and blind and naked:
[ASV | EN | NT | Revelation | Chapter 3 | Verse 18] I counsel thee to buy of me gold refined by fire, that thou mayest become rich; and white garments, that thou mayest clothe thyself, and that the shame of thy nakedness be not made manifest; and eye salve that it may anoint thine eyes, that thou mayest see.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 19] As many as I love, I reprove and chasten: be zealous therefore, and repent.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 20] Behold, I stand at the door and knock: if any man hear my voice and open the door, I will both come in to him and sup with him, and he with me.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 21] He that overcometh, I will give to him to sit down with me in my throne, as I also overcame, and sat down with my Father in his throne.
[ASV | EN | NT | Revelation | Chapter 3 | Verse 22] He that hath an ear, let him hear what the Spirit saith to the churches.
