[ASV | EN | NT | Revelation | Chapter 6 | Verse 1] And I saw that the Lamb opened one of the seven seals, and I heard one of the four living creatures saying, as a voice of thunder, Come and see.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 2] And behold, a white horse, and he that sat thereon had a bow; and there was given unto him a crown: and he came forth conquering, and to conquer.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 3] And when he opened the second seal, I heard the second living creature saying, Come.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 4] And another horse came forth, a red horse: and to him that sat thereon it was given to take peace from the earth, that they should slay one another: and there was given unto him a great sword.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 5] And when he opened the third seal, I heard the third living creature saying, Come and see. And behold, a black horse; and he that sat thereon had a balance in his hand.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 6] And I heard a voice in the midst of the four living creatures saying, A measure of wheat for a denarius, and three measures of barley for a denarius; and the oil and the wine hurt thou not.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 7] And when he opened the fourth seal, I heard the fourth living creature saying, Come and see.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 8] And behold, a pale horse: and he that sat upon him, his name was Death; and Hades followed him. And there was given unto him authority over the fourth part of the earth, to kill with sword, and with famine, and with death, and by the wild beasts of the earth.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 9] And when he opened the fifth seal, I saw underneath the altar the souls of them that had been slain for the word of God, and for the testimony of the Lamb which they held:
[ASV | EN | NT | Revelation | Chapter 6 | Verse 10] and they cried with a great voice, saying, How long, O Master, the holy and true, dost thou not judge and avenge our blood on them that dwell on the earth?
[ASV | EN | NT | Revelation | Chapter 6 | Verse 11] And there was given them to each one a white robe; and it was said unto them, that they should rest yet for a time, until their fellow servants also, and their brethren, even they that should be killed even as they were, should fulfill their course.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 12] And I saw when he opened the sixth seal, and there was a great earthquake; and the sun became black as sackcloth of hair, and the whole moon became as blood;
[ASV | EN | NT | Revelation | Chapter 6 | Verse 13] and the stars of the heaven fell unto the earth, as a fig tree casting her unripe figs when she is shaken of a great wind.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 14] And the heaven was removed as a scroll when it is rolled up; and every mountain and island were moved out of their places.
[ASV | EN | NT | Revelation | Chapter 6 | Verse 15] And the kings of the earth, and the princes, and the chief captains, and the rich, and the strong, and every bondman and freeman, hid themselves in the caves and in the rocks of the mountains;
[ASV | EN | NT | Revelation | Chapter 6 | Verse 16] and they say to the mountains and to the rocks, Fall on us, and hide us from the face of him that sitteth on the throne, and from the wrath of the Lamb:
[ASV | EN | NT | Revelation | Chapter 6 | Verse 17] for the great day of his wrath is come; and who is able to stand?
