[BSB | EN | OT | Psalms | Chapter 97 | Verse 1] The LORD reigns, let the earth rejoice; let the distant shores be glad.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 2] Clouds and darkness surround Him; righteousness and justice are His throne’s foundation.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 3] Fire goes before Him and consumes His foes on every side.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 4] His lightning illuminates the world; the earth sees and trembles.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 5] The mountains melt like wax at the presence of the LORD, before the Lord of all the earth.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 6] The heavens proclaim His righteousness; all the peoples see His glory.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 7] All worshipers of images are put to shame— those who boast in idols. Worship Him, all you gods!
[BSB | EN | OT | Psalms | Chapter 97 | Verse 8] Zion hears and rejoices, and the towns of Judah exult because of Your judgments, O LORD.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 9] For You, O LORD, are Most High over all the earth; You are exalted far above all gods.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 10] Hate evil, O you who love the LORD! He preserves the souls of His saints; He delivers them from the hand of the wicked.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 11] Light shines on the righteous, gladness on the upright in heart.
[BSB | EN | OT | Psalms | Chapter 97 | Verse 12] Rejoice in the LORD, you righteous ones, and praise His holy name.
