[BSB | EN | OT | Psalms | Chapter 76 | Verse 1] God is known in Judah; His name is great in Israel.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 2] His tent is in Salem, His dwelling place in Zion.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 3] There He shattered the flaming arrows, the shield and sword and weapons of war. Selah
[BSB | EN | OT | Psalms | Chapter 76 | Verse 4] You are resplendent with light, more majestic than mountains filled with game.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 5] The valiant lie plundered; they sleep their last sleep. No men of might could lift a hand.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 6] At Your rebuke, O God of Jacob, both horse and rider lie stunned.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 7] You alone are to be feared. When You are angry, who can stand before You?
[BSB | EN | OT | Psalms | Chapter 76 | Verse 8] From heaven You pronounced judgment, and the earth feared and was still
[BSB | EN | OT | Psalms | Chapter 76 | Verse 9] when God rose up to judge, to save all the lowly of the earth. Selah
[BSB | EN | OT | Psalms | Chapter 76 | Verse 10] Even the wrath of man shall praise You; with the survivors of wrath You will clothe Yourself.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 11] Make and fulfill your vows to the LORD your God; let all the neighboring lands bring tribute to Him who is to be feared.
[BSB | EN | OT | Psalms | Chapter 76 | Verse 12] He breaks the spirits of princes; He is feared by the kings of the earth.
