[BSB | EN | OT | Psalms | Chapter 74 | Verse 1] Why have You rejected us forever, O God? Why does Your anger smolder against the sheep of Your pasture?
[BSB | EN | OT | Psalms | Chapter 74 | Verse 2] Remember Your congregation, which You purchased long ago and redeemed as the tribe of Your inheritance— Mount Zion where You dwell.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 3] Turn Your steps to the everlasting ruins, to everything in the sanctuary the enemy has destroyed.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 4] Your foes have roared within Your meeting place; they have unfurled their banners as signs,
[BSB | EN | OT | Psalms | Chapter 74 | Verse 5] like men wielding axes in a thicket of trees
[BSB | EN | OT | Psalms | Chapter 74 | Verse 6] and smashing all the carvings with hatchets and picks.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 7] They have burned Your sanctuary to the ground; they have defiled the dwelling place of Your Name.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 8] They said in their hearts, “We will crush them completely.” They burned down every place where God met us in the land.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 9] There are no signs for us to see. There is no longer any prophet. And none of us knows how long this will last.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 10] How long, O God, will the enemy taunt You? Will the foe revile Your name forever?
[BSB | EN | OT | Psalms | Chapter 74 | Verse 11] Why do You withdraw Your strong right hand? Stretch it out to destroy them!
[BSB | EN | OT | Psalms | Chapter 74 | Verse 12] Yet God is my King from ancient times, working salvation on the earth.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 13] You divided the sea by Your strength; You smashed the heads of the dragons of the sea;
[BSB | EN | OT | Psalms | Chapter 74 | Verse 14] You crushed the heads of Leviathan; You fed him to the creatures of the desert.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 15] You broke open the fountain and the flood; You dried up the ever-flowing rivers.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 16] The day is Yours, and also the night; You established the moon and the sun.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 17] You set all the boundaries of the earth; You made the summer and winter.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 18] Remember how the enemy has mocked You, O LORD, how a foolish people has spurned Your name.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 19] Do not deliver the soul of Your dove to beasts; do not forget the lives of Your afflicted forever.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 20] Consider Your covenant, for haunts of violence fill the dark places of the land.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 21] Do not let the oppressed retreat in shame; may the poor and needy praise Your name.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 22] Rise up, O God; defend Your cause! Remember how the fool mocks You all day long.
[BSB | EN | OT | Psalms | Chapter 74 | Verse 23] Do not disregard the clamor of Your adversaries, the uproar of Your enemies that ascends continually.
