[BSB | EN | OT | Psalms | Chapter 85 | Verse 1] You showed favor to Your land, O LORD; You restored Jacob from captivity.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 2] You forgave the iniquity of Your people; You covered all their sin. Selah
[BSB | EN | OT | Psalms | Chapter 85 | Verse 3] You withheld all Your fury; You turned from Your burning anger.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 4] Restore us, O God of our salvation, and put away Your displeasure toward us.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 5] Will You be angry with us forever? Will You draw out Your anger to all generations?
[BSB | EN | OT | Psalms | Chapter 85 | Verse 6] Will You not revive us again, that Your people may rejoice in You?
[BSB | EN | OT | Psalms | Chapter 85 | Verse 7] Show us Your loving devotion, O LORD, and grant us Your salvation.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 8] I will listen to what God the LORD will say; for He will surely speak peace to His people and His saints; He will not let them return to folly.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 9] Surely His salvation is near to those who fear Him, that His glory may dwell in our land.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 10] Loving devotion and faithfulness have joined together; righteousness and peace have kissed.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 11] Faithfulness sprouts from the earth, and righteousness looks down from heaven.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 12] The LORD will indeed provide what is good, and our land will yield its increase.
[BSB | EN | OT | Psalms | Chapter 85 | Verse 13] Righteousness will go before Him to prepare the way for His steps.
