[BSB | EN | OT | Psalms | Chapter 102 | Verse 1] Hear my prayer, O LORD; let my cry for help come before You.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 2] Do not hide Your face from me in my day of distress. Incline Your ear to me; answer me quickly when I call.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 3] For my days vanish like smoke, and my bones burn like glowing embers.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 4] My heart is afflicted, and withered like grass; I even forget to eat my bread.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 5] Through my loud groaning my flesh clings to my bones.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 6] I am like a desert owl, like an owl among the ruins.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 7] I lie awake; I am like a lone bird on a housetop.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 8] All day long my enemies taunt me; they ridicule me and curse me.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 9] For I have eaten ashes like bread and mixed my drink with tears
[BSB | EN | OT | Psalms | Chapter 102 | Verse 10] because of Your indignation and wrath, for You have picked me up and cast me aside.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 11] My days are like lengthening shadows, and I wither away like grass.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 12] But You, O LORD, sit enthroned forever; Your renown endures to all generations.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 13] You will rise up and have compassion on Zion, for it is time to show her favor— the appointed time has come.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 14] For Your servants delight in her stones and take pity on her dust.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 15] So the nations will fear the name of the LORD, and all the kings of the earth will fear Your glory.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 16] For the LORD will rebuild Zion; He has appeared in His glory.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 17] He will turn toward the prayer of the destitute; He will not despise their prayer.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 18] Let this be written for the generation to come, so that a people not yet created may praise the LORD.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 19] For He looked down from the heights of His sanctuary; the LORD gazed out from heaven to earth
[BSB | EN | OT | Psalms | Chapter 102 | Verse 20] to hear a prisoner’s groaning, to release those condemned to death,
[BSB | EN | OT | Psalms | Chapter 102 | Verse 21] that they may proclaim the name of the LORD in Zion and praise Him in Jerusalem,
[BSB | EN | OT | Psalms | Chapter 102 | Verse 22] when peoples and kingdoms assemble to serve the LORD.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 23] He has broken my strength on the way; He has cut short my days.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 24] I say: “O my God, do not take me in the midst of my days! Your years go on through all generations.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 25] In the beginning You laid the foundations of the earth, and the heavens are the work of Your hands.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 26] They will perish, but You remain; they will all wear out like a garment. Like clothing You will change them, and they will be passed on.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 27] But You remain the same, and Your years will never end.
[BSB | EN | OT | Psalms | Chapter 102 | Verse 28] The children of Your servants will dwell securely, and their descendants will be established before You.”
