[BSB | EN | OT | Psalms | Chapter 90 | Verse 1] Lord, You have been our dwelling place through all generations.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 2] Before the mountains were born or You brought forth the earth and the world, from everlasting to everlasting You are God.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 3] You return man to dust, saying, “Return, O sons of mortals.”
[BSB | EN | OT | Psalms | Chapter 90 | Verse 4] For in Your sight a thousand years are but a day that passes, or a watch of the night.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 5] You whisk them away in their sleep; they are like the new grass of the morning—
[BSB | EN | OT | Psalms | Chapter 90 | Verse 6] in the morning it springs up new, but by evening it fades and withers.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 7] For we are consumed by Your anger and terrified by Your wrath.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 8] You have set our iniquities before You, our secret sins in the light of Your presence.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 9] For all our days decline in Your fury; we finish our years with a sigh.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 10] The length of our days is seventy years— or eighty if we are strong— yet their pride is but labor and sorrow, for they quickly pass, and we fly away.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 11] Who knows the power of Your anger? Your wrath matches the fear You are due.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 12] So teach us to number our days, that we may present a heart of wisdom.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 13] Return, O LORD! How long will it be? Have compassion on Your servants.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 14] Satisfy us in the morning with Your loving devotion, that we may sing for joy and be glad all our days.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 15] Make us glad for as many days as You have afflicted us, for as many years as we have seen evil.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 16] May Your work be shown to Your servants, and Your splendor to their children.
[BSB | EN | OT | Psalms | Chapter 90 | Verse 17] May the favor of the Lord our God rest upon us; establish for us the work of our hands— yes, establish the work of our hands!
