[BSB | EN | OT | Psalms | Chapter 65 | Verse 1] Praise awaits You, O God, in Zion; to You our vows will be fulfilled.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 2] O You who listen to prayer, all people will come to You.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 3] When iniquities prevail against me, You atone for our transgressions.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 4] Blessed is the one You choose and bring near to dwell in Your courts! We are filled with the goodness of Your house, the holiness of Your temple.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 5] With awesome deeds of righteousness You answer us, O God of our salvation, the hope of all the ends of the earth and of the farthest seas.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 6] You formed the mountains by Your power, having girded Yourself with might.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 7] You stilled the roaring of the seas, the pounding of their waves, and the tumult of the nations.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 8] Those who live far away fear Your wonders; You make the dawn and sunset shout for joy.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 9] You attend to the earth and water it; with abundance You enrich it. The streams of God are full of water, for You prepare our grain by providing for the earth.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 10] You soak its furrows and level its ridges; You soften it with showers and bless its growth.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 11] You crown the year with Your bounty, and Your paths overflow with plenty.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 12] The pastures of the wilderness overflow; the hills are robed with joy.
[BSB | EN | OT | Psalms | Chapter 65 | Verse 13] The pastures are clothed with flocks, and the valleys are decked with grain. They shout in triumph; indeed, they sing.
