[BSB | EN | OT | Psalms | Chapter 68 | Verse 1] God arises. His enemies are scattered, and those who hate Him flee His presence.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 2] As smoke is blown away, You will drive them out; as wax melts before the fire, the wicked will perish in the presence of God.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 3] But the righteous will be glad and rejoice before God; they will celebrate with joy.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 4] Sing to God! Sing praises to His name. Exalt Him who rides on the clouds — His name is the LORD— and rejoice before Him.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 5] A father of the fatherless, and a defender of the widows, is God in His holy habitation.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 6] God settles the lonely in families; He leads the prisoners out to prosperity, but the rebellious dwell in a sun-scorched land.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 7] O God, when You went out before Your people, when You marched through the wasteland, Selah
[BSB | EN | OT | Psalms | Chapter 68 | Verse 8] the earth shook and the heavens poured down rain before God, the One on Sinai, before God, the God of Israel.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 9] You sent abundant rain, O God; You refreshed Your weary inheritance.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 10] Your flock settled therein; O God, from Your bounty You provided for the poor.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 11] The Lord gives the command; a great company of women proclaim it:
[BSB | EN | OT | Psalms | Chapter 68 | Verse 12] “Kings and their armies flee in haste; she who waits at home divides the plunder.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 13] Though you lie down among the sheepfolds, the wings of the dove are covered with silver, and her feathers with shimmering gold.”
[BSB | EN | OT | Psalms | Chapter 68 | Verse 14] When the Almighty scattered the kings in the land, it was like the snow falling on Zalmon.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 15] A mountain of God is Mount Bashan; a mountain of many peaks is Mount Bashan.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 16] Why do you gaze in envy, O mountains of many peaks? This is the mountain God chose for His dwelling, where the LORD will surely dwell forever.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 17] The chariots of God are tens of thousands— thousands of thousands are they; the Lord is in His sanctuary as He was at Sinai.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 18] You have ascended on high; You have led captives away. You have received gifts from men, even from the rebellious, that the LORD God may dwell there.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 19] Blessed be the Lord, who daily bears our burden, the God of our salvation. Selah
[BSB | EN | OT | Psalms | Chapter 68 | Verse 20] Our God is a God of deliverance; the Lord GOD is our rescuer from death.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 21] Surely God will crush the heads of His enemies, the hairy crowns of those who persist in guilty ways.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 22] The Lord said, “I will retrieve them from Bashan, I will bring them up from the depths of the sea,
[BSB | EN | OT | Psalms | Chapter 68 | Verse 23] that your foot may be dipped in the blood of your foes— the tongues of your dogs in the same.”
[BSB | EN | OT | Psalms | Chapter 68 | Verse 24] They have seen Your procession, O God— the march of my God and King into the sanctuary.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 25] The singers lead the way, the musicians follow after, among the maidens playing tambourines.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 26] Bless God in the great congregation; bless the LORD from the fountain of Israel.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 27] There is Benjamin, the youngest, ruling them, the princes of Judah in their company, the princes of Zebulun and of Naphtali.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 28] Summon Your power, O God; show Your strength, O God, which You have exerted on our behalf.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 29] Because of Your temple at Jerusalem kings will bring You gifts.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 30] Rebuke the beast in the reeds, the herd of bulls among the calves of the nations, until it submits, bringing bars of silver. Scatter the nations who delight in war.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 31] Envoys will arrive from Egypt; Cush will stretch out her hands to God.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 32] Sing to God, O kingdoms of the earth; sing praises to the Lord— Selah
[BSB | EN | OT | Psalms | Chapter 68 | Verse 33] to Him who rides upon the highest heavens of old; behold, His mighty voice resounds.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 34] Ascribe the power to God, whose majesty is over Israel, whose strength is in the skies.
[BSB | EN | OT | Psalms | Chapter 68 | Verse 35] O God, You are awesome in Your sanctuary; the God of Israel Himself gives strength and power to His people. Blessed be God!
