[BSB | EN | OT | Psalms | Chapter 119 | Verse 1] Blessed are those whose way is blameless, who walk in the Law of the LORD.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 2] Blessed are those who keep His testimonies and seek Him with all their heart.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 3] They do no iniquity; they walk in His ways.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 4] You have ordained Your precepts, that we should keep them diligently.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 5] Oh, that my ways were committed to keeping Your statutes!
[BSB | EN | OT | Psalms | Chapter 119 | Verse 6] Then I would not be ashamed when I consider all Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 7] I will praise You with an upright heart when I learn Your righteous judgments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 8] I will keep Your statutes; do not utterly forsake me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 9] How can a young man keep his way pure? By guarding it according to Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 10] With all my heart I have sought You; do not let me stray from Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 11] I have hidden Your word in my heart that I might not sin against You.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 12] Blessed are You, O LORD; teach me Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 13] With my lips I proclaim all the judgments of Your mouth.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 14] I rejoice in the way of Your testimonies as much as in all riches.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 15] I will meditate on Your precepts and regard Your ways.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 16] I will delight in Your statutes; I will not forget Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 17] Deal bountifully with Your servant, that I may live and keep Your word.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 18] Open my eyes that I may see wondrous things from Your law.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 19] I am a stranger on the earth; do not hide Your commandments from me.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 20] My soul is consumed with longing for Your judgments at all times.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 21] You rebuke the arrogant— the cursed who stray from Your commandments.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 22] Remove my scorn and contempt, for I have kept Your testimonies.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 23] Though rulers sit and slander me, Your servant meditates on Your statutes.
[BSB | EN | OT | Psalms | Chapter 119 | Verse 24] Your testimonies are indeed my delight; they are my counselors.
