[BSB | EN | OT | Psalms | Chapter 136 | Verse 1] Give thanks to the LORD, for He is good. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 2] Give thanks to the God of gods. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 3] Give thanks to the Lord of lords. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 4] He alone does great wonders. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 5] By His insight He made the heavens. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 6] He spread out the earth upon the waters. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 7] He made the great lights— His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 8] the sun to rule the day, His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 9] the moon and stars to govern the night. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 10] He struck down the firstborn of Egypt His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 11] and brought Israel out from among them His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 12] with a mighty hand and an outstretched arm. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 13] He divided the Red Sea in two His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 14] and led Israel through the midst, His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 15] but swept Pharaoh and his army into the Red Sea. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 16] He led His people through the wilderness. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 17] He struck down great kings His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 18] and slaughtered mighty kings— His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon king of the Amorites His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 20] and Og king of Bashan— His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 21] and He gave their land as an inheritance, His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 22] a heritage to His servant Israel. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 23] He remembered us in our low estate His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 24] and freed us from our enemies. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 25] He gives food to every creature. His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 136 | Verse 26] Give thanks to the God of heaven! His loving devotion endures forever.
