[BSB | EN | OT | Psalms | Chapter 41 | Verse 1] Blessed is the one who cares for the poor; the LORD will deliver him in the day of trouble.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 2] The LORD will protect and preserve him; He will bless him in the land and refuse to surrender him to the will of his foes.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 3] The LORD will sustain him on his bed of illness and restore him from his bed of sickness.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 4] I said, “O LORD, be gracious to me; heal me, for I have sinned against You.”
[BSB | EN | OT | Psalms | Chapter 41 | Verse 5] My enemies say with malice: “When will he die and be forgotten?”
[BSB | EN | OT | Psalms | Chapter 41 | Verse 6] My visitor speaks falsehood; he gathers slander in his heart; he goes out and spreads it abroad.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 7] All who hate me whisper against me; they imagine the worst for me:
[BSB | EN | OT | Psalms | Chapter 41 | Verse 8] “A vile disease has been poured into him; he will never get up from where he lies!”
[BSB | EN | OT | Psalms | Chapter 41 | Verse 9] Even my close friend whom I trusted, the one who shared my bread, has lifted up his heel against me.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 10] But You, O LORD, be gracious to me and raise me up, that I may repay them.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 11] By this I know that You delight in me, for my enemy does not triumph over me.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 12] In my integrity You uphold me and set me in Your presence forever.
[BSB | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the LORD, the God of Israel, from everlasting to everlasting. Amen and Amen.
