[BSB | EN | OT | Psalms | Chapter 83 | Verse 1] O God, be not silent; be not speechless; be not still, O God.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 2] See how Your enemies rage, how Your foes have reared their heads.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 3] With cunning they scheme against Your people and conspire against those You cherish,
[BSB | EN | OT | Psalms | Chapter 83 | Verse 4] saying, “Come, let us erase them as a nation; may the name of Israel be remembered no more.”
[BSB | EN | OT | Psalms | Chapter 83 | Verse 5] For with one mind they plot together, they form an alliance against You—
[BSB | EN | OT | Psalms | Chapter 83 | Verse 6] the tents of Edom and the Ishmaelites, of Moab and the Hagrites,
[BSB | EN | OT | Psalms | Chapter 83 | Verse 7] of Gebal, Ammon, and Amalek, of Philistia with the people of Tyre.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 8] Even Assyria has joined them, lending strength to the sons of Lot. Selah
[BSB | EN | OT | Psalms | Chapter 83 | Verse 9] Do to them as You did to Midian, as to Sisera and Jabin at the River Kishon,
[BSB | EN | OT | Psalms | Chapter 83 | Verse 10] who perished at Endor and became like dung on the ground.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 11] Make their nobles like Oreb and Zeeb, and all their princes like Zebah and Zalmunna,
[BSB | EN | OT | Psalms | Chapter 83 | Verse 12] who said, “Let us possess for ourselves the pastures of God.”
[BSB | EN | OT | Psalms | Chapter 83 | Verse 13] Make them like tumbleweed, O my God, like chaff before the wind.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 14] As fire consumes a forest, as a flame sets the mountains ablaze,
[BSB | EN | OT | Psalms | Chapter 83 | Verse 15] so pursue them with Your tempest, and terrify them with Your storm.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 16] Cover their faces with shame, that they may seek Your name, O LORD.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 17] May they be ever ashamed and terrified; may they perish in disgrace.
[BSB | EN | OT | Psalms | Chapter 83 | Verse 18] May they know that You alone, whose name is the LORD, are Most High over all the earth.
