[BSB | EN | OT | Psalms | Chapter 25 | Verse 1] To You, O LORD, I lift up my soul;
[BSB | EN | OT | Psalms | Chapter 25 | Verse 2] in You, my God, I trust. Do not let me be put to shame; do not let my enemies exult over me.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 3] Surely none who wait for You will be put to shame; but those who are faithless without cause will be disgraced.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 4] Show me Your ways, O LORD; teach me Your paths.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 5] Guide me in Your truth and teach me, for You are the God of my salvation; all day long I wait for You.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 6] Remember, O LORD, Your compassion and loving devotion, for they are from age to age.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 7] Remember not the sins of my youth, nor my rebellious acts; remember me according to Your loving devotion, because of Your goodness, O LORD.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 8] Good and upright is the LORD; therefore He shows sinners the way.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 9] He guides the humble in what is right and teaches them His way.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 10] All the LORD’s ways are loving and faithful to those who keep His covenant and His decrees.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 11] For the sake of Your name, O LORD, forgive my iniquity, for it is great.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 12] Who is the man who fears the LORD? He will instruct him in the path chosen for him.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 13] His soul will dwell in prosperity, and his descendants will inherit the land.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 14] The LORD confides in those who fear Him, and reveals His covenant to them.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 15] My eyes are always on the LORD, for He will free my feet from the mesh.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 16] Turn to me and be gracious, for I am lonely and afflicted.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 17] The troubles of my heart increase; free me from my distress.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 18] Consider my affliction and trouble, and take away all my sins.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 19] Consider my enemies, for they are many, and they hate me with vicious hatred.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 20] Guard my soul and deliver me; let me not be put to shame, for I take refuge in You.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 21] May integrity and uprightness preserve me, because I wait for You.
[BSB | EN | OT | Psalms | Chapter 25 | Verse 22] Redeem Israel, O God, from all its distress.
