[BSB | EN | OT | Psalms | Chapter 105 | Verse 1] Give thanks to the LORD, call upon His name; make known His deeds among the nations.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 2] Sing to Him, sing praises to Him; tell of all His wonders.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 3] Glory in His holy name; let the hearts of those who seek the LORD rejoice.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 4] Seek out the LORD and His strength; seek His face always.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 5] Remember the wonders He has done, His marvels, and the judgments He has pronounced,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 6] O offspring of His servant Abraham, O sons of Jacob, His chosen ones.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 7] He is the LORD our God; His judgments carry throughout the earth.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 8] He remembers His covenant forever, the word He ordained for a thousand generations—
[BSB | EN | OT | Psalms | Chapter 105 | Verse 9] the covenant He made with Abraham, and the oath He swore to Isaac.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 10] He confirmed it to Jacob as a decree, to Israel as an everlasting covenant:
[BSB | EN | OT | Psalms | Chapter 105 | Verse 11] “I will give you the land of Canaan as the portion of your inheritance.”
[BSB | EN | OT | Psalms | Chapter 105 | Verse 12] When they were few in number, few indeed, and strangers in the land,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 13] they wandered from nation to nation, from one kingdom to another.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 14] He let no man oppress them; He rebuked kings on their behalf:
[BSB | EN | OT | Psalms | Chapter 105 | Verse 15] “Do not touch My anointed ones! Do no harm to My prophets!”
[BSB | EN | OT | Psalms | Chapter 105 | Verse 16] He called down famine on the land and cut off all their supplies of food.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 17] He sent a man before them— Joseph, sold as a slave.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 18] They bruised his feet with shackles and placed his neck in irons,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 19] until his prediction came true and the word of the LORD proved him right.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 20] The king sent and released him; the ruler of peoples set him free.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 21] He made him master of his household, ruler over all his substance,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 22] to instruct his princes as he pleased and teach his elders wisdom.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 23] Then Israel entered Egypt; Jacob dwelt in the land of Ham.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 24] And the LORD made His people very fruitful, more numerous than their foes,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 25] whose hearts He turned to hate His people, to conspire against His servants.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 26] He sent Moses His servant, and Aaron, whom He had chosen.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 27] They performed His miraculous signs among them, and wonders in the land of Ham.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 28] He sent darkness, and it became dark— yet they defied His words.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 29] He turned their waters to blood and caused their fish to die.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 30] Their land teemed with frogs, even in their royal chambers.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 31] He spoke, and insects swarmed— gnats throughout their country.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 32] He gave them hail for rain, with lightning throughout their land.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 33] He struck their vines and fig trees and shattered the trees of their country.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 34] He spoke, and the locusts came— young locusts without number.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 35] They devoured every plant in their land and consumed the produce of their soil.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 36] Then He struck all the firstborn in their land, the firstfruits of all their vigor.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 37] He brought Israel out with silver and gold, and none among His tribes stumbled.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 38] Egypt was glad when they departed, for the dread of Israel had fallen on them.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 39] He spread a cloud as a covering and a fire to light up the night.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 40] They asked, and He brought quail and satisfied them with the bread of heaven.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 41] He opened a rock, and water gushed out; it flowed like a river in the desert.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 42] For He remembered His holy promise to Abraham His servant.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 43] He brought forth His people with rejoicing, His chosen with shouts of joy.
[BSB | EN | OT | Psalms | Chapter 105 | Verse 44] He gave them the lands of the nations, that they might inherit the fruit of others’ labor,
[BSB | EN | OT | Psalms | Chapter 105 | Verse 45] that they might keep His statutes and obey His laws. Hallelujah!
