[BSB | EN | OT | Psalms | Chapter 50 | Verse 1] The Mighty One, God the LORD, speaks and summons the earth from where the sun rises to where it sets.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 2] From Zion, perfect in beauty, God shines forth.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 3] Our God approaches and will not be silent! Consuming fire precedes Him, and a tempest rages around Him.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 4] He summons the heavens above, and the earth, that He may judge His people:
[BSB | EN | OT | Psalms | Chapter 50 | Verse 5] “Gather to Me My saints, who made a covenant with Me by sacrifice.”
[BSB | EN | OT | Psalms | Chapter 50 | Verse 6] And the heavens proclaim His righteousness, for God Himself is Judge. Selah
[BSB | EN | OT | Psalms | Chapter 50 | Verse 7] “Hear, O My people, and I will speak, O Israel, and I will testify against you: I am God, your God.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 8] I do not rebuke you for your sacrifices, and your burnt offerings are ever before Me.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 9] I have no need for a bull from your stall or goats from your pens,
[BSB | EN | OT | Psalms | Chapter 50 | Verse 10] for every beast of the forest is Mine— the cattle on a thousand hills.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 11] I know every bird in the mountains, and the creatures of the field are Mine.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 12] If I were hungry, I would not tell you, for the world is Mine, and the fullness thereof.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 13] Do I eat the flesh of bulls, or drink the blood of goats?
[BSB | EN | OT | Psalms | Chapter 50 | Verse 14] Sacrifice a thank offering to God, and fulfill your vows to the Most High.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 15] Call upon Me in the day of trouble; I will deliver you, and you will honor Me.”
[BSB | EN | OT | Psalms | Chapter 50 | Verse 16] To the wicked, however, God says, “What right have you to recite My statutes and to bear My covenant on your lips?
[BSB | EN | OT | Psalms | Chapter 50 | Verse 17] For you hate My instruction and cast My words behind you.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 18] When you see a thief, you befriend him, and throw in your lot with adulterers.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 19] You unleash your mouth for evil and unharness your tongue for deceit.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 20] You sit and malign your brother; you slander your own mother’s son.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 21] You have done these things, and I kept silent; you thought I was just like you. But now I rebuke you and accuse you to your face.
[BSB | EN | OT | Psalms | Chapter 50 | Verse 22] Now consider this, you who forget God, lest I tear you to pieces, with no one to rescue you:
[BSB | EN | OT | Psalms | Chapter 50 | Verse 23] He who sacrifices a thank offering honors Me, and to him who rights his way, I will show the salvation of God.”
