[BSB | EN | OT | Psalms | Chapter 21 | Verse 1] O LORD, the king rejoices in Your strength. How greatly he exults in Your salvation!
[BSB | EN | OT | Psalms | Chapter 21 | Verse 2] You have granted his heart’s desire and have not withheld the request of his lips. Selah
[BSB | EN | OT | Psalms | Chapter 21 | Verse 3] For You welcomed him with rich blessings; You placed on his head a crown of pure gold.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 4] He asked You for life, and You granted it— length of days, forever and ever.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 5] Great is his glory in Your salvation; You bestow on him splendor and majesty.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 6] For You grant him blessings forever; You cheer him with joy in Your presence.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 7] For the king trusts in the LORD; through the loving devotion of the Most High, he will not be shaken.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 8] Your hand will apprehend all Your enemies; Your right hand will seize those who hate You.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 9] You will place them in a fiery furnace at the time of Your appearing. In His wrath the LORD will engulf them, and the fire will consume them.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 10] You will wipe their descendants from the earth, and their offspring from the sons of men.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 11] Though they intend You harm, the schemes they devise will not prevail.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 12] For You will put them to flight when Your bow is trained upon them.
[BSB | EN | OT | Psalms | Chapter 21 | Verse 13] Be exalted, O LORD, in Your strength; we will sing and praise Your power.
