[BSB | EN | OT | Psalms | Chapter 143 | Verse 1] O LORD, hear my prayer. In Your faithfulness, give ear to my plea; in Your righteousness, answer me.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 2] Do not bring Your servant into judgment, for no one alive is righteous before You.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 3] For the enemy has pursued my soul, crushing my life to the ground, making me dwell in darkness like those long since dead.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 4] My spirit grows faint within me; my heart is dismayed inside me.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 5] I remember the days of old; I meditate on all Your works; I consider the work of Your hands.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 6] I stretch out my hands to You; my soul thirsts for You like a parched land. Selah
[BSB | EN | OT | Psalms | Chapter 143 | Verse 7] Answer me quickly, O LORD; my spirit fails. Do not hide Your face from me, or I will be like those who descend to the Pit.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 8] Let me hear Your loving devotion in the morning, for I have put my trust in You. Teach me the way I should walk, for to You I lift up my soul.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 9] Deliver me from my enemies, O LORD; I flee to You for refuge.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 10] Teach me to do Your will, for You are my God. May Your good Spirit lead me on level ground.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 11] For the sake of Your name, O LORD, revive me. In Your righteousness, bring my soul out of trouble.
[BSB | EN | OT | Psalms | Chapter 143 | Verse 12] And in Your loving devotion, cut off my enemies. Destroy all who afflict me, for I am Your servant.
