[BSB | EN | OT | Psalms | Chapter 106 | Verse 1] Hallelujah! Give thanks to the LORD, for He is good; His loving devotion endures forever.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 2] Who can describe the mighty acts of the LORD or fully proclaim His praise?
[BSB | EN | OT | Psalms | Chapter 106 | Verse 3] Blessed are those who uphold justice, who practice righteousness at all times.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 4] Remember me, O LORD, in Your favor to Your people; visit me with Your salvation,
[BSB | EN | OT | Psalms | Chapter 106 | Verse 5] that I may see the prosperity of Your chosen ones, and rejoice in the gladness of Your nation, and give glory with Your inheritance.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 6] We have sinned like our fathers; we have done wrong and acted wickedly.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers in Egypt did not grasp Your wonders or remember Your abundant kindness; but they rebelled by the sea, there at the Red Sea.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 8] Yet He saved them for the sake of His name, to make His power known.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 9] He rebuked the Red Sea, and it dried up; He led them through the depths as through a desert.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 10] He saved them from the hand that hated them; He redeemed them from the hand of the enemy.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 11] The waters covered their foes; not one of them remained.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 12] Then they believed His promises and sang His praise.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 13] Yet they soon forgot His works and failed to wait for His counsel.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 14] They craved intensely in the wilderness and tested God in the desert.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 15] So He granted their request, but sent a wasting disease upon them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 16] In the camp they envied Moses, as well as Aaron, the holy one of the LORD.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opened up and swallowed Dathan; it covered the assembly of Abiram.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 18] Then fire blazed through their company; flames consumed the wicked.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 19] At Horeb they made a calf and worshiped a molten image.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 20] They exchanged their Glory for the image of a grass-eating ox.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 21] They forgot God their Savior, who did great things in Egypt,
[BSB | EN | OT | Psalms | Chapter 106 | Verse 22] wondrous works in the land of Ham, and awesome deeds by the Red Sea.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 23] So He said He would destroy them— had not Moses His chosen one stood before Him in the breach to divert His wrath from destroying them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 24] They despised the pleasant land; they did not believe His promise.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 25] They grumbled in their tents and did not listen to the voice of the LORD.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 26] So He raised His hand and swore to cast them down in the wilderness,
[BSB | EN | OT | Psalms | Chapter 106 | Verse 27] to disperse their offspring among the nations and scatter them throughout the lands.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 28] They yoked themselves to Baal of Peor and ate sacrifices offered to lifeless gods.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 29] So they provoked the LORD to anger with their deeds, and a plague broke out among them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 30] But Phinehas stood and intervened, and the plague was restrained.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 31] It was credited to him as righteousness for endless generations to come.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 32] At the waters of Meribah they angered the LORD, and trouble came to Moses because of them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 33] For they rebelled against His Spirit, and Moses spoke rashly with his lips.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 34] They did not destroy the peoples as the LORD had commanded them,
[BSB | EN | OT | Psalms | Chapter 106 | Verse 35] but they mingled with the nations and adopted their customs.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 36] They worshiped their idols, which became a snare to them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 37] They sacrificed their sons and their daughters to demons.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 38] They shed innocent blood— the blood of their sons and daughters, whom they sacrificed to the idols of Canaan, and the land was polluted with blood.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 39] They defiled themselves by their actions and prostituted themselves by their deeds.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 40] So the anger of the LORD burned against His people, and He abhorred His own inheritance.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 41] He delivered them into the hand of the nations, and those who hated them ruled over them.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 42] Their enemies oppressed them, and subdued them under their hand.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 43] Many times He rescued them, but they were bent on rebellion and sank down in their iniquity.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 44] Nevertheless He heard their cry; He took note of their distress.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 45] And He remembered His covenant with them, and relented by the abundance of His loving devotion.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 46] He made them objects of compassion to all who held them captive.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 47] Save us, O LORD our God, and gather us from the nations, that we may give thanks to Your holy name, that we may glory in Your praise.
[BSB | EN | OT | Psalms | Chapter 106 | Verse 48] Blessed be the LORD, the God of Israel, from everlasting to everlasting. Let all the people say, “Amen!” Hallelujah!
