[BSB | EN | OT | Psalms | Chapter 31 | Verse 1] In You, O LORD, I have taken refuge; let me never be put to shame; save me by Your righteousness.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 2] Incline Your ear to me; come quickly to my rescue. Be my rock of refuge, the stronghold of my deliverance.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 3] For You are my rock and my fortress; lead me and guide me for the sake of Your name.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 4] You free me from the net laid out for me, for You are my refuge.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 5] Into Your hands I commit my spirit; You have redeemed me, O LORD, God of truth.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 6] I hate those who cling to worthless idols, but in the LORD I trust.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 7] I will be glad and rejoice in Your loving devotion, for You have seen my affliction; You have known the anguish of my soul.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 8] You have not delivered me to the enemy; You have set my feet in the open.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 9] Be merciful to me, O LORD, for I am in distress; my eyes fail from sorrow, my soul and body as well.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 10] For my life is consumed with grief and my years with groaning; my iniquity has drained my strength, and my bones are wasting away.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 11] Among all my enemies I am a disgrace, and among my neighbors even more. I am dreaded by my friends— they flee when they see me on the street.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 12] I am forgotten like a dead man, out of mind. I am like a broken vessel.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 13] For I hear the slander of many; there is terror on every side. They conspire against me and plot to take my life.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 14] But I trust in You, O LORD; I say, “You are my God.”
[BSB | EN | OT | Psalms | Chapter 31 | Verse 15] My times are in Your hands; deliver me from my enemies and from those who pursue me.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 16] Make Your face shine on Your servant; save me by Your loving devotion.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 17] O LORD, let me not be ashamed, for I have called on You. Let the wicked be put to shame; let them lie silent in Sheol.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 18] May lying lips be silenced— lips that speak with arrogance against the righteous, full of pride and contempt.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 19] How great is Your goodness which You have laid up for those who fear You, which You have bestowed before the sons of men on those who take refuge in You!
[BSB | EN | OT | Psalms | Chapter 31 | Verse 20] You hide them in the secret place of Your presence from the schemes of men. You conceal them in Your shelter from accusing tongues.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 21] Blessed be the LORD, for He has shown me His loving devotion in a city under siege.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 22] In my alarm I said, “I am cut off from Your sight!” But You heard my plea for mercy when I called to You for help.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 23] Love the LORD, all His saints. The LORD preserves the faithful, but fully repays the arrogant.
[BSB | EN | OT | Psalms | Chapter 31 | Verse 24] Be strong and courageous, all you who hope in the LORD.
