[BSB | EN | OT | Psalms | Chapter 51 | Verse 1] Have mercy on me, O God, according to Your loving devotion; according to Your great compassion, blot out my transgressions.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 2] Wash me clean of my iniquity and cleanse me from my sin.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 3] For I know my transgressions, and my sin is always before me.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 4] Against You, You only, have I sinned and done what is evil in Your sight, so that You may be proved right when You speak and blameless when You judge.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 5] Surely I was brought forth in iniquity; I was sinful when my mother conceived me.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 6] Surely You desire truth in the inmost being; You teach me wisdom in the inmost place.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 7] Purify me with hyssop, and I will be clean; wash me, and I will be whiter than snow.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 8] Let me hear joy and gladness; let the bones You have crushed rejoice.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 9] Hide Your face from my sins and blot out all my iniquities.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 10] Create in me a clean heart, O God, and renew a right spirit within me.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 11] Cast me not away from Your presence; take not Your Holy Spirit from me.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 12] Restore to me the joy of Your salvation, and sustain me with a willing spirit.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 13] Then I will teach transgressors Your ways, and sinners will return to You.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 14] Deliver me from bloodguilt, O God, the God of my salvation, and my tongue will sing of Your righteousness.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 15] O Lord, open my lips, and my mouth will declare Your praise.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 16] For You do not delight in sacrifice, or I would bring it; You take no pleasure in burnt offerings.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 17] The sacrifices of God are a broken spirit; a broken and a contrite heart, O God, You will not despise.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 18] In Your good pleasure, cause Zion to prosper; build up the walls of Jerusalem.
[BSB | EN | OT | Psalms | Chapter 51 | Verse 19] Then You will delight in righteous sacrifices, in whole burnt offerings; then bulls will be offered on Your altar.
